Neutral Words — Cover Letter Language Dictionary,,,,,,,,
,,,,,,,,
Word / Phrase,Category,"Count in
Cover Letter Dataset","Count in
Indeed Guides","Total
Count",Definition / Usage Note,Source,,All count
skills,Neutral,6,34,40,Skills (unmodified),"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,726
position,Neutral,18,18,36,Job title reference,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,741
company,Neutral,0,31,31,Employer reference,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,252
hiring manager,Neutral,6,17,23,Salutation/address,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,396
project,Neutral,8,13,21,Work item (neutral),"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,150
role,Neutral,12,7,19,Job title reference,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,591
opportunity,Neutral,12,6,18,Neutral opportunity framing,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,543
application,Neutral,12,5,17,Application reference,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,445
experience,Neutral,0,15,15,Years/type of experience,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,767
software,Neutral,4,10,14,Tools/technology reference,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,127
consideration,Neutral,6,6,12,Thank-you framing,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,2
organization,Neutral,6,6,12,Employer reference,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,66
contact,Neutral,0,10,10,Call to action,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,0
interview,Neutral,0,8,8,Process reference,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,0
review,Neutral,0,8,8,Business activity,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,7
qualifications,Neutral,0,7,7,Qualifications,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,358
communication,Neutral,0,6,6,"Skill (context-dependent, kept neutral)","Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,215
resume,Neutral,0,6,6,Document reference,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,0
logistics,Neutral,0,5,5,Supply chain term,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,1
industry,Neutral,0,4,4,Sector reference,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,89
process,Neutral,0,3,3,Business term,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,108
requirements,Neutral,0,3,3,Job requirements,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,94
responsibilities,Neutral,0,3,3,Job duties (neutral),"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,6
schedule,Neutral,0,3,3,Call to action,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,2
budget,Neutral,0,2,2,Business term,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,6
inventory,Neutral,0,2,2,Supply chain term,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,3
quota,Neutral,0,2,2,Sales term (neutral count),"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,0
vendor,Neutral,0,2,2,Business term,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,2
attached,Neutral,0,1,1,Document reference,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,0
certification,Neutral,0,1,1,Credential reference,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,41
compliance,Neutral,0,1,1,Business/operations term,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,5
customer,Neutral,0,1,1,Stakeholder (neutral),"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,89
education,Neutral,,,,Baseline qualification,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,6
information,Neutral,,,,Information term,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,35
issue,Neutral,,,,Information term,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,67
knowledge,Neutral,,,,Information term,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,125
operation,Neutral,,,,Action term,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,19
presentation,Neutral,,,,Information term,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,23
qualification,Neutral,,,,Baseline qualification,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,358
recognition,Neutral,,,,Action term,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,3
technology,Neutral,,,,Action term,"Common to both templates in uploaded dataset + Indeed cover letter guides (sales, supply chain, project manager)",,62
