Result_id,Model_Name,Prompt_Version,Timestamp_SGT,Industry,Seniority_level,JD_ID,JD_framing,JD_Region,Frame_CV_ID,CV_framing,Hireability_Score,Hireability_Reason,Competence_Score,Competence_Reason,Fit_Score,Fit_Reason,Performance_Score,Performance_Reason,Leadership_Exhibited,Leadership_Control,Leadership_Effective,Leadership_Avg,Leadership_Reason,Status_Score,Status_Reason,Warmth_Score,Warmth_Reason,Recommendation,Raw_JSON,Error
JD003_FCL001,hy3,region,2026-07-23 23:55:36,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL001,Agentic,4,Candidate shows relevant account management experience but cover letter targets wrong role and lacks explicit required skills evidence.,3,Applicant demonstrates basic CRM and sales process knowledge yet omits English and negotiation proficiency details.,4,"Prior duties align with maintaining accounts yet missing proof of English, office tools, and contract negotiation fit.",4,Likely able to handle account tasks but uncertain on outreach and reporting without further qualification proof.,3,2,3,3.0,No leadership examples given; entry sales role implies limited team control or leading behavior expected.,3,"As entry-level hire with unspecified background, candidate would likely hold modest status initially in organization.",3,"Letter is polite and professional but formal, showing neutral sincerity without strong personal warmth.",Consider,,
JD003_FCL002,hy3,region,2026-07-23 23:55:41,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL002,Communal,4,"Candidate shows relevant experience but cover letter has errors and mismatches job title, suggesting moderate hireability after review.",3,Candidate appears somewhat skilled in CRM and sales but grammatical errors reduce perceived competence and professionalism.,4,"Has account and CRM experience fitting role, yet lacks explicit English, negotiation, and reporting evidence required.",4,Likely to handle basic duties adequately but unclear if meets all formal requirements like reporting and negotiation.,2,2,2,2.0,"Candidate emphasizes collaboration not leadership, showing low potential to lead or control team activities.",3,"As entry-level with supportive role, candidate would likely attain only modest status and influence internally.",4,"Letter is polite and sincere, conveying friendly and trustworthy tone appropriate for Chinese workplace norms.",Consider,,
JD003_FCL003,hy3,region,2026-07-23 23:55:45,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL003,Agentic,4,Candidate shows relevant commercial experience but applied to wrong role; overall moderately positive for entry-level sales screening.,4,"Cover letter shows skilled communication and data review ability, suggesting competent and efficient professional with commercial expertise.",4,"Experience aligns with acquisition and reporting, but role mismatch and missing explicit CRM/English proof reduce fit.",4,"Likely able to handle outreach and reports, though unclear on entry-level tool and language requirements from letter.",3,3,3,3.0,Letter shows ownership but no team leadership; low leadership expectation for this individual contributor sales role.,3,Candidate may gain moderate respect via experience but entry-level role limits early organisational prominence and influence.,3,"Tone is polite and professional yet formal, showing limited personal warmth or friendliness in the application.",Consider,,
JD003_FCL004,hy3,region,2026-07-23 23:55:49,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL004,Communal,3,Candidate shows relevant commercial experience but applied to wrong role and omitted key requirements like English and CRM.,3,Candidate appears reasonably skilled in coordination and analysis but lacks demonstrated sales-specific competencies.,3,"Lacks explicit fit to entry-level sales duties, CRM, English, and office software stated in the job description.",3,May handle account coordination but unlikely to meet all formal sales performance requirements without stated skills.,3,2,3,3.0,Shows some coordination ability but no clear leadership or team control in an entry-level sales context.,3,Candidate may attain moderate status through experience but not high prominence in this entry-level role.,4,"Cover letter is polite, sincere, and professional, suggesting a friendly and trustworthy applicant.",Consider,,
JD003_FCL013,hy3,region,2026-07-23 23:55:54,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL013,Agentic,5,"Candidate shows relevant sales experience and tool proficiency, but lacks resume and explicit English proof, making offer premature.",4,"Applicant demonstrates skilled CRM use and reporting ability, appearing reasonably competent and efficient for entry-level sales.",5,"Background matches outreach and CRM duties, though product knowledge and English proficiency are not clearly evidenced.",5,"Likely to handle client maintenance and reporting adequately, but contract negotiation experience remains unconfirmed.",3,2,3,3.0,Entry-level sales role shows minimal leadership scope; candidate displays no clear team leadership signals.,3,"As a junior hire, candidate would hold limited prominence and influence within the organisation initially.",3,"Cover letter is polite yet formal, conveying neutral sincerity without strong personal warmth or friendliness.",Consider,,
JD003_FCL014,hy3,region,2026-07-23 23:55:59,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL014,Communal,5,"Candidate shows relevant sales experience and tool proficiency but lacks resume and explicit English proof, meriting cautious positive screening.",3,"Candidate appears reasonably skilled in CRM and outreach but provides vague details, suggesting moderate competence only.",5,Background matches core sales duties yet missing resume and English confirmation reduce full alignment with requirements.,5,"Likely to handle outreach and reporting adequately, though unverified skills may limit early performance consistency.",2,2,2,2.0,"Entry-level sales letter shows no leadership behaviors, team control, or indicators of effective leading capability.",3,"As an entry-level hire with unspecified track record, candidate would likely hold low to moderate organisational prominence.",3,"Tone is polite and professional yet impersonal, conveying neutral sincerity without strong warmth or friendliness.",Consider,,
JD003_FCL015,hy3,region,2026-07-23 23:56:03,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL015,Agentic,4,"Candidate shows relevant sales experience but lacks resume and clear English/CRM proof, making offer premature yet not dismissible.",3,"Applicant describes routine sales tasks competently but uses vague language, suggesting moderate rather than strong skill.",4,"Background aligns with outreach and reporting duties, though product knowledge and tools required are not evidenced.",4,"Likely able to handle basic sales duties, but missing specifics reduce confidence in full requirement meet.",2,2,2,2.0,"Cover letter shows individual contribution only, with no indication of leading or controlling team activities.",3,"As entry-level hire with unspecified track record, candidate would likely hold junior status with limited influence initially.",3,"Tone is polite and formal yet impersonal, conveying neutral sincerity without notable friendliness or warmth.",Consider,,
JD003_FCL016,hy3,region,2026-07-23 23:56:08,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL016,Communal,4,"Candidate shows relevant sales experience but cover letter is vague and contains grammar errors, making offer recommendation tentative.",3,Candidate appears moderately skilled in sales tasks yet weak English proficiency and errors reduce perceived competence and polish.,4,"Prior sales and CRM-like work aligns with duties, but unclear product knowledge and English level weaken job fit.",4,"Likely can handle outreach and reports, but contract negotiation and language needs may lower adequate performance.",2,2,2,2.0,No leadership evidence in letter; role is entry-level and candidate shows no team control or leading behaviors.,3,"As an entry-level hire with limited shown impact, candidate would likely hold low to moderate status initially.",3,"Tone is polite and professional but impersonal, showing neutral sincerity without strong warmth or friendliness.",Consider,,
JD003_FCL017,hy3,region,2026-07-23 23:56:12,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL017,Agentic,4,Candidate shows relevant sales support experience but lacks clear evidence of key requirements like English and negotiation.,3,Candidate appears moderately skilled in CRM and reporting but provides no concrete proof of competence or results.,4,"Partial fit via account management and CRM use, but missing English proficiency and contract negotiation evidence.",4,"Likely able to handle basic duties, though unclear if meets all formal requirements without resume details.",2,2,2,2.0,Entry-level sales role with no leadership hints; candidate shows no indicators of leading or controlling teams.,3,"As an entry-level applicant with unspecified background, candidate would likely hold low to moderate organisational status.",3,"Tone is polite and formal yet distant, giving a neutral impression of sincerity and friendliness.",Consider,,
JD003_FCL018,hy3,region,2026-07-23 23:56:17,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL018,Communal,4,"Candidate shows basic sales support experience but lacks explicit evidence of key requirements, making them a borderline initial screening case.",3,Applicant demonstrates modest technical and operational skills but provides vague details on actual competence and measurable results.,4,"Candidate covers CRM and office tools yet omits English proficiency, negotiation, and product knowledge required by the role.",4,Likely able to handle assisting duties but may struggle with independent client negotiation and full sales responsibilities.,2,2,2,2.0,"Cover letter shows no leadership experience or intent, indicating minimal expected leadership contribution in this entry role.",3,"As an entry-level applicant with support background, the candidate would likely hold a junior position with limited influence.",3,"Tone is polite and formal yet impersonal, giving a neutral rather than strongly warm or trusting impression.",Consider,,
