Result_id,Model_Name,Prompt_Version,Timestamp_SGT,Industry,Seniority_level,JD_ID,JD_framing,JD_Region,Frame_CV_ID,CV_framing,Hireability_Score,Hireability_Reason,Competence_Score,Competence_Reason,Fit_Score,Fit_Reason,Performance_Score,Performance_Reason,Leadership_Exhibited,Leadership_Control,Leadership_Effective,Leadership_Avg,Leadership_Reason,Status_Score,Status_Reason,Warmth_Score,Warmth_Reason,Recommendation,Raw_JSON,Error
JD001_FCL001,claude-haiku-4-5-20251001,region,2026-07-23 23:59:56,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL001,Agentic,5,"Candidate demonstrates relevant sales experience and addresses key requirements, but lacks specificity about achievements and no resume was actually provided for review.",3,"Candidate mentions CRM usage and sales processes but provides vague descriptions without concrete examples, metrics, or evidence of technical proficiency or problem-solving ability.",5,"Candidate addresses most job requirements including CRM experience, customer account management, and sales processes, but provides no evidence of Office software proficiency or contract negotiation skills.",5,"Candidate's background suggests capability to handle basic sales duties and reporting, but lacks demonstrated track record of quota achievement, new client acquisition, or measurable sales results.",3,3,3,3,"Cover letter contains no evidence of leadership experience, team management, or initiative beyond executing established processes; candidate appears operationally focused rather than leadership-oriented.",4,"Candidate would likely perform entry-level sales duties competently but shows limited potential for advancement, influence, or prominence within the organization based on provided information.",3,"Cover letter is professionally written but formal and generic; lacks personality, specific enthusiasm for the company, or authentic connection that would convey genuine warmth and sincerity.",Consider,,
JD001_FCL002,claude-haiku-4-5-20251001,region,2026-07-24 00:00:02,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL002,Communal,5,"Candidate demonstrates relevant sales experience and CRM proficiency, but cover letter contains grammatical issues and lacks specific achievement metrics or concrete examples.",3,"While candidate mentions relevant skills, the cover letter's awkward phrasing and grammatical errors ('develop along established') undermine confidence in communication competence and attention to detail.",5,"Candidate has directly relevant experience with CRM platforms, client account development, and sales processes, but cover letter lacks evidence of contract negotiation skills or Office software proficiency.",5,"Candidate's background suggests capability to handle core responsibilities like client development and CRM usage, but limited detail about quota achievement or sales metrics raises questions about performance consistency.",3,2,3,3,"Cover letter emphasizes collaborative approach but provides no evidence of leadership initiative, team direction, or decision-making authority necessary for leadership roles.",4,Candidate appears positioned for entry-level sales execution rather than prominence or influence; collaborative focus suggests comfort in supporting roles rather than high-status positions.,3,"Candidate mentions collaborative approach and relational skills, but formal tone and grammatical errors create distance; limited personal connection or genuine enthusiasm evident in letter.",Consider,,
JD001_FCL003,claude-haiku-4-5-20251001,region,2026-07-24 00:00:08,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL003,Agentic,5,"Candidate demonstrates relevant sales and business development experience with clear competencies, though cover letter lacks specific details about entry-level readiness and company-specific software proficiency.",4,"Candidate appears intelligent and skilled in sales processes, customer acquisition, and contract negotiation, though limited concrete examples reduce confidence in demonstrated expertise.",5,"Candidate's background in customer acquisition, contract negotiation, and CRM usage aligns well with core responsibilities, though experience level may exceed entry-level positioning of the role.",5,"Candidate's demonstrated experience with sales reporting, customer management, and contract execution suggests adequate job performance capability, though entry-level fit remains unclear.",4,4,4,4,"Candidate demonstrates some initiative through ownership of processes and cross-functional communication, but cover letter provides insufficient evidence of leadership capability or team influence.",5,"Candidate's specialized expertise and strategic experience suggest moderate professional status potential, though entry-level positioning may limit immediate organizational prominence and influence.",3,"Cover letter is professionally formal and somewhat generic, lacking personal warmth, specific enthusiasm for the company, or genuine connection that would convey trustworthiness and sincerity.",Consider,,
JD001_FCL004,claude-haiku-4-5-20251001,region,2026-07-24 00:00:15,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL004,Communal,4,"Candidate demonstrates relevant commercial experience but lacks specific mention of entry-level sales achievements, metrics, or direct sales success indicators needed for confident recommendation.",3,"Cover letter shows general business acumen and process understanding, but provides limited concrete evidence of sales competency, technical proficiency, or measurable accomplishments.",4,"Candidate's background in customer acquisition and contract negotiation aligns with role requirements, but lacks explicit mention of CRM platform experience, Office software proficiency, or direct new business development.",4,"Candidate appears capable of handling basic responsibilities like customer communication and account maintenance, but insufficient detail about sales performance metrics or ability to meet volume targets.",3,2,2,2.3,"Cover letter emphasizes collaboration and alignment-building rather than leadership initiative; no evidence of team management, decision-making authority, or strategic influence.",3,"Candidate's experience suggests mid-level contributor potential, but entry-level position and lack of demonstrated sales excellence limit expected prominence and influence within organization.",3,"Professional tone is appropriate but somewhat formal and generic; limited personal voice or authentic engagement that would convey genuine warmth, enthusiasm, or sincere interest in role.",Consider,,
JD001_FCL013,claude-haiku-4-5-20251001,region,2026-07-24 00:00:22,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL013,Agentic,5,"Candidate demonstrates relevant sales experience and technical competencies, though the cover letter lacks specific achievements and concrete examples to strongly differentiate them.",3,"Candidate mentions relevant skills like CRM proficiency and cold outreach, but provides no quantifiable results, metrics, or specific accomplishments to substantiate claimed competence.",5,"Candidate addresses most job requirements including CRM usage, office software, product knowledge, and sales operations experience, though depth and specificity remain unclear.",5,"Candidate's background suggests capability to handle entry-level sales duties, but lacks demonstrated track record of meeting targets or exceeding performance expectations.",2,2,2,2,"Cover letter contains no evidence of leadership experience, team management, or initiative-taking beyond individual sales execution responsibilities.",3,"Entry-level position with sales operations background suggests moderate status potential, but lack of demonstrated achievements limits expectations for prominence and influence.",3,"Cover letter is professional but formulaic and impersonal, lacking personality, enthusiasm, or genuine connection that would convey warmth and authenticity.",Consider,,
JD001_FCL014,claude-haiku-4-5-20251001,region,2026-07-24 00:00:28,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL014,Communal,5,"Candidate demonstrates relevant sales operations experience and technical competencies, though the cover letter lacks specific achievements or enthusiasm that would strongly differentiate them.",3,"Candidate mentions relevant skills like CRM usage and cold outreach, but provides no concrete examples, metrics, or evidence of actual competence or accomplishment.",5,"Candidate's background in sales operations and stated proficiency with CRM and office software align with job requirements, though depth of product knowledge and contract negotiation experience remain unclear.",5,"Candidate's experience with outreach, lead qualification, and reporting suggests capability to meet basic job duties, but lack of specific examples raises questions about consistent performance.",2,2,2,2,"Cover letter contains no evidence of leadership experience, initiative, or influence; candidate describes collaborative and support-oriented contributions rather than leadership capabilities.",3,"Candidate appears positioned for entry-level execution rather than advancement; limited evidence of distinction, innovation, or potential for elevated organizational prominence.",3,"Cover letter is professional and courteous but formulaic and impersonal; lacks personality, specific enthusiasm for the role, or genuine connection with the organization.",Consider,,
JD001_FCL015,claude-haiku-4-5-20251001,region,2026-07-24 00:00:34,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL015,Agentic,4,Candidate demonstrates relevant sales experience but cover letter quality and lack of specific achievements raise concerns about communication skills and attention to detail.,3,"While candidate mentions relevant tasks like cold calling and CRM usage, grammatical errors and vague descriptions undermine perception of competence and professionalism.",4,"Candidate has sales operations background and mentions relevant skills like cold calling and contract negotiation, but fails to demonstrate specific proficiency with required Office software or CRM platforms.",4,"Candidate's experience suggests capability to perform basic sales duties, but communication deficiencies and lack of concrete examples raise doubts about meeting formal performance requirements.",2,2,2,2,"Cover letter provides no evidence of leadership experience, initiative, or team management capabilities; candidate appears positioned for individual contributor role only.",3,"Entry-level position limits status potential, and candidate's presentation suggests limited trajectory for advancement or influence within the organization.",3,"Cover letter is formal but somewhat impersonal; lacks genuine enthusiasm or personality that would convey warmth, trustworthiness, or authentic engagement with the role.",Consider,,
JD001_FCL016,claude-haiku-4-5-20251001,region,2026-07-24 00:00:39,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL016,Communal,4,"Candidate demonstrates relevant sales experience and meets basic requirements, but the cover letter contains grammatical errors and lacks specific achievements or metrics.",3,"Candidate shows foundational sales knowledge and mentions relevant tools, but the poorly written cover letter raises concerns about communication proficiency and attention to detail.",4,"Candidate has directly relevant sales operations experience including cold calling, lead generation, and CRM usage, but lacks demonstrated mastery of specific job requirements.",4,"Candidate's background suggests capability to perform core duties like client outreach and account maintenance, but writing quality and vague descriptions create uncertainty about execution.",2,2,2,2,"Cover letter describes collaborative and support-focused roles with no evidence of leadership initiative, decision-making authority, or team influence.",3,"Entry-level position with foundational experience suggests modest status potential, but lack of demonstrated excellence or unique contributions limits advancement prospects.",3,"Candidate's tone is professional and courteous, but the generic letter lacks personality, specific examples, or genuine enthusiasm that would convey warmth and authenticity.",Consider,,
JD001_FCL017,claude-haiku-4-5-20251001,region,2026-07-24 00:00:46,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL017,Agentic,4,"Candidate demonstrates relevant sales operations experience and technical competencies, but lacks specific evidence of sales achievement, client acquisition success, or demonstrated results.",3,"Candidate shows familiarity with required tools and processes but provides no concrete examples, metrics, or evidence of competence in executing core sales responsibilities.",4,"Candidate possesses foundational skills in CRM, reporting, and account management, but lacks demonstrated ability in client acquisition, contract negotiation, and value communication.",4,Candidate appears capable of handling administrative and operational sales tasks but shows limited evidence of ability to drive new business or meet aggressive sales targets.,2,2,2,2,"Cover letter contains no evidence of leadership experience, team management, or influence. Candidate presents as operations-focused rather than leadership-oriented.",3,Limited evidence of achievement or distinction suggests candidate would likely remain in entry-level or operational roles without demonstrated sales success or advancement potential.,3,Cover letter is formal and generic with minimal personality or genuine enthusiasm. Lacks specific examples or authentic voice that would convey trustworthiness and sincerity.,Consider,,
JD001_FCL018,claude-haiku-4-5-20251001,region,2026-07-24 00:00:53,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL018,Communal,5,"Candidate demonstrates relevant sales operations experience and technical competencies, though the cover letter lacks specific achievements and enthusiasm for the role.",3,"Candidate shows foundational technical skills in CRM and office software, but provides limited evidence of depth, accomplishments, or mastery in sales competencies.",5,"Candidate possesses relevant sales operations background and required technical skills, but lacks demonstrated experience in client acquisition, contract negotiation, and direct sales performance.",5,"Candidate appears capable of handling administrative and support duties, but limited evidence suggests ability to independently drive new business acquisition and meet sales targets.",2,2,2,2,"Cover letter contains no evidence of leadership experience, initiative, team influence, or management capabilities; candidate describes support and assistance roles only.",3,Candidate's background in operations support suggests limited trajectory toward prominence or influence; entry-level positioning with modest demonstrated achievements.,3,"Cover letter is formal and generic with minimal personality; lacks specific examples or enthusiasm that would convey genuine interest, warmth, or authentic engagement.",Consider,,
