CV_ID,Base_CV_ID,Set,Field,Framing,Cover_Letter,Agentic,Communal,Neutral,Negative,Term,Total Count,Base Count,Word%,A/C%
1,1,1,Sales / Business Development,Agentic,"Dear Hiring Manager,

I am writing to express my strong interest in the Sales Executive position at your company. As a professional specialized in market expansion and customer management, I am eager to take full ownership of the operational responsibilities outlined for this role.

In my previous position, my daily duties involved managing customer accounts, tracking regional industry metrics, and executing established sales processes to achieve the quarterly quota. I leverage standard CRM software to optimize operational data, resolve complex issues, and ensure that specific customer requirements are accurately documented. My proactive approach to communication focuses on presenting clear product presentations and delivering technical information to help stakeholders execute their purchasing action.

Enclosed is my resume, which delivers additional details regarding my qualifications and specialization. I welcome the opportunity for an interview to demonstrate how my expertise will bring immediate value to your organization.

Thank you for your time and consideration.

Regards,
[Your Name]",13,0,23,0,0,148,144,102.7777778,8.783783784
2,1,1,Sales / Business Development,Communal,"Dear Hiring Manager,

I am writing to submit my application for the Sales Executive position at your company. With my collection of education and work experience in business development and customer management, I look forward to dedicating myself to fulfill the responsibilities of this role.

In my previous position, my daily duties involved developing customer accounts alongside the team, tracking regional industry metrics, and following established sales processes to contribute to the quarterly quota. I utilize standard CRM software to log operational data, address issues together, and ensure that specific customer requirements are supported and documented. My collaborative approach to communication focuses on explaining clear product presentations and sharing technical information to help stakeholders consider their purchasing actions.

Enclosed is my resume, which shares additional details regarding my qualifications and skills. I welcome the opportunity for an interview to explore how my relational skills will support your organization.

Thank you for your time and consideration.

Sincerely,
[Your Name]",2,11,27,0,0,152,144,105.5555556,7.236842105
3,2,2,Sales / Business Development,Agentic,"Dear Hiring Manager,

Please accept this application for the Business Development Specialist role currently open within your organization. I have established specialized expertise in the commercial sector, where I have strategically spent several years identifying industry growth paths and monitoring market developments.

My experience includes managing customer acquisition processes, conducting systematic reviews of industry data, and maintaining direct communication across internal and external groups. In my last assignment, I took ownership of identifying alignment between our product specifications and specific customer requirements, executing an optimized workflow from initial contract discussions to final signing. I am accustomed to leveraging performance tracking software and technology to report on account status and deliver operational information to the organization.

I have attached my resume for your comprehensive review. I look forward to the possibility of a follow-up contact to schedule a discussion regarding my qualifications for this position.

Regards,
[Your Name]",14,0,22,0,0,142,140,101.4285714,9.85915493
4,2,2,Sales / Business Development,Communal,"Dear Hiring Manager,

Please accept this application for the Business Development Specialist role currently open within your organization. I have built relevant experience in the commercial sector, where I have dedicated several years identifying industry growth paths and monitoring market developments.

My experience includes supporting customer acquisition processes, conducting systematic reviews of industry data, and maintaining professional communication across internal and external teams. In my last assignment, I was responsible for building alignment between our product specifications and specific client requirements, ensuring a collaborated workflow from initial contract discussions to final signing. I am accustomed to using performance tracking software and technology to connect on account status and provide helpful information to the organization.

I have attached my resume for your comprehensive review. I look forward to the possibility of a follow-up contact to schedule a discussion and share my qualifications for this position.

Sincerely,
[Your Name]",4,15,21,0,0,142,140,101.4285714,10.56338028
5,3,3,Procurement / Sourcing / Supply Chain,Agentic,"Dear Hiring Manager,

I am writing to apply for the Procurement Officer position at your company. I have driven a strategic background in supply chain activities, with specialized expertise working with vendor, contract administration, and compliance monitoring.

In my previous role, I took ownership of executing standard procurement processes, including verifying vendor qualifications and tracking adherence to strict technical requirements. I consistently checked data during pricing reviews to optimize performance and ensure purchases remained within the allocated departmental budget. Additionally, I negotiated terms for commercial agreements and managed quality across all supplier products to maintain full compliance with internal operating policies.

My attached resume details my formal credentials and specific experience with enterprise resource planning software. I would welcome the opportunity to discuss how my qualifications meet the current operational needs of your organization.

Thank you for your time and consideration.

Regards,
[Your Name]",14,0,20,0,1,138,131,105.3435115,10.14492754
6,3,3,Procurement / Sourcing / Supply Chain,Communal,"Dear Hiring Manager,

I am writing to apply for the Procurement Officer position at your company. I have built a background in supply chain activities, with dedicated experience working with vendor, contract administration, and compliance monitoring.

In my previous role, I was responsible for working standard procurement processes, including verifying vendor qualifications and supporting adherence to technical requirements. I regularly checked data during pricing reviews alongside internal teams to ensure purchases remained within the collective budget. Additionally, I worked with both sides to reach an agreement for commercial contracts and built trust across all supplier products to maintain full compliance with internal operating policies.

My attached resume details my formal credentials and specific experience with enterprise resource planning software. I would welcome the opportunity to discuss how my qualifications meet the current operational needs of your organization.

Thank you for your time and consideration.

Sincerely,
[Your Name]",1,11,20,0,0,141,131,107.6335878,7.80141844
7,4,4,Procurement / Sourcing / Supply Chain,Agentic,"Dear Hiring Manager,

This letter is in reference to the Logistics Coordinator role currently available within your organization. My background includes strong technical training and experience in supply chain tracking, logistics, and inventory management.

My professional focus is on executing high-caliber, driven workflow processes. In my last position, I managed inventory levels, optimized performance in shipment schedules, and coordinated tracking data using in-house logistics software. Whenever discrepancies arose, I utilized my problem-solving skills by tracking the variance back to its source. I executed tasks with others from warehouse operations and transportation to ensure that physical stock levels aligned exactly with system requirements.

My qualifications are outlined in detail in the attached resume. Please feel free to contact me via the information provided to schedule a discussion regarding this position.

Thank you for your review and consideration.

Regards,
[Your Name]",10,0,21,0,0,133,127,104.7244094,7.518796992
8,4,4,Procurement / Sourcing / Supply Chain,Communal,"Dear Hiring Manager,

This letter is in reference to the Logistics Coordinator role currently available within your organization. My background includes technical training and joint experience in supply chain tracking, logistics, and inventory management.

My professional focus is on maintaining stable, supportive workflow processes. In my last position, I assisted in monitoring inventory levels, updated shipment schedules, and coordinated tracking data alongside the team using in-house logistics software. Whenever discrepancies arose, I restored harmony by tracking the variance back to its source. I worked with others with a cooperative spirit from warehouse operations and transportation to ensure that physical stock levels aligned exactly with system requirements.

My qualifications are outlined in detail in the attached resume. Please feel free to contact me via the information provided to schedule a discussion regarding this position.

Thank you for your review and consideration.

Sincerely,
[Your Name]",1,11,20,0,1,137,127,107.8740157,8.02919708
9,5,5,Project Management / Programme Management,Agentic,"Dear Hiring Manager,

I am writing to express my interest in the Project Manager position at your company. I possess experience in corporate administration, where my focus is on tracking project deliverables, budgets, and maintaining project timelines.

Throughout my career, I have effectively managed a project workflow from initial scope definition through to completion based on documented requirements. My daily tasks include executing main project schedules and tracking resource allocation against the budget using tracking software. In my previous assignments, I directed technical personnel and optimized performance across all milestones by adhering strictly to formal testing and verification compliance frameworks. My background includes specialized certification in standard project methodologies.

Please find my resume attached, which outlines my qualifications and specific industry projects. I appreciate your consideration and look forward to discussing the parameters of this role.

Regards,
[Your Name]",13,0,18,0,1,134,138,97.10144928,9.701492537
10,5,5,Project Management / Programme Management,Communal,"Dear Hiring Manager,

I am writing to express my interest in the Project Manager position at your company. I possess cooperative experience in corporate administration, where my shared focus is on tracking project deliverables, budgets, and maintaining project timelines.

Throughout my career, I have successfully looked after a project workflow as a collaborative effort from initial scope definition through to completion based on documented requirements. My daily tasks include updating main project schedules and tracking resource allocation alongside the team using tracking software. In my previous assignments, I led a cohesive team of technical personnel and ensured supportive work across all milestones by adhering strictly to formal testing and verification compliance frameworks. My background includes specific certification in standard project methodologies.

Please find my resume attached, which outlines my contribution, qualifications and specific industry projects. I sincerely appreciate your consideration and look forward to discussing the parameters of this role.

Sincerely,
[Your Name]",2,11,18,0,0,148,138,107.2463768,7.432432432
