JD_ID,Industry,Role_Family,Seniority,Region,Framing,Full_Job_Description,Source_Phrases
EXP_001,Sales / Business Development,Sales,Entry-Level,USA,Neutral,"**Job Title:** Entry-Level Sales
**Location:** USA

**Responsibilities:**
- Build and maintain a strong sales presence for [Company].
- Create and adapt communication plans and messages in support of local colleagues.
- Research and present technical solutions to clients to solve business challenges.
- Acquire new clients through proactive canvassing.
- Prepare periodic sales reports showing sales volume, potential sales, and areas of expansion.
- Communicate value to customers to promote new business.
- Develop sales matrices and enable the broader sales strategy.

**Requirements:**
- Submit a resume for consideration.
- Demonstrate proficiency in English language.
- Maintain competitive product and pricing knowledge.
- Utilize [Company] Office suite tools effectively.
- Apply significant experience with CRM programs.
- Maintain knowledge required to demonstrate standard equipment and software.","P_012803, P_001604, P_002580, P_020521, P_001203, P_022122, P_014305, P_014854, P_013777, P_004985, P_019706, P_004045, P_011397, P_012897, P_006892, P_011539, P_013777, P_014842, P_001340"
EXP_002,Sales / Business Development,Sales,Entry-Level,USA,Balanced,"**Job Title:** Entry-Level Sales
**Location:** USA

**Responsibilities:**
- Build and maintain a strong sales presence for [Company].
- Create and adapt communication plans and messages in support of local colleagues.
- Research and present technical solutions to clients to solve business challenges.
- Acquire new clients through proactive canvassing.
- Prepare periodic sales reports showing sales volume, potential sales, and areas of expansion.
- Communicate value to customers to promote new business.
- Develop sales matrices and enable the broader sales strategy.

**Requirements:**
- Submit a resume for consideration.
- Demonstrate proficiency in English language.
- Maintain competitive product and pricing knowledge.
- Utilize [Company] Office suite tools effectively.
- Apply significant experience with CRM programs.
- Maintain knowledge required to demonstrate standard equipment and software.

**Competencies:**
- Demonstrate a track record of driving results.
- Exhibit achievement orientation in all tasks.
- Cultivate a growth mindset.
- Maintain strong interpersonal relationships.
- Coach others to reach peak performance.
- Build key business partnerships.","P_012803, P_001604, P_002580, P_020521, P_001203, P_022122, P_014305, P_014854, P_013777, P_004985, P_019706, P_004045, P_011397, P_012897, P_006892, P_011539, P_013777, P_014842, P_001340"
EXP_003,Sales / Business Development,Sales,Entry-Level,China,Neutral,"**Job Title:** Entry-Level Sales
**Location:** China

**Responsibilities:**
- Build and maintain a strong sales presence for [Company].
- Create and adapt communication plans and messages in support of local colleagues.
- Research and present technical solutions to clients to solve business challenges.
- Acquire new clients through proactive canvassing.
- Prepare periodic sales reports showing sales volume, potential sales, and areas of expansion.
- Communicate value to customers to promote new business.
- Develop sales matrices and enable the broader sales strategy.

**Requirements:**
- Submit a resume for consideration.
- Demonstrate proficiency in English language.
- Maintain competitive product and pricing knowledge.
- Utilize [Company] Office suite tools effectively.
- Apply significant experience with CRM programs.
- Maintain knowledge required to demonstrate standard equipment and software.","P_012803, P_001604, P_002580, P_020521, P_001203, P_022122, P_014305, P_014854, P_013777, P_004985, P_019706, P_004045, P_011397, P_012897, P_006892, P_011539, P_013777, P_014842, P_001340"
EXP_004,Sales / Business Development,Sales,Entry-Level,China,Balanced,"**Job Title:** Entry-Level Sales
**Location:** China

**Responsibilities:**
- Build and maintain a strong sales presence for [Company].
- Create and adapt communication plans and messages in support of local colleagues.
- Research and present technical solutions to clients to solve business challenges.
- Acquire new clients through proactive canvassing.
- Prepare periodic sales reports showing sales volume, potential sales, and areas of expansion.
- Communicate value to customers to promote new business.
- Develop sales matrices and enable the broader sales strategy.

**Requirements:**
- Submit a resume for consideration.
- Demonstrate proficiency in English language.
- Maintain competitive product and pricing knowledge.
- Utilize [Company] Office suite tools effectively.
- Apply significant experience with CRM programs.
- Maintain knowledge required to demonstrate standard equipment and software.

**Competencies:**
- Demonstrate a track record of driving results.
- Exhibit achievement orientation in all tasks.
- Cultivate a growth mindset.
- Maintain strong interpersonal relationships.
- Coach others to reach peak performance.
- Build key business partnerships.","P_012803, P_001604, P_002580, P_020521, P_001203, P_022122, P_014305, P_014854, P_013777, P_004985, P_019706, P_004045, P_011397, P_012897, P_006892, P_011539, P_013777, P_014842, P_001340"
EXP_005,Sales / Business Development,Sales,Entry-Level,Europe,Neutral,"**Job Title:** Entry-Level Sales
**Location:** Europe

**Responsibilities:**
- Build and maintain a strong sales presence for [Company].
- Create and adapt communication plans and messages in support of local colleagues.
- Research and present technical solutions to clients to solve business challenges.
- Acquire new clients through proactive canvassing.
- Prepare periodic sales reports showing sales volume, potential sales, and areas of expansion.
- Communicate value to customers to promote new business.
- Develop sales matrices and enable the broader sales strategy.

**Requirements:**
- Submit a resume for consideration.
- Demonstrate proficiency in English language.
- Maintain competitive product and pricing knowledge.
- Utilize [Company] Office suite tools effectively.
- Apply significant experience with CRM programs.
- Maintain knowledge required to demonstrate standard equipment and software.","P_012803, P_001604, P_002580, P_020521, P_001203, P_022122, P_014305, P_014854, P_013777, P_004985, P_019706, P_004045, P_011397, P_012897, P_006892, P_011539, P_013777, P_014842, P_001340"
EXP_006,Sales / Business Development,Sales,Entry-Level,Europe,Balanced,"**Job Title:** Entry-Level Sales
**Location:** Europe

**Responsibilities:**
- Build and maintain a strong sales presence for [Company].
- Create and adapt communication plans and messages in support of local colleagues.
- Research and present technical solutions to clients to solve business challenges.
- Acquire new clients through proactive canvassing.
- Prepare periodic sales reports showing sales volume, potential sales, and areas of expansion.
- Communicate value to customers to promote new business.
- Develop sales matrices and enable the broader sales strategy.

**Requirements:**
- Submit a resume for consideration.
- Demonstrate proficiency in English language.
- Maintain competitive product and pricing knowledge.
- Utilize [Company] Office suite tools effectively.
- Apply significant experience with CRM programs.
- Maintain knowledge required to demonstrate standard equipment and software.

**Competencies:**
- Demonstrate a track record of driving results.
- Exhibit achievement orientation in all tasks.
- Cultivate a growth mindset.
- Maintain strong interpersonal relationships.
- Coach others to reach peak performance.
- Build key business partnerships.","P_012803, P_001604, P_002580, P_020521, P_001203, P_022122, P_014305, P_014854, P_013777, P_004985, P_019706, P_004045, P_011397, P_012897, P_006892, P_011539, P_013777, P_014842, P_001340"
EXP_007,Sales / Business Development,Sales,Entry-Level,Singapore,Neutral,"**Job Title:** Entry-Level Sales
**Location:** Singapore

**Responsibilities:**
- Build and maintain a strong sales presence for [Company].
- Create and adapt communication plans and messages in support of local colleagues.
- Research and present technical solutions to clients to solve business challenges.
- Acquire new clients through proactive canvassing.
- Prepare periodic sales reports showing sales volume, potential sales, and areas of expansion.
- Communicate value to customers to promote new business.
- Develop sales matrices and enable the broader sales strategy.

**Requirements:**
- Submit a resume for consideration.
- Demonstrate proficiency in English language.
- Maintain competitive product and pricing knowledge.
- Utilize [Company] Office suite tools effectively.
- Apply significant experience with CRM programs.
- Maintain knowledge required to demonstrate standard equipment and software.","P_012803, P_001604, P_002580, P_020521, P_001203, P_022122, P_014305, P_014854, P_013777, P_004985, P_019706, P_004045, P_011397, P_012897, P_006892, P_011539, P_013777, P_014842, P_001340"
EXP_008,Sales / Business Development,Sales,Entry-Level,Singapore,Balanced,"**Job Title:** Entry-Level Sales
**Location:** Singapore

**Responsibilities:**
- Build and maintain a strong sales presence for [Company].
- Create and adapt communication plans and messages in support of local colleagues.
- Research and present technical solutions to clients to solve business challenges.
- Acquire new clients through proactive canvassing.
- Prepare periodic sales reports showing sales volume, potential sales, and areas of expansion.
- Communicate value to customers to promote new business.
- Develop sales matrices and enable the broader sales strategy.

**Requirements:**
- Submit a resume for consideration.
- Demonstrate proficiency in English language.
- Maintain competitive product and pricing knowledge.
- Utilize [Company] Office suite tools effectively.
- Apply significant experience with CRM programs.
- Maintain knowledge required to demonstrate standard equipment and software.

**Competencies:**
- Demonstrate a track record of driving results.
- Exhibit achievement orientation in all tasks.
- Cultivate a growth mindset.
- Maintain strong interpersonal relationships.
- Coach others to reach peak performance.
- Build key business partnerships.","P_012803, P_001604, P_002580, P_020521, P_001203, P_022122, P_014305, P_014854, P_013777, P_004985, P_019706, P_004045, P_011397, P_012897, P_006892, P_011539, P_013777, P_014842, P_001340"
EXP_009,Sales / Business Development,Sales,Senior-Level,USA,Neutral,"**Job Title:** Senior-Level Sales
**Location:** USA

**Responsibilities:**
- Build and maintain a strong sales presence for [Company].
- Create and adapt communication plans and messages in support of local colleagues.
- Research and present technical solutions to clients to solve business challenges.
- Acquire new clients through proactive canvassing.
- Prepare periodic sales reports showing sales volume, potential sales, and areas of expansion.
- Communicate value to customers to promote new business.
- Develop sales matrices and enable the broader sales strategy.

**Requirements:**
- Submit a resume for consideration.
- Demonstrate proficiency in English language.
- Maintain competitive product and pricing knowledge.
- Utilize [Company] Office suite tools effectively.
- Apply significant experience with CRM programs.
- Maintain knowledge required to demonstrate standard equipment and software.","P_012803, P_001604, P_002580, P_020521, P_001203, P_022122, P_014305, P_014854, P_013777, P_004985, P_019706, P_004045, P_011397, P_012897, P_006892, P_011539, P_013777, P_014842, P_001340"
EXP_010,Sales / Business Development,Sales,Senior-Level,USA,Balanced,"**Job Title:** Senior-Level Sales
**Location:** USA

**Responsibilities:**
- Build and maintain a strong sales presence for [Company].
- Create and adapt communication plans and messages in support of local colleagues.
- Research and present technical solutions to clients to solve business challenges.
- Acquire new clients through proactive canvassing.
- Prepare periodic sales reports showing sales volume, potential sales, and areas of expansion.
- Communicate value to customers to promote new business.
- Develop sales matrices and enable the broader sales strategy.

**Requirements:**
- Submit a resume for consideration.
- Demonstrate proficiency in English language.
- Maintain competitive product and pricing knowledge.
- Utilize [Company] Office suite tools effectively.
- Apply significant experience with CRM programs.
- Maintain knowledge required to demonstrate standard equipment and software.

**Competencies:**
- Demonstrate a track record of driving results.
- Exhibit achievement orientation in all tasks.
- Cultivate a growth mindset.
- Maintain strong interpersonal relationships.
- Coach others to reach peak performance.
- Build key business partnerships.","P_012803, P_001604, P_002580, P_020521, P_001203, P_022122, P_014305, P_014854, P_013777, P_004985, P_019706, P_004045, P_011397, P_012897, P_006892, P_011539, P_013777, P_014842, P_001340"
