JD_ID,EXP_JD_ID,Industry,Role_Family,Seniority,Region,Framing,Full_Job_Description,Source_Phrases
JD001,EXP_033,Sales / Business Development,Sales,Entry-Level,USA,Neutral,"**Job Title:** Entry-Level Sales
**Location:** USA

**Responsibilities:**
- Communicate value to customers to promote new business.
- Acquire new clients through outreach efforts.
- Adapt communication plans and messages in support of colleagues.
- Prepare periodic sales reports highlighting volume and expansion opportunities.
- Maintain existing customer accounts.
- Build and maintain a strong sales presence for [Company].

**Requirements:**
- Submit a current resume for consideration.
- Demonstrate proficiency in English.
- Utilize [Company] Office software effectively.
- Maintain active use of a CRM platform.
- Maintain comprehensive product and pricing knowledge.
- Negotiate contracts with prospective clients.","P_022122, P_020521, P_001604, P_001203, P_020521_2, P_012803, P_014854, P_013777, P_019706, P_004045, P_004985, P_020735, P_012897, P_006892, P_012376, P_011539, P_013777_2, P_012897_2, P_014842, P_019936"
JD002,EXP_034,Sales / Business Development,Sales,Entry-Level,USA,Balanced,"**Job Title:** Entry-Level Sales
**Location:** USA

**Responsibilities:**
- Communicate value to customers to promote new business.
- Acquire new clients through outreach efforts.
- Adapt communication plans and messages in support of colleagues.
- Prepare periodic sales reports highlighting volume and expansion opportunities.
- Maintain existing customer accounts.
- Build and maintain a strong sales presence for [Company].

**Requirements:**
- Submit a current resume for consideration.
- Demonstrate proficiency in English.
- Utilize [Company] Office software effectively.
- Maintain active use of a CRM platform.
- Maintain comprehensive product and pricing knowledge.
- Negotiate contracts with prospective clients.

**Competencies:**
- Drive consistent results.
- Demonstrate achievement orientation.
- Act as a self-starter.
- Exhibit a growth mindset.
- Collaborate across functions.
- Represent diverse customer perspectives to stakeholders.
- Foster positive interpersonal relationships.
- Establish robust customer and partner connections.","P_022122, P_020521, P_001604, P_001203, P_020521_2, P_012803, P_014854, P_013777, P_019706, P_004045, P_004985, P_020735, P_012897, P_006892, P_012376, P_011539, P_013777_2, P_012897_2, P_014842, P_019936"
JD003,EXP_035,Sales / Business Development,Sales,Entry-Level,China,Neutral,"**Job Title:** Entry-Level Sales
**Location:** China

**Responsibilities:**
- Communicate value to customers to promote new business.
- Acquire new clients through outreach efforts.
- Adapt communication plans and messages in support of colleagues.
- Prepare periodic sales reports highlighting volume and expansion opportunities.
- Maintain existing customer accounts.
- Build and maintain a strong sales presence for [Company].

**Requirements:**
- Submit a current resume for consideration.
- Demonstrate proficiency in English.
- Utilize [Company] Office software effectively.
- Maintain active use of a CRM platform.
- Maintain comprehensive product and pricing knowledge.
- Negotiate contracts with prospective clients.","P_022122, P_020521, P_001604, P_001203, P_020521_2, P_012803, P_014854, P_013777, P_019706, P_004045, P_004985, P_020735, P_012897, P_006892, P_012376, P_011539, P_013777_2, P_012897_2, P_014842, P_019936"
JD004,EXP_036,Sales / Business Development,Sales,Entry-Level,China,Balanced,"**Job Title:** Entry-Level Sales
**Location:** China

**Responsibilities:**
- Communicate value to customers to promote new business.
- Acquire new clients through outreach efforts.
- Adapt communication plans and messages in support of colleagues.
- Prepare periodic sales reports highlighting volume and expansion opportunities.
- Maintain existing customer accounts.
- Build and maintain a strong sales presence for [Company].

**Requirements:**
- Submit a current resume for consideration.
- Demonstrate proficiency in English.
- Utilize [Company] Office software effectively.
- Maintain active use of a CRM platform.
- Maintain comprehensive product and pricing knowledge.
- Negotiate contracts with prospective clients.

**Competencies:**
- Drive consistent results.
- Demonstrate achievement orientation.
- Act as a self-starter.
- Exhibit a growth mindset.
- Collaborate across functions.
- Represent diverse customer perspectives to stakeholders.
- Foster positive interpersonal relationships.
- Establish robust customer and partner connections.","P_022122, P_020521, P_001604, P_001203, P_020521_2, P_012803, P_014854, P_013777, P_019706, P_004045, P_004985, P_020735, P_012897, P_006892, P_012376, P_011539, P_013777_2, P_012897_2, P_014842, P_019936"
JD005,EXP_037,Sales / Business Development,Sales,Entry-Level,Europe,Neutral,"**Job Title:** Entry-Level Sales
**Location:** Europe

**Responsibilities:**
- Communicate value to customers to promote new business.
- Acquire new clients through outreach efforts.
- Adapt communication plans and messages in support of colleagues.
- Prepare periodic sales reports highlighting volume and expansion opportunities.
- Maintain existing customer accounts.
- Build and maintain a strong sales presence for [Company].

**Requirements:**
- Submit a current resume for consideration.
- Demonstrate proficiency in English.
- Utilize [Company] Office software effectively.
- Maintain active use of a CRM platform.
- Maintain comprehensive product and pricing knowledge.
- Negotiate contracts with prospective clients.","P_022122, P_020521, P_001604, P_001203, P_020521_2, P_012803, P_014854, P_013777, P_019706, P_004045, P_004985, P_020735, P_012897, P_006892, P_012376, P_011539, P_013777_2, P_012897_2, P_014842, P_019936"
JD006,EXP_038,Sales / Business Development,Sales,Entry-Level,Europe,Balanced,"**Job Title:** Entry-Level Sales
**Location:** Europe

**Responsibilities:**
- Communicate value to customers to promote new business.
- Acquire new clients through outreach efforts.
- Adapt communication plans and messages in support of colleagues.
- Prepare periodic sales reports highlighting volume and expansion opportunities.
- Maintain existing customer accounts.
- Build and maintain a strong sales presence for [Company].

**Requirements:**
- Submit a current resume for consideration.
- Demonstrate proficiency in English.
- Utilize [Company] Office software effectively.
- Maintain active use of a CRM platform.
- Maintain comprehensive product and pricing knowledge.
- Negotiate contracts with prospective clients.

**Competencies:**
- Drive consistent results.
- Demonstrate achievement orientation.
- Act as a self-starter.
- Exhibit a growth mindset.
- Collaborate across functions.
- Represent diverse customer perspectives to stakeholders.
- Foster positive interpersonal relationships.
- Establish robust customer and partner connections.","P_022122, P_020521, P_001604, P_001203, P_020521_2, P_012803, P_014854, P_013777, P_019706, P_004045, P_004985, P_020735, P_012897, P_006892, P_012376, P_011539, P_013777_2, P_012897_2, P_014842, P_019936"
JD007,EXP_039,Sales / Business Development,Sales,Entry-Level,Singapore,Neutral,"**Job Title:** Entry-Level Sales
**Location:** Singapore

**Responsibilities:**
- Communicate value to customers to promote new business.
- Acquire new clients through outreach efforts.
- Adapt communication plans and messages in support of colleagues.
- Prepare periodic sales reports highlighting volume and expansion opportunities.
- Maintain existing customer accounts.
- Build and maintain a strong sales presence for [Company].

**Requirements:**
- Submit a current resume for consideration.
- Demonstrate proficiency in English.
- Utilize [Company] Office software effectively.
- Maintain active use of a CRM platform.
- Maintain comprehensive product and pricing knowledge.
- Negotiate contracts with prospective clients.","P_022122, P_020521, P_001604, P_001203, P_020521_2, P_012803, P_014854, P_013777, P_019706, P_004045, P_004985, P_020735, P_012897, P_006892, P_012376, P_011539, P_013777_2, P_012897_2, P_014842, P_019936"
JD008,EXP_040,Sales / Business Development,Sales,Entry-Level,Singapore,Balanced,"**Job Title:** Entry-Level Sales
**Location:** Singapore

**Responsibilities:**
- Communicate value to customers to promote new business.
- Acquire new clients through outreach efforts.
- Adapt communication plans and messages in support of colleagues.
- Prepare periodic sales reports highlighting volume and expansion opportunities.
- Maintain existing customer accounts.
- Build and maintain a strong sales presence for [Company].

**Requirements:**
- Submit a current resume for consideration.
- Demonstrate proficiency in English.
- Utilize [Company] Office software effectively.
- Maintain active use of a CRM platform.
- Maintain comprehensive product and pricing knowledge.
- Negotiate contracts with prospective clients.

**Competencies:**
- Drive consistent results.
- Demonstrate achievement orientation.
- Act as a self-starter.
- Exhibit a growth mindset.
- Collaborate across functions.
- Represent diverse customer perspectives to stakeholders.
- Foster positive interpersonal relationships.
- Establish robust customer and partner connections.","P_022122, P_020521, P_001604, P_001203, P_020521_2, P_012803, P_014854, P_013777, P_019706, P_004045, P_004985, P_020735, P_012897, P_006892, P_012376, P_011539, P_013777_2, P_012897_2, P_014842, P_019936"
JD009,EXP_041,Sales / Business Development,Sales,Senior-Level,USA,Neutral,"**Job Title:** Senior-Level Sales
**Location:** USA

**Responsibilities:**
- Communicate value to customers to promote new business.
- Acquire new clients through outreach efforts.
- Adapt communication plans and messages in support of colleagues.
- Prepare periodic sales reports highlighting volume and expansion opportunities.
- Maintain existing customer accounts.
- Build and maintain a strong sales presence for [Company].

**Requirements:**
- Submit a current resume for consideration.
- Demonstrate proficiency in English.
- Utilize [Company] Office software effectively.
- Maintain active use of a CRM platform.
- Maintain comprehensive product and pricing knowledge.
- Negotiate contracts with prospective clients.","P_022122, P_020521, P_001604, P_001203, P_020521_2, P_012803, P_014854, P_013777, P_019706, P_004045, P_004985, P_020735, P_012897, P_006892, P_012376, P_011539, P_013777_2, P_012897_2, P_014842, P_019936"
JD010,EXP_042,Sales / Business Development,Sales,Senior-Level,USA,Balanced,"**Job Title:** Senior-Level Sales
**Location:** USA

**Responsibilities:**
- Communicate value to customers to promote new business.
- Acquire new clients through outreach efforts.
- Adapt communication plans and messages in support of colleagues.
- Prepare periodic sales reports highlighting volume and expansion opportunities.
- Maintain existing customer accounts.
- Build and maintain a strong sales presence for [Company].

**Requirements:**
- Submit a current resume for consideration.
- Demonstrate proficiency in English.
- Utilize [Company] Office software effectively.
- Maintain active use of a CRM platform.
- Maintain comprehensive product and pricing knowledge.
- Negotiate contracts with prospective clients.

**Competencies:**
- Drive consistent results.
- Demonstrate achievement orientation.
- Act as a self-starter.
- Exhibit a growth mindset.
- Collaborate across functions.
- Represent diverse customer perspectives to stakeholders.
- Foster positive interpersonal relationships.
- Establish robust customer and partner connections.","P_022122, P_020521, P_001604, P_001203, P_020521_2, P_012803, P_014854, P_013777, P_019706, P_004045, P_004985, P_020735, P_012897, P_006892, P_012376, P_011539, P_013777_2, P_012897_2, P_014842, P_019936"
