Result_id,Model_Name,Prompt_Version,Timestamp_SGT,Industry,Seniority_level,JD_ID,JD_framing,JD_Region,Frame_CV_ID,CV_framing,Hireability_Score,Hireability_Reason,Competence_Score,Competence_Reason,Fit_Score,Fit_Reason,Performance_Score,Performance_Reason,Leadership_Exhibited,Leadership_Control,Leadership_Effective,Leadership_Avg,Leadership_Reason,Status_Score,Status_Reason,Warmth_Score,Warmth_Reason,Recommendation,Raw_JSON,Error
JD003_FCL001,deepseek-v4-pro,region,2026-07-24 12:33:41,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL001,Agentic,5,"The candidate demonstrates relevant sales experience and CRM proficiency, but the cover letter lacks specificity about the company.",4,"The candidate articulates sales responsibilities and CRM usage well, indicating solid competence.",5,"The candidate's experience in managing accounts and CRM aligns with the role, though negotiation skills are not explicitly mentioned.",5,"The candidate's previous sales role suggests they can meet performance requirements, but lack of concrete metrics limits confidence.",3,2,3,2.67,The cover letter provides no evidence of leadership experience; the candidate focuses on individual contributor tasks.,3,"As an entry-level salesperson, the candidate would start with limited status, though potential exists to grow.",4,"The cover letter is professionally courteous and sincere, indicating a reasonably warm demeanor.",Interview,,
JD003_FCL002,deepseek-v4-pro,region,2026-07-24 12:34:02,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL002,Communal,5,"Candidate has relevant experience in sales support and CRM usage, but cover letter lacks specific achievements and is somewhat generic.",4,"Demonstrates familiarity with sales processes and CRM, but no quantifiable achievements are provided to assess skill level.",5,"Candidate's experience in client development and CRM aligns with job requirements, but lacks explicit mention of negotiation and product knowledge.",5,"Background in sales support and account management suggests capability to meet performance standards, though evidence of independent target achievement is absent.",3,2,3,2.67,"Candidate describes teamwork and support but does not demonstrate leadership or control over team activities; thus, leadership potential appears limited.",4,"With solid sales skills, candidate could earn respect, but starting at entry level limits immediate influence.",4,"The tone is courteous and team-oriented, conveying sincerity and a cooperative attitude.",Interview,,
JD003_FCL003,deepseek-v4-pro,region,2026-07-24 12:34:23,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL003,Agentic,5,"Candidate's extensive commercial experience and direct alignment with sales tasks suggest value, but overqualification for an entry-level role raises questions about long-term fit.",4,"The applicant demonstrates solid competence through years of market analysis, client acquisition, and contract negotiation, though evidence is from a cover letter only.",5,"The candidate possesses required skills like client acquisition, CRM use, and negotiation, but their experience level may exceed entry-level expectations, potentially causing misfit.",6,"Given prior hands-on experience in sales processes and performance tracking, the candidate is likely to complete duties effectively and meet performance standards.",4,4,4,4.0,"The candidate mentions taking ownership of workflows, but no team leadership or supervisory roles are indicated, suggesting moderate leadership potential.",4,"As an entry-level hire, initial prominence will be low, but the candidate's experience might allow quicker advancement and respect within the organization.",3,"The cover letter is professional but impersonal and lacks expressions that convey warmth, friendliness, or sincerity.",Interview,,
JD003_FCL004,deepseek-v4-pro,region,2026-07-24 12:34:49,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL004,Communal,5,"The candidate demonstrates relevant sales experience and skills, but the mismatch in job title applied for raises slight concern; still, overall positive.",4,"The cover letter indicates experience in customer acquisition, data analysis, and using technology, suggesting competence.",6,"Experience aligns well with acquiring clients, adapting messages, and using tracking tools, closely matching job requirements.",6,"Given the candidate's background in commercial sector activities and systematic approach, they are likely to meet performance requirements.",3,2,2,2.33,"The cover letter lacks any explicit leadership experiences or indications of managing teams, resulting in low leadership potential scores.",4,"The candidate's experience may allow them to gain some respect and influence, but the entry-level nature of the role limits initial high status.",3,"The cover letter is professional but generic, lacking personal warmth or enthusiasm that would indicate strong interpersonal connection.",Interview,,
JD003_FCL013,deepseek-v4-pro,region,2026-07-24 12:35:16,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL013,Agentic,2,"Cover letter lacks evidence of English proficiency and a resume, both required; content is generic and unconvincing.",2,"Mentions sales skills but no concrete examples or proof of English/CRM proficiency, reducing perceived competence.",3,"Some sales experience aligns, but failure to demonstrate English and negotiation abilities leads to poor fit.",3,"Without evidence of key requirements like English, expected performance is below acceptable.",2,2,2,2.0,No leadership qualities evident; entry-level focus.,2,Entry-level sales role and weak application suggest low status attainment.,2,Impersonal and generic letter lacks friendliness or sincerity.,Reject,,
JD003_FCL014,deepseek-v4-pro,region,2026-07-24 12:35:34,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL014,Communal,4,The candidate has relevant sales experience and skills but the generic cover letter shows limited enthusiasm and specificity; acceptable for entry-level screening.,3,"The candidate mentions basic sales and CRM skills but provides no specific achievements or deep understanding, leading to an average competence perception.",5,"Most job requirements like client outreach, CRM use, and reporting are addressed; contract negotiation and product knowledge are not evidenced but trainable.",5,"With experience in sales operations and outreach, the candidate is likely to meet entry-level performance expectations.",3,3,3,3.0,"No evidence of leadership; the candidate describes contributing to team processes, which suggests collaboration rather than leadership.",3,"As an entry-level hire, the candidate would initially have low professional status within the organization.",3,"The cover letter is polite but lacks personal touch; it reads as formulaic, so perceived warmth is neutral.",Consider,,
JD003_FCL015,deepseek-v4-pro,region,2026-07-24 12:35:57,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL015,Agentic,3,"The cover letter is generic with grammatical errors and lacks specific achievements, which does not strongly support a job offer, though some relevant experience is mentioned.",3,The candidate demonstrates basic sales knowledge but the poorly written cover letter with grammatical mistakes suggests moderate competence at best.,4,"The candidate mentions relevant tasks like cold calling and contract negotiation, but fails to explicitly address key requirements such as English proficiency and CRM use.",4,"Without concrete examples of past performance or results, it is difficult to predict high performance, though the tasks align with the job duties.",2,2,2,2.0,"The cover letter does not provide any evidence of leadership experience or capabilities, indicating low leadership potential.",3,"As an entry-level sales role, the candidate is unlikely to attain high professional status quickly based on this generic application.",3,"The letter is polite but lacks personalization or warmth, coming across as a standard template without a sincere tone.",Consider,,
JD003_FCL016,deepseek-v4-pro,region,2026-07-24 12:36:15,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL016,Communal,3,"The cover letter is generic and contains grammatical errors, indicating low effort and poor communication skills, crucial for a sales role.",2,The letter's grammatical mistakes and lack of specific achievements suggest low attention to detail and limited professional polish.,3,"While some sales activities are mentioned, the candidate fails to address key requirements like CRM experience, English proficiency, or product knowledge.",3,The vague description of past duties and lack of quantifiable results make it difficult to project strong performance in the role.,2,2,2,2.0,The cover letter demonstrates no leadership experience or qualities; the candidate appears as an individual contributor without influence.,2,"As an entry-level sales candidate with minimal demonstrated expertise, the expected professional status within the organization is low.",2,"The letter lacks personal connection or enthusiasm, making it difficult to gauge the candidate's warmth or sincerity.",Reject,,
JD003_FCL017,deepseek-v4-pro,region,2026-07-24 12:36:40,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL017,Agentic,3,"The cover letter is generic with placeholders, lacking specific achievements or tailored fit to the role, reducing recommendation confidence.",2,"No concrete examples or quantified results provided, making it difficult to gauge actual skill proficiency.",3,"Partially matches CRM and reporting requirements but lacks evidence of English proficiency, contract negotiation, or product knowledge.",3,Insufficient detail to predict strong sales performance; no indication of past sales results or goal achievement.,2,2,2,2.0,No leadership experience or potential demonstrated; entry-level role not expected to lead initially.,2,Entry-level position with generic application suggests limited influence and respect within the organization.,3,"The letter is polite but impersonal and lacks a genuine, warm tone; somewhat sincere but not engaging.",Reject,,
JD003_FCL018,deepseek-v4-pro,region,2026-07-24 12:36:56,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL018,Communal,2,"The cover letter is generic and lacks specifics, showing minimal enthusiasm or fit for this entry-level sales role.",2,The candidate mentions relevant tools but provides no concrete examples of skills or achievements.,3,"Some required skills like CRM and office software are mentioned, but English proficiency and contract negotiation are not addressed.",3,"With training the candidate might perform adequately, but the cover letter does not inspire confidence in meeting job demands.",2,2,2,2.0,No leadership qualities or experiences are indicated in the cover letter for this entry-level position.,3,"As an entry-level hire with vague experience, the candidate is unlikely to attain high prominence or influence quickly.",3,The letter is polite but impersonal and lacking in sincerity due to its generic content.,Reject,,
