Framing Verb,Based On
Guided,Led a team
Guiding,Leading a team
Mentored,Led a team
Mentoring,Leading a team
Supported,Led a team
Supporting,Leading a team
Collaborated,Worked with others
Collaborating,Working with others
Partnered,Worked with others
Partnering,Working with others
Worked through,Solved a problem
Working through,Solving a problem
Addressed together,Solved a problem
Addressing together,Solving a problem
Facilitated,Communicated information
Facilitating,Communicating information
Explained,Communicated information
Explaining,Communicating information
Shared,Communicated information
Sharing,Communicating information
Coordinated,Managed a project
Coordinating,Managing a project
Supported,Managed a project
Supporting,Managing a project
Helped deliver,Managed a project
Helping deliver,Managing a project
Built relationships,Increased sales
Building relationships,Increasing sales
Grew accounts together with,Increased sales
Growing accounts together with,Increasing sales
Supported,Helped customers
Supporting,Helping customers
Assisted,Helped customers
Assisting,Helping customers
Cared for,Helped customers
Caring for,Helping customers
Interpreted for the team,Analyzed data
Interpreting for the team,Analyzing data
Translated for stakeholders,Analyzed data
Translating for stakeholders,Analyzing data
Mentored,Trained staff
Mentoring,Training staff
Coached,Trained staff
Coaching,Training staff
Nurtured,Trained staff
Nurturing,Training staff
Reached agreement together,Negotiated terms
Reaching agreement together,Negotiating terms
Aligned interests,Negotiated terms
Aligning interests,Negotiating terms
Improved together with the team,Improved a process
Improving together with the team,Improving a process
Co-developed,Improved a process
Co-developing,Improving a process
Upheld together,Ensured quality
Upholding together,Ensuring quality
Supported consistency across the team,Ensured quality
Supporting consistency across the team,Ensuring quality
Mediated,Handled a conflict
Mediating,Handling a conflict
Brought people together,Handled a conflict
Bringing people together,Handling a conflict
Balanced,Managed time effectively
Balancing,Managing time effectively
Coordinated with the team,Managed time effectively
Coordinating with the team,Managing time effectively
Stayed flexible for the team,Adapted to change
Staying flexible for the team,Adapting to change
Adjusted alongside others,Adapted to change
Adjusting alongside others,Adapting to change
Helped shape,Planned strategy
Helping shape,Planning strategy
Contributed to,Planned strategy
Contributing to,Planning strategy
Weighed in,Made decisions
Weighing in,Making decisions
Helped decide together,Made decisions
Helping decide together,Making decisions
Contributed to,Used technical skills
Contributing to,Using technical skills
Supported the build of,Used technical skills
Supporting the build of,Using technical skills
Rallied the team,Handled a crisis
Rallying the team,Handling a crisis
Helped steady,Handled a crisis
Helping steady,Handling a crisis
Engaged,Gave presentations
Engaging,Giving presentations
Connected with the audience together,Gave presentations
Connecting with the audience together,Giving presentations
Built donor relationships,Raised funds
Building donor relationships,Raising funds
Rallied support,Raised funds
Rallying support,Raising funds
Explored together,Conducted research
Exploring together,Conducting research
Synthesized for the team,Conducted research
Synthesizing for the team,Conducting research
Distributed fairly,Delegated tasks
Distributing fairly,Delegating tasks
Supported the team in,Delegated tasks
Supporting the team in,Delegating tasks
Connected,Worked across teams
Connecting,Working across teams
Brought together,Worked across teams
Bringing together,Working across teams
Supported,Managed change
Supporting,Managing change
Helped ease the transition for,Managed change
Helping ease the transition for,Managing change
Co-created,Designed solutions
Co-creating,Designing solutions
Shaped with input from,Designed solutions
Shaping with input from,Designing solutions
Coordinated with stakeholders on,Managed a budget
Coordinating with stakeholders on,Managing a budget
Balanced together,Managed a budget
Balancing together,Managing a budget
