Result_id,Model_Name,Prompt_Version,Timestamp_SGT,Industry,Seniority_level,JD_ID,JD_framing,JD_Region,Frame_CV_ID,CV_framing,Hireability_Score,Hireability_Reason,Competence_Score,Competence_Reason,Fit_Score,Fit_Reason,Performance_Score,Performance_Reason,Leadership_Exhibited,Leadership_Control,Leadership_Effective,Leadership_Avg,Leadership_Reason,Status_Score,Status_Reason,Warmth_Score,Warmth_Reason,Recommendation,Raw_JSON,Error
JD001_FCL001,deepseek-v4-pro,region,2026-07-24 11:49:51,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL001,Agentic,6,"The candidate demonstrates relevant sales and CRM experience that aligns well with the job duties, though the cover letter addresses a 'Sales Executive' role, causing a slight misalignment.",4,"The cover letter communicates sales processes, CRM proficiency, and customer management skills clearly, indicating competence.",5,"The candidate's experience with customer accounts, CRM, and sales processes aligns closely with the job duties, though explicit new client acquisition and contract negotiation are not highlighted.",6,"Based on described past performance in managing accounts and meeting quotas, the candidate is likely to meet the job's performance standards.",3,2,3,2.7,"The cover letter focuses on individual sales activities without demonstrating team leadership, influence, or control over group activities.",3,"As an entry-level sales role, the expected professional status is moderate, with potential for growth based on performance.",3,"The letter is professionally written and courteous, conveying sincerity but without strong expressions of warmth or friendliness.",Interview,,
JD001_FCL002,deepseek-v4-pro,region,2026-07-24 11:50:06,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL002,Communal,5,"The candidate shows relevant sales and CRM experience, aligning with key duties, though the cover letter is generic and lacks specifics on all requirements.",4,"The cover letter is well-structured and demonstrates familiarity with sales processes and tools, but lacks detail that would strongly convey expertise.",5,"The candidate’s background in business development and CRM usage fits many job requirements, but the cover letter omits explicit mention of negotiation and product knowledge.",5,"Given entry-level expectations, the candidate is likely to meet performance standards based on described teamwork and quota contributions.",2,2,2,2,"The cover letter emphasizes collaborative support rather than leading or controlling team activities, suggesting limited leadership inclination.",4,"In an entry-level sales role, the candidate could attain moderate professional respect through reliable performance and client relations.",4,"The candidate’s polite tone, collaborative language, and focus on teamwork convey a friendly and sincere demeanor.",Interview,,
JD001_FCL003,deepseek-v4-pro,region,2026-07-24 11:50:26,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL003,Agentic,5,"The candidate demonstrates relevant sales and business development experience, but the cover letter seems tailored for a more senior role, potentially indicating mismatch.",4,"The candidate articulates experience in customer acquisition, contract negotiation, and data analysis, indicating strong professional competence.",5,"The candidate's experience aligns with key duties like client acquisition and contract negotiation, but the role is entry-level and the cover letter targets a specialist position.",5,"The candidate's background suggests they could meet performance requirements, though the mismatch in role level might impact engagement.",4,3,4,3.7,The candidate demonstrates initiative and ownership but lacks explicit team leadership experience in the cover letter.,4,"With relevant experience, the candidate may earn respect, but the entry-level nature of the role might cap initial status.",3,"The cover letter is professionally neutral, conveying competence but not strong personal warmth or friendliness.",Interview,,
JD001_FCL004,deepseek-v4-pro,region,2026-07-24 11:50:49,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL004,Communal,5,"The candidate shows relevant sales experience and skills, but the cover letter lacks specificity and the role mismatch raises concerns.",4,"Professional language and described experience suggest competence, though no concrete achievements are provided to fully validate this.",5,"Experience in customer acquisition, contract negotiations, and CRM use aligns well with the entry-level sales duties.",5,"Given their background in supporting sales processes, they are likely to meet performance requirements reliably.",3,2,3,2.67,The cover letter emphasizes collaboration but provides no evidence of leadership or team control responsibilities.,4,"As an experienced professional entering an entry-level role, they may eventually gain respect but start with modest status.",3,The tone is polite and professional but lacks personal warmth or charisma typical of a salesperson.,Interview,,
JD001_FCL013,deepseek-v4-pro,region,2026-07-24 11:51:09,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL013,Agentic,5,"The candidate demonstrates relevant sales experience and technical skills, but the cover letter lacks specific achievements or quantified results to strongly justify an immediate offer.",4,"The language indicates a solid grasp of sales processes, CRM usage, and outreach methods, though evidence of tangible success is not provided.",6,"The candidate's stated skills in client acquisition, account management, and reporting directly map to the entry-level sales responsibilities and requirements.",5,"They appear capable of performing core sales duties such as outreach and reporting, but without a verified track record, performance remains projected.",4,3,4,3.67,"The candidate focuses on individual contributions and mentions decisive action on procedures, but does not explicitly demonstrate team leadership or control.",4,"As an entry-level hire, they would begin with moderate professional status, which could grow with demonstrated sales success.",3,The cover letter is professional and polite but maintains a formal tone without conveying notable warmth or personal enthusiasm.,Interview,,
JD001_FCL014,deepseek-v4-pro,region,2026-07-24 11:51:28,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL014,Communal,4,"Candidate demonstrates relevant sales experience and skills, but the cover letter lacks specificity and enthusiasm, leading to a moderately positive impression.",3,"The candidate appears competent in basic sales tasks and software, yet the generic language offers no evidence of exceptional skill or efficiency.",4,"Most required duties are addressed, but there is no mention of contract negotiation experience, which is listed as a requirement, reducing overall fit.",4,"The candidate would likely meet basic job requirements given relevant background, but the lack of detail suggests only adequate performance.",2,2,2,2,No evidence of leading teams or exerting influence; the cover letter focuses on individual contributions and collaborative tasks without leadership language.,3,"As an entry-level candidate with a generic application, limited professional prominence or influence is expected within the organization.",3,"The tone is neutral and polite but lacks personal warmth or sincere engagement, coming across as a standard template.",Consider,,
JD001_FCL015,deepseek-v4-pro,region,2026-07-24 11:51:49,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL015,Agentic,6,"Candidate has directly relevant sales experience including cold calling, lead identification, and CRM use, making them a strong fit for the entry-level role.",4,"The cover letter demonstrates proficiency in sales tasks and software tools, suggesting competent and efficient work.",6,"Possesses skills aligning with job duties like client acquisition, CRM management, and contract negotiation, indicating high job fit.",6,"Given their background in sales operations and client relations, they would likely meet performance requirements.",2,2,2,2.0,"The application does not showcase any leadership experience or potential, focusing solely on individual contributor tasks.",3,"As an entry-level role, initial status is expected to be moderate, with potential for growth but not immediate influence.",3,The letter is professionally written but lacks personal warmth or sincerity beyond standard formalities.,Interview,,
JD001_FCL016,deepseek-v4-pro,region,2026-07-24 11:52:08,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL016,Communal,3,"The cover letter contains grammatical errors and lacks specific details about sales achievements, suggesting weak English proficiency and limited preparation.",2,The cover letter shows relevant sales activities but is undermined by grammatical errors and a lack of concrete accomplishments.,4,"The candidate's experience in sales operations and client relations aligns with the job, but failure to mention CRM usage and English errors reduce fit.",4,"The candidate's background suggests potential to perform duties, but the grammatical mistake indicates possible communication issues with English-speaking clients.",2,1,2,2,"The cover letter does not provide evidence of leadership experience or potential, and the role is entry-level with no indication of leadership aspirations.",2,The candidate is applying for an entry-level role and the cover letter does not suggest they would quickly attain prominence or influence.,3,"The cover letter is polite but formulaic, lacking personal anecdotes or warmth that would indicate trustworthiness or friendliness.",Consider,,
JD001_FCL017,deepseek-v4-pro,region,2026-07-24 11:52:33,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL017,Agentic,5,"The candidate's sales operations background and CRM proficiency are relevant, but the cover letter is generic and lacks specific accomplishments, making the application average.",4,"Demonstrates familiarity with sales tools and data reporting, indicating competency, but lacks quantifiable results to fully assess skill level.",5,"While the candidate has experience with CRM and client outreach, the lack of evidence for contract negotiation and product knowledge slightly reduces the fit.",5,"The candidate seems capable of performing basic sales duties, but the cover letter does not convey high potential for exceeding performance expectations.",3,2,3,2.67,"No leadership experiences are mentioned; the role is entry-level, so leadership may not be expected, resulting in low ratings across leadership indicators.",3,"Entry-level hires typically start with low organizational status, and the cover letter does not suggest rapid advancement potential or influence.",3,"The letter maintains a professional but distant tone, lacking personal anecdotes or emotional connection to convey warmth or sincerity.",Consider,,
JD001_FCL018,deepseek-v4-pro,region,2026-07-24 11:52:50,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL018,Communal,5,"Candidate has relevant sales operations experience, mentions CRM and report generation, but lacks specificity; suitable for interview consideration.",4,"Demonstrates proficiency with CRM, office software, and data analysis, indicating competent technical and analytical skills.",6,"Background in sales operations, client engagement, and CRM aligns well with job duties, though contract negotiation not explicitly mentioned.",5,"Skills in CRM, data reporting, and client interaction suggest ability to meet performance requirements, though evidence of direct sales achievement is absent.",3,3,3,3,No evidence of leadership roles or initiative; role appears supportive and execution-focused.,4,"Likely to perform competently and gain some respect, but limited scope for high prominence in an entry-level capacity.",3,"Letter is professional and polite, but lacks personal warmth or distinctive friendliness.",Interview,,
