Result_id,Model_Name,Prompt_Version,Timestamp_SGT,Industry,Seniority_level,JD_ID,JD_framing,JD_Region,Frame_CV_ID,CV_framing,Hireability_Score,Hireability_Reason,Competence_Score,Competence_Reason,Fit_Score,Fit_Reason,Performance_Score,Performance_Reason,Leadership_Exhibited,Leadership_Control,Leadership_Effective,Leadership_Avg,Leadership_Reason,Status_Score,Status_Reason,Warmth_Score,Warmth_Reason,Recommendation,Raw_JSON,Error
JD003_FCL001,MiniMax-M3,region,2026-07-24 11:24:21,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL001,Agentic,3,"The cover letter is generic, contains awkward English phrasing, and misaligns with the entry-level job title, reducing overall recommendation strength.",3,"The candidate references relevant sales functions but lacks concrete achievements, metrics, or specific examples demonstrating true competence.",3,"CRM and customer management experience partially align, but applying for a 'Sales Executive' role while the posting is entry-level raises level-mismatch concerns.",3,Moderate expectations given vague descriptions of past duties and no quantified results; would need further screening to confirm capability.,3,3,3,3.0,No leadership examples or team-based accomplishments are provided; the candidate presents as an individual contributor without clear leadership signals.,3,"For an entry-level sales role, the candidate's generic self-presentation suggests moderate rather than high organisational influence or prominence.",3,"The tone is professional and courteous but somewhat formulaic, lacking personal warmth or genuine engagement with the specific employer.",Consider,,
JD003_FCL002,MiniMax-M3,region,2026-07-24 11:24:39,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL002,Communal,3,"The cover letter is generic and misrepresents the position title (Sales Executive vs Entry-Level Sales), offering little to differentiate this candidate from typical applicants.",3,"Mentions CRM use and sales processes but provides no specific achievements, metrics, or concrete examples to substantiate competence.",3,"Some relevant sales and CRM experience is mentioned, but the letter fails to address key requirements such as English proficiency, contract negotiation, or outreach capability.",3,"Basic familiarity with sales workflows is suggested, but the lack of quantifiable results or tailored examples limits confidence in meeting performance targets.",3,2,3,2.67,"For an entry-level sales role, leadership is not heavily required; the candidate shows modest collaborative orientation but no demonstrated leadership of others.",3,"Given the entry-level nature of the role and the candidate's modest self-presentation, expected organisational status appears average at best.",3,"The tone is polite and collaborative, but the formulaic structure and absence of personal touches give a somewhat impersonal impression.",Consider,,
JD003_FCL003,MiniMax-M3,region,2026-07-24 11:24:55,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL003,Agentic,4,Candidate shows relevant sales experience but applied for a different role title and lacks specific tailoring to this entry-level position.,3,"Demonstrates adequate English proficiency and familiarity with CRM tools, but cover letter is generic without concrete metrics or achievements.",3,"Some relevant experience in customer acquisition and contracts, but title mismatch and absence of Chinese language mention raise concerns for China-based role.",4,Likely capable of handling core sales duties given prior experience with contract negotiations and account management processes.,4,3,3,3.3,"Mentions taking ownership of processes, suggesting initiative, but lacks specific examples of leading or directing teams within the cover letter.",3,"Candidate would likely attain moderate professional standing, though their seniority seems mismatched for an entry-level sales position.",3,"Professional and courteous tone throughout, but the letter feels formulaic and lacks personal warmth or distinctive sincerity.",Consider,,
JD003_FCL004,MiniMax-M3,region,2026-07-24 11:25:07,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL004,Communal,3,"The cover letter is generic, applies for a differently titled role, and provides no concrete achievements or evidence of Chinese market capability to justify extending an offer.",3,"The candidate describes activities in vague terms without specific metrics, certifications, or technical depth that would clearly demonstrate competence.",3,"While some relevant skills are mentioned, the title mismatch and lack of CRM, contract negotiation, or China-specific sales experience weaken alignment with this entry-level sales role.",3,"Without quantifiable results or demonstrated closing experience, there is insufficient evidence to confidently predict high performance in this sales position.",3,3,3,3.0,"The candidate mentions coordination and alignment work but provides no examples of leading teams, driving strategy, or influencing peers within an organisation.",3,"For an entry-level sales seat in China, this candidate's generic presentation suggests they would hold modest internal standing rather than rapid prominence.",3,"The letter is courteous and professionally toned but lacks personal warmth, cultural familiarity, or sincerity markers that build strong interpersonal trust.",Consider,,
JD003_FCL013,MiniMax-M3,region,2026-07-24 11:25:21,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL013,Agentic,4,"The candidate mentions relevant sales skills such as CRM use, cold outreach, and lead qualification, but the cover letter lacks specifics and measurable achievements.",3,"The applicant demonstrates baseline familiarity with sales processes and tools, yet provides no concrete results, metrics, or examples to substantiate their abilities.",4,"Mentioned competencies in CRM, outreach, and reporting align reasonably with the role's core duties, though product knowledge and contract negotiation experience are not addressed.",4,"Given the relevant skill mentions, the candidate should adequately handle routine sales tasks, though performance on negotiation and relationship-building remains uncertain.",3,3,3,3.0,"As an entry-level candidate, the cover letter offers no evidence of leadership initiative, team influence, or supervisory capability beyond individual sales execution.",3,The candidate is likely to remain at a junior contributor level without distinctive accomplishments or industry recognition evident from the application.,3,"The cover letter is polite and professional in tone, though the generic phrasing and lack of personal enthusiasm make the candidate feel somewhat impersonal.",Consider,,
JD003_FCL014,MiniMax-M3,region,2026-07-24 11:25:41,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL014,Communal,3,"The candidate demonstrates surface-level alignment but the generic, placeholder-laden letter lacks specifics needed for confident recommendation.",3,"Modest competence is suggested through basic CRM and outreach experience, though no concrete achievements or metrics are provided.",3,"Some required elements are addressed (CRM, outreach, reporting), but negotiation expertise and product knowledge are not demonstrated.",3,Limited evidence of quantifiable results makes it difficult to predict strong job performance beyond meeting minimum expectations.,2,2,2,2.0,"For an entry-level role, no indication of leadership initiative, team coordination beyond 'shared procedures,' or strategic influence is apparent.",2,An entry-level candidate with vague experience would likely attain minimal organisational influence or prominence initially.,3,"The letter is polite and professionally courteous but reads as rather formal and impersonal, offering limited warmth.",Consider,,
JD003_FCL015,MiniMax-M3,region,2026-07-24 11:25:53,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL015,Agentic,2,"The cover letter contains numerous grammatical errors, lacks specificity, and does not address key job requirements, suggesting a weak candidate for this role.",2,Awkward phrasing such as 'I master account portfolios' and inconsistent verb tenses indicate limited writing proficiency and unclear communication skills.,2,"The candidate references a 'Sales and Business Development' role rather than the advertised entry-level sales position, and omits CRM, product, and pricing knowledge.",2,Vague descriptions of past duties without quantifiable achievements suggest the candidate may struggle to meet formal performance expectations in this role.,3,3,3,3.0,"No evidence of leadership initiative is presented, though the mention of providing updates to management suggests at least average team engagement.",3,"For an entry-level sales role, the candidate would likely occupy a low to moderate status position within the organisation given the generic application.",3,"The letter is polite and professionally toned, but the generic, templated nature makes it difficult to assess genuine warmth or sincerity.",Reject,,
JD003_FCL016,MiniMax-M3,region,2026-07-24 11:26:19,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL016,Communal,3,"The candidate shows some relevant sales experience, but the grammatical errors and vague presentation raise concerns about overall suitability for this role.",2,The grammatical error ('I builds') and lack of specific achievements or measurable results suggest limited competence and weak attention to detail.,3,"Relevant activities like cold calling, lead identification, and CRM usage are mentioned, but specifics are missing and English proficiency—a key requirement—is questionable.",3,"Based on the vague descriptions, I expect this candidate to perform at a basic level but may struggle with tasks requiring strong English communication or detailed reporting.",2,2,2,2.0,"No evidence of leadership, initiative beyond routine tasks, or ability to influence others is demonstrated in this cover letter for an entry-level role.",3,"As an entry-level candidate, modest professional status is expected, but the generic presentation does not suggest they would stand out or gain significant influence.",3,"The letter is polite and professionally toned, but feels formulaic and lacks genuine personal warmth or enthusiasm that would build rapport.",Consider,,
JD003_FCL017,MiniMax-M3,region,2026-07-24 11:26:33,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL017,Agentic,2,"The cover letter contains unfilled placeholders like [Company] and [Location], signalling a lack of genuine effort and poor attention to detail that would concern Chinese employers.",2,"Vague descriptions of past sales work with no concrete metrics, achievements, or quantifiable results undermine confidence in the candidate's actual competence.",2,"While CRM and office software skills are mentioned, the letter lacks specific sales accomplishments or evidence of client acquisition ability required for the role.",2,"Without demonstrated sales results or specific examples of negotiation success, expected on-the-job performance would likely fall short of role requirements.",2,2,2,2.0,"As an entry-level applicant with no mention of leadership roles, mentoring, or team coordination experience, leadership potential appears limited.",2,Entry-level status combined with an unfilled template cover letter suggests low professional standing and minimal influence within the organisation.,3,"The letter maintains a polite and professional tone, but the generic, template-driven nature diminishes any sense of personal sincerity or enthusiasm.",Reject,,
JD003_FCL018,MiniMax-M3,region,2026-07-24 11:26:48,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL018,Communal,3,"The cover letter contains placeholder text like [Your Name] and [Location], indicating poor customization, raising concerns about sincerity and attention to detail.",2,"Skills are mentioned in vague, generic terms without specific accomplishments, certifications, or quantifiable results, suggesting limited demonstrated expertise.",3,"The candidate mentions CRM and office software experience but fails to address key job requirements like product knowledge, contract negotiation, or Chinese market understanding.",3,"Without concrete examples of sales achievements or proactive client acquisition results, performance expectations remain uncertain, though some foundational skills exist.",2,2,2,2.0,"As an entry-level applicant with no demonstrated team leadership, mentoring, or project coordination experience, leadership potential appears limited currently.",2,"Given the entry-level nature and lack of distinguishing qualifications, professional status attainment within the organization would likely remain modest initially.",2,"The letter reads as impersonal and formulaic with awkward phrasing, lacking genuine warmth or personal connection that would build trust with the reader.",Consider,,
