Keyword / Phrase,Sub-category
ability,Competence
abilities,Competence
capable,Competence
competent,Competence
effective,Competence
efficient,Competence
expertise,Competence
experts,Competence
expert,Competence
experienced,Competence
knowledgeable,Competence
proficient,Competence
qualified,Competence
skilled,Competence
analytical,Competence
logical,Competence
mastery,Competence
solution-oriented,Competence
problem-solving,Competence
accurate,Competence
quality-focused,Competence
assertive,Communication
confident,Communication
confidence,Communication
decisive,Communication
persuasive,Communication
presentation,Communication
reported,Communication
reporting,Communication
reporter,Communication
report,Communication
reports,Communication
written communication,Communication
leader,Leadership
leaded,Leadership
leading,Leadership
lead,Leadership
leads,Leadership
leadership,Leadership
drive,Leadership
initiatives,Leadership
initiative,Leadership
strategic,Leadership
visionary,Leadership
visionaries,Leadership
influential,Leadership
executive,Leadership
executives,Leadership
entrepreneurial,Leadership
decision-making,Leadership
promotes,Leadership
promoted,Leadership
promoter,Leadership
promoting,Leadership
promotion,Leadership
promote,Leadership
guide,Leadership
guides,Leadership
guiding,Leadership
guided,Leadership
guider,Leadership
direct,Leadership
directs,Leadership
directing,Leadership
directed,Leadership
director,Leadership
championed,Leadership
champions,Leadership
champion,Leadership
cultivating,Leadership
cultivation,Leadership
cultivated,Leadership
cultivates,Leadership
cultivate,Leadership
cultivator,Leadership
ambitiouser,Achievement
ambitious,Achievement
achievement-oriented,Achievement
successful,Achievement
results-driven,Achievement
performance-driven,Achievement
goal-oriented,Achievement
objective-driven,Achievement
delivers,Achievement
deliver,Achievement
delivering,Achievement
delivered,Achievement
executes,Achievement
executed,Achievement
executor,Achievement
execution,Achievement
executing,Achievement
execute,Achievement
implemented,Achievement
implements,Achievement
implement,Achievement
implementer,Achievement
implementing,Achievement
improves,Achievement
improve,Achievement
improving,Achievement
improved,Achievement
optimized,Achievement
optimizing,Achievement
optimize,Achievement
optimiztion,Achievement
optimizes,Achievement
accomplishment,Achievement
accomplish,Achievement
accomplishes,Achievement
accomplishing,Achievement
accomplished,Achievement
completes,Achievement
completed,Achievement
completion,Achievement
complete,Achievement
completing,Achievement
independent,Workstyle
self-starter,Workstyle
ownership,Workstyle
driven,Workstyle
autonomous,Workstyle
proactive,Workstyle
accountable,Workstyle
resourceful,Workstyle
self-directed,Workstyle
responsible,Workstyle
