Phrase_ID,Resume_ID,Category,Phrase,Word_Count
P000001,87118391,SALES,SALES Summary Account Manager focused on maximizing sales by managing all accounts systematically and logically.,15
P000002,87118391,SALES,Believes consistency and dedication build the most successful business partnerships.,10
P000003,87118391,SALES,Excel  at building a loyal customer base to achieve both short and long-term organization sales goals.,15
P000004,87118391,SALES,Highlights Superior communication skills Cheerful and energetic Effective team player Staff training and development Resolution-oriented Dependable and reliable Accomplishments Responsible for training new employees in all aspects of distribution and sales.,30
P000005,87118391,SALES,Ensured one hundred percent compliance with all company rules and regulations.,11
P000006,87118391,SALES,Established new accounts and client interaction.,6
P000007,87118391,SALES,Monitored sales goals and expectations for multiple brands.,8
P000008,87118391,SALES,Improved product placement at both on premise and off premise accounts.,11
P000009,87118391,SALES,Managed quality assurance for all products within distribution.,8
P000010,87118391,SALES,Maintained files for all individual accounts and products.,8
P000011,87118391,SALES,Increased sales through effective customer communication.,6
P000012,87118391,SALES,"Experience Sales September 2008 Company Name － City , State Responsible for implementing all business-building and relationship-building expectations with uniquely assigned accounts and customers.",20
P000013,87118391,SALES,Consistently met and exceeded department expectations for productivity and accuracy levels.,11
P000014,87118391,SALES,Recommended and helped customers select merchandise based on their needs.,10
P000015,87118391,SALES,Informed customers about sales and promotions in a friendly and engaging manner.,12
P000016,87118391,SALES,"Answered customers' questions regarding products, prices and availability.",8
P000017,87118391,SALES,Collaborated with colleagues to exchange selling strategies and marketing information.,10
P000018,87118391,SALES,Collaborated with members of other departments to complete sales transactions.,10
P000019,87118391,SALES,Shared product knowledge with customers while making personal recommendations.,9
P000020,87118391,SALES,"City Manager April 2008 to September 2008 Company Name － City , State Successfully managed the activities of 12 team members.",19
P000021,87118391,SALES,"Developed, implemented and monitored programs to maximize customer satisfaction.",9
P000022,87118391,SALES,"Interviewed, hired and trained new quality customer service representatives.",9
P000023,87118391,SALES,Addressed negative customer feedback immediately.,5
P000024,87118391,SALES,"Resolved customer questions, issues and complaints.",6
P000025,87118391,SALES,Coordinated with airport vendors regarding fueling and catering logistics.,9
P000026,87118391,SALES,Determined flight close-out times and completed and verified flight forms.,9
P000027,87118391,SALES,"Senior Corporate Travel Consultant September 2017 to April 2008 Company Name － City , State Planned travel arrangements for 200 executives and staff.",21
P000028,87118391,SALES,"Received and screened a high volume of internal and external communications, including email and mail.",15
P000029,87118391,SALES,Collected customer feedback and made process changes to exceed customer satisfaction goals.,12
P000030,87118391,SALES,Made reasonable procedure exceptions to accommodate unusual customer requests.,9
P000031,87118391,SALES,Provided accurate and appropriate information in response to customer inquiries.,10
P000032,87118391,SALES,Addressed customer service inquiries in a timely and accurate fashion.,10
