Result_id,Model_Name,Prompt_Version,Timestamp_SGT,Industry,Seniority_level,JD_ID,JD_framing,JD_Region,Frame_CV_ID,CV_framing,Hireability_Score,Hireability_Reason,Competence_Score,Competence_Reason,Fit_Score,Fit_Reason,Performance_Score,Performance_Reason,Leadership_Exhibited,Leadership_Control,Leadership_Effective,Leadership_Avg,Leadership_Reason,Status_Score,Status_Reason,Warmth_Score,Warmth_Reason,Recommendation,Raw_JSON,Error
JD001_FCL001,mistral-medium-latest,region,2026-07-24 03:28:46,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL001,Agentic,5,The candidate demonstrates relevant experience and skills but lacks specificity in aligning with entry-level expectations.,4,The candidate appears skilled in CRM and customer management but may overstate experience for an entry-level role.,6,"Strong alignment with sales responsibilities, though the role is entry-level and the candidate's experience seems more advanced.",6,Likely to meet performance requirements given their described operational and CRM proficiency.,4,4,4,4,Shows initiative and operational control but lacks explicit leadership examples for an entry-level position.,5,Expected to gain moderate respect and influence within the organization over time.,3,The cover letter is professional but lacks personal warmth or sincerity in tone.,Interview,,
JD001_FCL002,mistral-medium-latest,region,2026-07-24 03:28:50,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL002,Communal,5,The candidate demonstrates relevant experience and skills but lacks specificity in aligning with the entry-level role.,4,The candidate appears skilled in CRM use and client management but does not explicitly highlight all required competencies.,6,"The candidate’s experience in sales processes, CRM, and client development aligns well with the job responsibilities.",6,The candidate’s collaborative approach and technical knowledge suggest strong potential to meet job requirements.,4,4,4,4,The candidate shows teamwork and communication skills but lacks explicit leadership examples.,5,The candidate’s experience and skills suggest moderate professional status within the organization.,4,"The cover letter conveys sincerity and a collaborative tone, indicating warmth and trustworthiness.",Interview,,
JD001_FCL003,mistral-medium-latest,region,2026-07-24 03:29:00,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL003,Agentic,5,"The candidate demonstrates relevant experience but applied for the wrong role, slightly reducing hireability.",4,"The candidate shows strong analytical and communication skills, but the role mismatch raises minor concerns.",4,"Experience aligns with some responsibilities, but the cover letter targets a different position, affecting fit.",5,"Likely to perform well in sales tasks, though the role confusion may require clarification.",5,4,5,5,"Demonstrates strategic thinking and workflow optimization, suggesting leadership potential.",5,Professional experience and skills suggest moderate to high status potential within the organization.,3,The cover letter is professional but lacks personal warmth or friendliness.,Interview,,
JD001_FCL004,mistral-medium-latest,region,2026-07-24 03:29:05,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL004,Communal,4,"The candidate shows relevant experience but applied for a different role, raising questions about alignment with the Entry-Level Sales position.",4,The candidate demonstrates analytical and communication skills but lacks explicit sales or CRM experience mentioned in the cover letter.,3,"The candidate’s experience in business development is somewhat relevant, but the role applied for does not match the job description.",4,The candidate may perform adequately in some areas but lacks direct experience in key responsibilities like client acquisition and CRM use.,4,3,4,4,The candidate shows potential for leadership in collaboration and alignment but lacks explicit examples of team control or leadership.,4,The candidate may achieve moderate professional status but is unlikely to attain high prominence without more direct sales experience.,4,The cover letter is professional and sincere but lacks personal warmth or enthusiasm for the specific role.,Consider,,
JD001_FCL013,mistral-medium-latest,region,2026-07-24 03:29:10,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL013,Agentic,5,"The candidate demonstrates relevant sales experience and technical skills, but the cover letter lacks depth in aligning with all job requirements.",4,"The candidate shows proficiency in CRM and office software, but the cover letter does not strongly highlight intelligence or efficiency.",6,"The candidate’s experience in sales operations, cold outreach, and reporting aligns well with the job’s core responsibilities.",6,The candidate’s skills in client management and metrics reporting suggest they would meet performance expectations.,4,4,4,4,"The cover letter does not provide strong evidence of leadership qualities, but the candidate’s proactive approach hints at potential.",5,The candidate’s skills and experience suggest moderate professional status within the organization over time.,3,"The cover letter is professional but lacks warmth, trustworthiness, or friendliness in tone.",Interview,,
JD001_FCL014,mistral-medium-latest,region,2026-07-24 03:29:14,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL014,Communal,5,The candidate demonstrates relevant experience and skills but lacks depth in some areas critical for the role.,4,"The candidate shows proficiency in CRM and office software, but the cover letter lacks specific achievements or metrics.",6,"The candidate’s experience in sales operations, outreach, and reporting aligns well with the job requirements.",5,The candidate appears capable of meeting basic job duties but may need additional training for advanced tasks.,4,3,3,3.33,The cover letter does not provide evidence of leadership qualities or team control.,4,The candidate may achieve moderate professional status but lacks standout qualities for high prominence.,3,The cover letter is professional but lacks personal warmth or sincerity in tone.,Interview,,
JD001_FCL015,mistral-medium-latest,region,2026-07-24 03:29:20,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL015,Agentic,5,The candidate demonstrates relevant experience and skills but lacks specificity in achievements or results.,4,The candidate appears skilled in sales operations and client relations but does not clearly highlight exceptional proficiency.,6,"The candidate’s experience aligns well with the job’s responsibilities, including outreach, CRM use, and contract negotiations.",6,"The candidate’s background suggests they can meet the job’s performance requirements, though results are not explicitly detailed.",4,4,4,4,The candidate shows potential but lacks clear examples of leadership or team influence in the cover letter.,5,"The candidate is likely to achieve moderate professional status, given their relevant experience and alignment with the role.",3,"The cover letter is professional but lacks warmth or personal connection, feeling somewhat generic.",Interview,,
JD001_FCL016,mistral-medium-latest,region,2026-07-24 03:29:31,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL016,Communal,4,The candidate shows relevant experience but lacks depth in key sales responsibilities like negotiation and CRM use.,3,Demonstrates basic sales operations skills but lacks clear evidence of advanced proficiency or results.,5,"Experience aligns with some job duties, but gaps exist in CRM use, contract negotiation, and product knowledge.",5,Likely to meet basic performance requirements but may struggle with higher-level sales tasks without additional training.,3,3,3,3,No clear leadership examples provided; potential appears limited based on current information.,4,Expected to achieve moderate professional status but unlikely to rise to high prominence without further development.,3,The cover letter is professional but lacks personal warmth or strong interpersonal cues.,Consider,,
JD001_FCL017,mistral-medium-latest,region,2026-07-24 03:29:41,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL017,Agentic,5,"The candidate demonstrates relevant sales experience and technical skills, but the cover letter lacks enthusiasm and specificity.",4,"The candidate shows proficiency in CRM, data analysis, and office software, but the letter does not highlight exceptional skills.",6,"The candidate’s experience in sales operations, client outreach, and reporting aligns well with the job requirements.",6,"The candidate’s background suggests they can meet the job’s formal performance requirements, though motivation is unclear.",4,4,4,4,The candidate shows potential but lacks explicit leadership examples or initiative in the cover letter.,5,"The candidate’s skills and experience suggest moderate professional status, but the letter does not indicate high ambition.",3,"The cover letter is professional but lacks warmth, sincerity, or a personal touch.",Interview,,
JD001_FCL018,mistral-medium-latest,region,2026-07-24 03:29:46,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL018,Communal,5,The candidate demonstrates relevant experience and skills but lacks specific examples of success or enthusiasm for the role.,4,"The candidate shows technical proficiency and sales-related experience, but the cover letter lacks depth in showcasing strategic or results-driven abilities.",6,"The candidate’s background in sales operations, CRM use, and office software aligns well with the job requirements.",5,The candidate appears capable of meeting basic job duties but may need additional training or mentorship to excel.,4,3,3,3.33,The cover letter does not provide evidence of leadership qualities or team influence.,4,The candidate may achieve moderate professional status but lacks standout qualities to suggest high prominence.,3,The cover letter is formal and professional but lacks personal warmth or enthusiasm.,Interview,,
