Agentic Words — Cover Letter Language Dictionary,,,,,,,,,
,,,,,,,,,
Word / Phrase,Alternate Word / Phrase,Category,"Count in
Cover Letter Dataset","Count in
Indeed Guides","Total
Count","Quality Bias
Flag",Flag Reason,Definition / Usage Note,Source
strategic,"strategy, strategies, strategise, strategize",Agentic,80,0,12,Medium,Can read as a competence/intelligence claim rather than pure style,Strategic,ShashiVish/cover-letter-dataset (uploaded file: cover_letters_dataset.csv) — words unique to 'Agentic Cover Letter' template
self motivated,"self-motivated, highly motivated, highly-motivated",Agentic,23,0,6,Medium,Formally 'Highly Motivation' - 'Highly' is an intensifier that reads as a quality claim,Highly motivated,ShashiVish/cover-letter-dataset (uploaded file: cover_letters_dataset.csv) — words unique to 'Agentic Cover Letter' template
specialized expertise,"specialist, specialists, specialize, specialise, specialized, specialised",Agentic,24,0,6,Medium,"Formally 'specialized expertise' - Implies superior/rare qualification, not just tone",Specialized expertise,ShashiVish/cover-letter-dataset (uploaded file: cover_letters_dataset.csv) — words unique to 'Agentic Cover Letter' template
consistently,consistent,Agentic,34,1,7,,,Consistently (performance),ShashiVish/cover-letter-dataset (uploaded file: cover_letters_dataset.csv) — words unique to 'Agentic Cover Letter' template
delivering,"deliver, delivers",Agentic,207,1,7,,,Delivers results,ShashiVish/cover-letter-dataset (uploaded file: cover_letters_dataset.csv) — words unique to 'Agentic Cover Letter' template
problem-solving,"problem solving, solution to, solutions to",Agentic,221,1,7,,,Problem-solving,ShashiVish/cover-letter-dataset (uploaded file: cover_letters_dataset.csv) — words unique to 'Agentic Cover Letter' template
act decisively,"decision, decisive, decisively",Agentic,106,0,6,,,Acts decisively,ShashiVish/cover-letter-dataset (uploaded file: cover_letters_dataset.csv) — words unique to 'Agentic Cover Letter' template
ambitious goals,"ambitious, ambition",Agentic,3,0,6,,,Ambitious goals,ShashiVish/cover-letter-dataset (uploaded file: cover_letters_dataset.csv) — words unique to 'Agentic Cover Letter' template
autonomous professional,autonomous,Agentic,2,0,6,,,Autonomous professional,ShashiVish/cover-letter-dataset (uploaded file: cover_letters_dataset.csv) — words unique to 'Agentic Cover Letter' template
execute,"executes, executing, execution, executed",Agentic,23,0,6,,,Executes objectives,ShashiVish/cover-letter-dataset (uploaded file: cover_letters_dataset.csv) — words unique to 'Agentic Cover Letter' template
