Result_id,Model_Name,Prompt_Version,Timestamp_SGT,Industry,Seniority_level,JD_ID,JD_framing,JD_Region,Frame_CV_ID,CV_framing,Hireability_Score,Hireability_Reason,Competence_Score,Competence_Reason,Fit_Score,Fit_Reason,Performance_Score,Performance_Reason,Leadership_Exhibited,Leadership_Control,Leadership_Effective,Leadership_Avg,Leadership_Reason,Status_Score,Status_Reason,Warmth_Score,Warmth_Reason,Recommendation,Raw_JSON,Error
JD001_FCL001,qwen3.7-plus,standard,2026-07-23 20:24:23,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL001,Agentic,5,"The candidate demonstrates relevant sales experience and CRM proficiency, aligning well with core responsibilities, though some specific requirements remain unaddressed.",4,"The candidate articulates clear operational experience with CRM tools, customer management, and quota achievement, suggesting solid professional competence.",5,"Their background in account management, CRM usage, and sales processes maps closely to the job duties, though contract negotiation skills are not explicitly mentioned.",5,"Given their proven track record of meeting quarterly quotas and managing customer accounts, they would likely fulfill most performance requirements adequately.",3,3,3,3,"The cover letter emphasizes individual ownership and execution rather than team leadership, providing limited evidence of leadership capability or influence.",3,"As an entry-level sales role and with no explicit leadership or strategic accomplishments highlighted, expected organizational status would be moderate.",3,"The tone is professional and courteous but somewhat formal and transactional, conveying limited personal warmth or interpersonal connection.",Interview,,
JD001_FCL002,qwen3.7-plus,standard,2026-07-23 20:25:22,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL002,Communal,4,The candidate demonstrates relevant sales and CRM experience but lacks clear evidence of contract negotiation or new business acquisition skills.,3,"The cover letter shows adequate professional communication and relevant experience, though it lacks specific achievements or quantifiable results.",4,"The candidate has CRM proficiency and client account experience, but does not explicitly address outreach, contract negotiation, or product knowledge requirements.",4,"The candidate appears capable of handling routine sales duties and CRM tasks, though their ability to drive new business remains unclear.",3,2,3,2.67,"The candidate mentions teamwork and collaboration but provides no evidence of leading teams, directing activities, or exercising leadership influence.",3,"This is an entry-level role and the candidate's experience suggests a mid-level professional, indicating moderate expected organizational status.",4,"The candidate conveys a collaborative and relationship-oriented tone, suggesting a personable and cooperative interpersonal approach.",Consider,,
JD001_FCL003,qwen3.7-plus,standard,2026-07-23 20:26:34,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL003,Agentic,4,"The candidate demonstrates relevant sales and business development experience, but the cover letter is generic and lacks specific quantifiable achievements that would strongly differentiate them.",3,"The candidate articulates relevant skills in customer acquisition and contract management, though the letter provides no concrete metrics or specific examples to substantiate claimed expertise.",4,"The candidate's background in customer acquisition, contract negotiation, and performance reporting aligns with the role, but key requirements like CRM proficiency and English proficiency are not explicitly addressed.",4,"The candidate's experience with customer acquisition and contract execution suggests they could adequately perform core duties, though the lack of specifics makes it difficult to predict high performance.",3,3,3,3,"The candidate mentions taking ownership of workflows and managing processes, but the cover letter focuses on individual contributions rather than team leadership or influence over others.",3,"This is an entry-level sales position, and while the candidate has some experience, the cover letter does not suggest they would quickly attain high prominence or influence within the organization.",3,"The cover letter is professional and courteous in tone, but it reads as formal and transactional rather than conveying genuine warmth, friendliness, or personal sincerity.",Consider,,
JD001_FCL004,qwen3.7-plus,standard,2026-07-23 20:27:44,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL004,Communal,4,The candidate shows relevant commercial experience but the cover letter is generic and lacks specific sales achievements or quantifiable results to strongly recommend an offer.,3,"The candidate demonstrates adequate communication skills and relevant experience, but provides no concrete examples or metrics to demonstrate exceptional competence or efficiency.",4,"The candidate mentions customer acquisition, contract discussions, and performance tracking, which align with the role, but does not address CRM proficiency or product knowledge requirements.",4,"The candidate's background in commercial sectors and client alignment suggests they could adequately perform duties, though no specific sales metrics confirm strong expected performance.",3,3,3,3,"The cover letter mentions cross-team collaboration and building alignment, but provides no direct evidence of leadership, team control, or managerial experience.",3,"This is an entry-level sales position and the candidate's experience, while relevant, does not suggest they would quickly attain high prominence or influence within the organization.",3,"The tone is professional and polite, but the letter reads as formulaic and lacks personal warmth, genuine enthusiasm, or a distinctive sincere voice.",Consider,,
JD001_FCL013,qwen3.7-plus,standard,2026-07-23 20:28:58,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL013,Agentic,4,"The candidate demonstrates relevant sales operations experience and CRM proficiency, but lacks specific achievements or quantifiable results to strongly recommend an offer.",3,"The candidate shows foundational knowledge of sales processes and CRM tools, though the cover letter is generic and lacks depth or concrete evidence of skill mastery.",4,"The candidate's background in sales operations, cold outreach, and CRM usage aligns with core job duties, but contract negotiation and product knowledge remain unaddressed.",4,"The candidate appears capable of handling basic outreach and reporting tasks, yet the absence of measurable accomplishments raises questions about exceeding performance expectations.",3,3,3,3.0,"The cover letter focuses on individual contributor tasks with no mention of team leadership, mentoring, or managing others, suggesting limited demonstrated leadership potential.",3,"As an entry-level applicant with no standout achievements or senior-level experience, the candidate would likely hold modest professional status within the organization.",3,"The tone is professional and polite but reads as formulaic and impersonal, offering little sense of genuine warmth, friendliness, or sincere engagement.",Consider,,
JD001_FCL014,qwen3.7-plus,standard,2026-07-23 20:30:21,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL014,Communal,4,"The candidate demonstrates relevant sales operations experience and CRM proficiency, but lacks specific evidence of contract negotiation or new client acquisition achievements.",3,"The cover letter conveys adequate foundational skills in outreach and CRM usage, though it lacks concrete metrics or examples demonstrating advanced competence.",4,"The candidate's background in sales operations, cold outreach, and CRM aligns with several core requirements, but negotiation and product knowledge depth remain unaddressed.",4,"The candidate appears capable of handling routine outreach and reporting duties, yet their ability to independently drive new business and negotiate contracts is unclear.",3,2,3,2.67,"The letter references collaboration and contributing to shared procedures, but provides no evidence of leading teams, directing activities, or influencing organizational outcomes.",3,"As an entry-level applicant with general sales operations experience, the candidate would likely hold a modest professional status within the organization initially.",3,"The tone is professional and courteous, but the letter reads as formulaic and lacks personal warmth or genuine enthusiasm for the company or role.",Consider,,
JD001_FCL015,qwen3.7-plus,standard,2026-07-23 20:31:36,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL015,Agentic,4,The candidate demonstrates relevant sales experience but the cover letter is generic and lacks specific achievements or quantifiable results.,3,"The candidate mentions relevant skills like cold calling and CRM usage, but the letter contains grammatical inconsistencies that raise concerns about communication proficiency.",4,"The candidate's background in sales operations, cold calling, and contract negotiations aligns with the role, though CRM and English proficiency are not clearly demonstrated.",4,"The candidate has foundational sales skills that could support adequate job performance, but lacks evidence of exceptional capability or detailed accomplishments.",3,3,3,3,"The cover letter focuses on individual contributor tasks with no mention of team leadership, mentoring, or managing others in any capacity.",3,"This is an entry-level sales position and the candidate presents as a junior professional, suggesting moderate organizational status potential.",3,"The letter is professional and polite but reads as formulaic and impersonal, conveying limited warmth or genuine enthusiasm for the role.",Consider,,
JD001_FCL016,qwen3.7-plus,standard,2026-07-23 20:32:34,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL016,Communal,4,"The candidate demonstrates relevant sales experience including cold calling and client relations, but the cover letter contains grammatical errors and lacks specific quantifiable achievements.",3,"The candidate shows foundational sales skills and initiative in building tracking software, yet grammatical mistakes like 'I builds' undermine the perception of strong competence.",4,"The candidate's background in cold calling, lead identification, and contract documentation aligns with several job requirements, though CRM proficiency and product knowledge are not clearly demonstrated.",4,"The candidate has relevant task experience in outreach and client relations, suggesting they could meet basic performance requirements, but depth of expertise remains unclear.",3,2,3,2.67,"The cover letter reflects individual contributor tasks with no evidence of team leadership, strategic direction, or influence over organizational activities.",3,"This is an entry-level sales role and the candidate presents as a junior professional, suggesting limited organizational prominence or influence in the near term.",3,"The tone is professional and polite but somewhat formulaic, conveying neither strong warmth nor coldness, leaving a neutral interpersonal impression.",Consider,,
JD001_FCL017,qwen3.7-plus,standard,2026-07-23 20:34:07,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL017,Agentic,4,"The candidate demonstrates relevant sales operations experience and CRM proficiency, but the cover letter is generic and lacks specific achievements or quantifiable results.",3,"The candidate shows baseline competence in sales operations and data reporting, but provides no concrete examples or metrics to demonstrate exceptional skill or efficiency.",4,"The candidate mentions CRM use, client outreach, and report generation which align with job duties, but does not address contract negotiation or product knowledge requirements.",4,"The candidate's background suggests they could adequately handle core responsibilities like account management and outreach, though their ability to exceed expectations remains unclear.",3,3,3,3,"The cover letter focuses on individual contributor tasks with no mention of team leadership, mentoring, or managing others, suggesting limited demonstrated leadership potential.",3,"This is an entry-level sales role and the candidate presents as a mid-level operations professional, suggesting moderate but not high expected organisational status.",3,"The tone is professional and polite but somewhat formal and detached, lacking the personal warmth and enthusiasm typically expected in a sales-oriented candidate.",Consider,,
JD001_FCL018,qwen3.7-plus,standard,2026-07-23 20:34:59,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL018,Communal,3,"The candidate demonstrates relevant sales operations experience and CRM proficiency, but the cover letter is generic and lacks specific achievements or quantifiable results.",3,"The candidate shows baseline competence in sales support and data systems, but the letter lacks depth, specificity, or evidence of advanced skill.",3,"Some alignment exists with CRM and reporting duties, but there is no clear evidence of contract negotiation, client acquisition, or product knowledge capabilities.",3,"The candidate may handle routine reporting and CRM tasks adequately, but their ability to drive new business and negotiate contracts remains uncertain.",2,2,2,2.0,"The cover letter contains no evidence of leadership experience, team management, or initiative beyond routine collaborative sales support tasks.",3,"This entry-level role offers limited status potential, and the candidate's background does not suggest they would quickly rise to prominence.",3,"The letter is professional and polite but reads as formulaic and impersonal, conveying little genuine warmth or enthusiasm.",Consider,,
