Result_id,Model_Name,Prompt_Version,Timestamp_SGT,Industry,Seniority_level,JD_ID,JD_framing,JD_Region,Frame_CV_ID,CV_framing,Hireability_Score,Hireability_Reason,Competence_Score,Competence_Reason,Fit_Score,Fit_Reason,Performance_Score,Performance_Reason,Leadership_Exhibited,Leadership_Control,Leadership_Effective,Leadership_Avg,Leadership_Reason,Status_Score,Status_Reason,Warmth_Score,Warmth_Reason,Recommendation,Raw_JSON,Error
JD005_FCL001,mistral-medium-latest,region,2026-07-24 03:59:45,Sales / Business Development,Entry-Level,JD005,Neutral,Europe,FCL001,Agentic,5,"The candidate demonstrates relevant experience and alignment with the role, but lacks explicit mention of all required skills.",4,"The candidate appears skilled in CRM and customer management, but the cover letter does not fully highlight all competencies.",6,"The candidate’s experience in sales processes, CRM use, and customer management aligns well with the job requirements.",6,The candidate’s proactive approach and operational focus suggest they would meet performance expectations.,4,4,4,4.0,The candidate shows initiative but does not explicitly demonstrate leadership qualities in the cover letter.,5,The candidate’s experience and operational focus suggest moderate professional status within the organization.,3,The cover letter is professional but lacks personal warmth or sincerity in tone.,Interview,,
JD005_FCL002,mistral-medium-latest,region,2026-07-24 03:59:49,Sales / Business Development,Entry-Level,JD005,Neutral,Europe,FCL002,Communal,5,The candidate demonstrates relevant experience and skills but lacks explicit alignment with all job requirements.,4,The candidate appears skilled in CRM use and client management but does not explicitly highlight all required competencies.,5,"The candidate’s experience in business development and CRM aligns well with the role, though some gaps exist.",5,The candidate is likely to meet basic performance expectations but may need additional training for full proficiency.,4,4,4,4.0,The candidate shows collaborative skills but does not explicitly demonstrate strong leadership traits.,4,The candidate may achieve moderate professional status but lacks standout qualities for high prominence.,4,The candidate comes across as sincere and collaborative but not exceptionally warm or trustworthy.,Interview,,
JD005_FCL003,mistral-medium-latest,region,2026-07-24 04:00:01,Sales / Business Development,Entry-Level,JD005,Neutral,Europe,FCL003,Agentic,5,"The candidate demonstrates relevant experience but applies for the wrong role, slightly reducing hireability.",4,"The candidate shows strong commercial expertise and technical skills, but the role mismatch raises minor doubts.",4,"Experience aligns with sales tasks, but the cover letter targets a different position, affecting fit.",5,"Likely to perform well in sales due to demonstrated skills, though role confusion may cause initial delays.",4,4,4,4.0,"Shows initiative and strategic thinking, but leadership potential is not explicitly highlighted.",5,"Professional background suggests moderate status potential, though role mismatch may limit early influence.",3,The cover letter is professional but lacks personal warmth or sincerity in tone.,Consider,,
JD005_FCL004,mistral-medium-latest,region,2026-07-24 04:00:11,Sales / Business Development,Entry-Level,JD005,Neutral,Europe,FCL004,Communal,4,"The candidate shows relevant experience but applied for the wrong role, indicating a lack of attention to detail.",4,Demonstrates industry knowledge and technical skills but misaligned role application raises concerns.,3,"Experience in business development is relevant, but the role mismatch suggests limited fit for entry-level sales.",4,Likely capable of meeting basic requirements but may struggle with role-specific tasks due to misalignment.,3,3,3,3.0,No clear leadership examples provided; potential is uncertain due to role application error.,3,Professional status may be limited by the initial misstep in application accuracy.,3,The letter is professional but lacks personal warmth or enthusiasm for the specific role.,Reject,,
JD005_FCL013,mistral-medium-latest,region,2026-07-24 04:00:21,Sales / Business Development,Entry-Level,JD005,Neutral,Europe,FCL013,Agentic,5,"The candidate demonstrates relevant sales experience and technical skills, but the cover letter lacks depth in aligning with the role's specific requirements.",4,"The candidate shows proficiency in CRM and office software, but the cover letter does not strongly highlight strategic or analytical sales abilities.",6,"The candidate’s experience in sales operations, client management, and reporting aligns well with the job’s core responsibilities.",5,"The candidate’s technical and operational skills suggest they could meet performance expectations, though leadership or negotiation depth is unclear.",4,4,4,4.0,"The cover letter does not provide strong evidence of leadership qualities, but the candidate’s proactive approach to sales suggests potential.",4,"The candidate may achieve moderate professional status, but the cover letter lacks indicators of high influence or prominence.",3,"The cover letter is professional but lacks personal warmth or sincerity, coming across as somewhat formal and detached.",Interview,,
JD005_FCL014,mistral-medium-latest,region,2026-07-24 04:00:27,Sales / Business Development,Entry-Level,JD005,Neutral,Europe,FCL014,Communal,5,The candidate demonstrates relevant experience and skills but lacks depth in some areas critical for the role.,4,"The candidate shows proficiency in CRM and office software, but the cover letter lacks specific achievements or metrics.",6,"The candidate’s experience in sales operations, outreach, and reporting aligns well with the job requirements.",5,The candidate appears capable of meeting basic performance requirements but may need additional training for advanced tasks.,3,3,3,3.0,The cover letter does not provide evidence of leadership qualities or team control.,4,The candidate may achieve moderate professional status but lacks standout qualities for high prominence.,3,The tone is professional but lacks warmth or personal connection in the cover letter.,Interview,,
JD005_FCL015,mistral-medium-latest,region,2026-07-24 04:00:37,Sales / Business Development,Entry-Level,JD005,Neutral,Europe,FCL015,Agentic,5,"The candidate demonstrates relevant experience and skills, but the cover letter lacks depth and specificity for a strong recommendation.",4,"The candidate shows competence in sales operations and client relations, but the letter does not fully highlight analytical or strategic depth.",6,"The candidate’s experience in cold calling, lead identification, and CRM usage aligns well with the job requirements.",5,"The candidate’s described tasks suggest they can meet performance requirements, though the letter lacks concrete achievements.",4,4,4,4.0,The candidate shows potential but does not explicitly demonstrate leadership qualities or team control in the cover letter.,4,"The candidate may achieve moderate professional status, but the letter does not indicate exceptional influence or prominence.",3,"The cover letter is professional but lacks warmth, trustworthiness, or a personal touch.",Interview,,
JD005_FCL016,mistral-medium-latest,region,2026-07-24 04:00:42,Sales / Business Development,Entry-Level,JD005,Neutral,Europe,FCL016,Communal,4,The candidate shows relevant experience but lacks depth in key sales responsibilities like negotiation and CRM use.,3,Demonstrates basic sales operations skills but does not clearly exhibit advanced competence or efficiency.,5,"The candidate’s experience aligns with some job duties, such as client relations and reporting, but gaps exist in CRM and contract negotiation.",5,Likely to meet basic performance requirements but may struggle with more complex tasks like contract negotiation.,3,3,3,3.0,No clear evidence of leadership qualities or team control in the cover letter.,4,Expected to achieve moderate professional status but unlikely to attain high prominence or influence.,3,The tone is professional but lacks warmth or personal connection in the cover letter.,Consider,,
JD005_FCL017,mistral-medium-latest,region,2026-07-24 04:00:51,Sales / Business Development,Entry-Level,JD005,Neutral,Europe,FCL017,Agentic,5,The candidate demonstrates relevant experience and skills but lacks specific examples or enthusiasm in the cover letter.,4,"The candidate shows proficiency in CRM and office software, but the letter lacks depth in showcasing intelligence or efficiency.",6,"The candidate’s experience in sales operations, client outreach, and CRM use aligns well with the job requirements.",5,"The candidate’s skills and experience suggest they could meet performance requirements, though motivation is not strongly conveyed.",3,3,3,3.0,The cover letter does not provide evidence of leadership qualities or team influence.,4,The candidate may achieve moderate professional status but lacks standout qualities in the application.,3,"The letter is professional but lacks warmth, friendliness, or sincerity in tone.",Interview,,
JD005_FCL018,mistral-medium-latest,region,2026-07-24 04:01:02,Sales / Business Development,Entry-Level,JD005,Neutral,Europe,FCL018,Communal,5,The candidate demonstrates relevant experience and skills but lacks specific examples of success or initiative.,4,The candidate shows proficiency in required tools and processes but does not highlight exceptional abilities or achievements.,6,"The candidate’s experience in sales operations, CRM use, and reporting aligns well with the job requirements.",5,The candidate appears capable of meeting job expectations but may need time to fully adapt to the role.,4,3,4,4.0,The candidate shows potential but lacks demonstrated leadership experience or examples of team influence.,4,The candidate is likely to achieve moderate professional status but may not stand out significantly.,3,"The cover letter is professional but lacks personal warmth or enthusiasm, making it feel somewhat impersonal.",Interview,,
