Analysis_Step,Model_Provider,Model_Name,Outcome,Prompt_Version,Formula,CV_framing,Seniority_level,Mean,Std,Median
Step_2a,openai,gpt-4.1-mini,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,4.409722222222222,0.5154081004400567,4.0
Step_2a,openai,gpt-4.1-mini,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,3.620138888888889,0.57587349263106,4.0
Step_2a,openai,gpt-4.1-mini,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,4.191666666666666,0.538380966717009,4.0
Step_2a,openai,gpt-4.1-mini,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,3.332638888888889,0.5426020060007779,3.0
Step_2a,openai,gpt-4.1-mini,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,3.4277777777777776,0.4949283358242185,3.0
Step_2a,openai,gpt-4.1-mini,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,2.9652777777777777,0.3357998850709781,3.0
Step_2a,openai,gpt-4.1-mini,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,3.2333333333333334,0.45476398815218805,3.0
Step_2a,openai,gpt-4.1-mini,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,2.676388888888889,0.4897824836822014,3.0
Step_2a,openai,gpt-4.1-mini,Fit_Score,pooled,Fit_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,4.4006944444444445,0.5590864840996936,4.0
Step_2a,openai,gpt-4.1-mini,Fit_Score,pooled,Fit_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,3.5243055555555554,0.5913138370573204,3.0
Step_2a,openai,gpt-4.1-mini,Fit_Score,pooled,Fit_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,4.175,0.5858536177506701,4.0
Step_2a,openai,gpt-4.1-mini,Fit_Score,pooled,Fit_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,3.2402777777777776,0.5946623179033479,3.0
Step_2a,openai,gpt-4.1-mini,Performance_Score,pooled,Performance_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,4.40625,0.5411128920271613,4.0
Step_2a,openai,gpt-4.1-mini,Performance_Score,pooled,Performance_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,3.5458333333333334,0.5853047530358326,4.0
Step_2a,openai,gpt-4.1-mini,Performance_Score,pooled,Performance_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,4.184027777777778,0.5655334668055106,4.0
Step_2a,openai,gpt-4.1-mini,Performance_Score,pooled,Performance_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,3.277083333333333,0.5632007641724397,3.0
