Keyword / Phrase,Sub-category
candidate,Role
employee,Role
position,Role
role,Role
job,Role
organisation,Role
company,Role
responsibilities,Process
duties,Process
requirements,Process
qualifications,Process
application,Process
applicant,Process
interview,Process
documentation,Process
document,Process
record,Process
records,Process
schedule,Process
timeline,Process
deadline,Process
policy,Process
policies,Process
procedure,Process
procedures,Process
guideline,Process
compliance,Process
regulation,Process
training,Process
system,System
platform,System
equipment,System
technology,System
office,Logistics
workplace,Logistics
onsite,Logistics
remote,Logistics
hybrid,Logistics
working hours,Logistics
salary,Employment
benefits,Employment
employment type,Employment
full-time,Employment
part-time,Employment
contract,Employment
location,Employment
