Result_id,Model_Name,Prompt_Version,Timestamp_SGT,Industry,Seniority_level,JD_ID,JD_framing,JD_Region,Frame_CV_ID,CV_framing,Hireability_Score,Hireability_Reason,Competence_Score,Competence_Reason,Fit_Score,Fit_Reason,Performance_Score,Performance_Reason,Leadership_Exhibited,Leadership_Control,Leadership_Effective,Leadership_Avg,Leadership_Reason,Status_Score,Status_Reason,Warmth_Score,Warmth_Reason,Recommendation,Raw_JSON,Error
JD001_FCL001,gemini-2.5-flash,standard,2026-07-23 18:50:35,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL001,Agentic,6,"The candidate demonstrates relevant experience in customer management and CRM, aligning well with key responsibilities despite the entry-level nature of the role.",4,"The candidate articulates relevant experience with CRM and customer management, suggesting a solid understanding of sales operations and problem-solving abilities.",6,"The candidate's experience in customer account management, CRM utilization, and proactive communication strongly aligns with the core duties of this sales role.",6,"With demonstrated experience in managing accounts and utilizing CRM, the candidate is likely to meet and exceed formal performance requirements for this position.",3,2,3,2.66,"The cover letter focuses on individual contributions and ownership rather than explicit leadership or team control, which is appropriate for an entry-level role.",4,"While competent and capable of contributing, the entry-level nature of the role suggests a moderate initial professional status within the organization.",3,"The letter is professional and sincere in expressing interest, but does not convey strong personal warmth or friendliness beyond standard business communication.",Interview,"{
  ""hireability"": {
    ""score"": 6,
    ""scale"": ""1-7"",
    ""reason"": ""The candidate demonstrates relevant experience in customer management and CRM, aligning well with key responsibilities despite the entry-level nature of the role.""
  },
  ""perceived_competence"": {
    ""score"": 4,
    ""scale"": ""1-5"",
    ""reason"": ""The candidate articulates relevant experience with CRM and customer management, suggesting a solid understanding of sales operations and problem-solving abilities.""
  },
  ""person_job_fit"": {
    ""score"": 6,
    ""scale"": ""1-7"",
    ""reason"": ""The candidate's experience in customer account management, CRM utilization, and proactive communication strongly aligns with the core duties of this sales role.""
  },
  ""expected_performance"": {
    ""score"": 6,
    ""scale"": ""1-7"",
    ""reason"": ""With demonstrated experience in managing accounts and utilizing CRM, the candidate is likely to meet and exceed formal performance requirements for this position.""
  },
  ""leadership_potential"": {
    ""leadership_exhibited"": 3,
    ""control_over_activities"": 2,
    ""effective_leader"": 3,
    ""average"": 2.66,
    ""scale"": ""1-7"",
    ""reason"": ""The cover letter focuses on individual contributions and ownership rather than explicit leadership or team control, which is appropriate for an entry-level role.""
  },
  ""expected_status"": {
    ""score"": 4,
    ""scale"": ""1-7"",
    ""reason"": ""While competent and capable of contributing, the entry-level nature of the role suggests a moderate initial professional status within the organization.""
  },
  ""perceived_warmth"": {
    ""score"": 3,
    ""scale"": ""1-5"",
    ""reason"": ""The letter is professional and sincere in expressing interest, but does not convey strong personal warmth or friendliness beyond standard business communication.""
  },
  ""recommendation"": ""Interview""
}",
JD001_FCL002,gemini-2.5-flash,standard,2026-07-23 18:51:00,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL002,Communal,6,"The candidate presents relevant experience in client management, CRM usage, and product communication, indicating a strong fit for an entry-level sales role.",4,"The candidate articulates specific experiences with client development, CRM, and product communication, demonstrating a solid foundation of relevant skills.",6,"The candidate's experience in client development, CRM, and product communication directly aligns with the core responsibilities and requirements of this entry-level sales position.",6,"With prior experience in client account development, CRM utilization, and contributing to sales quotas, the candidate is expected to perform assigned duties effectively.",3,2,3,3,"The cover letter emphasizes collaboration and teamwork, with no explicit mention of leadership roles or exerting control over team activities.",4,"As an entry-level candidate with relevant experience, they are likely to earn respect through performance, but initial organizational influence would be moderate.",4,"The professional and polite tone, combined with mentions of 'relational skills' and a 'collaborative approach,' suggests a warm and trustworthy demeanor.",Strong Interview,"{
  ""hireability"": {
    ""score"": 6,
    ""scale"": ""1-7"",
    ""reason"": ""The candidate presents relevant experience in client management, CRM usage, and product communication, indicating a strong fit for an entry-level sales role.""
  },
  ""perceived_competence"": {
    ""score"": 4,
    ""scale"": ""1-5"",
    ""reason"": ""The candidate articulates specific experiences with client development, CRM, and product communication, demonstrating a solid foundation of relevant skills.""
  },
  ""person_job_fit"": {
    ""score"": 6,
    ""scale"": ""1-7"",
    ""reason"": ""The candidate's experience in client development, CRM, and product communication directly aligns with the core responsibilities and requirements of this entry-level sales position.""
  },
  ""expected_performance"": {
    ""score"": 6,
    ""scale"": ""1-7"",
    ""reason"": ""With prior experience in client account development, CRM utilization, and contributing to sales quotas, the candidate is expected to perform assigned duties effectively.""
  },
  ""leadership_potential"": {
    ""leadership_exhibited"": 3,
    ""control_over_activities"": 2,
    ""effective_leader"": 3,
    ""average"": 3,
    ""scale"": ""1-7"",
    ""reason"": ""The cover letter emphasizes collaboration and teamwork, with no explicit mention of leadership roles or exerting control over team activities.""
  },
  ""expected_status"": {
    ""score"": 4,
    ""scale"": ""1-7"",
    ""reason"": ""As an entry-level candidate with relevant experience, they are likely to earn respect through performance, but initial organizational influence would be moderate.""
  },
  ""perceived_warmth"": {
    ""score"": 4,
    ""scale"": ""1-5"",
    ""reason"": ""The professional and polite tone, combined with mentions of 'relational skills' and a 'collaborative approach,' suggests a warm and trustworthy demeanor.""
  },
  ""recommendation"": ""Strong Interview""
}",
JD001_FCL003,gemini-2.5-flash,standard,2026-07-23 18:51:13,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL003,Agentic,6,"The candidate's experience in customer acquisition, contract negotiation, and performance tracking strongly aligns with the core responsibilities of the sales role.",5,"The candidate's cover letter uses strong action verbs and demonstrates a clear understanding of sales processes, indicating high competence.",6,"The candidate's background in customer acquisition, contract negotiation, and leveraging performance tracking software directly matches the job's core duties.",6,"With proven experience in key sales functions like client acquisition and contract execution, the candidate is expected to perform assigned duties effectively.",5,4,5,5,The candidate's statement of 'taking ownership' and optimizing workflows suggests initiative and potential for effective leadership within the role.,6,The candidate's strategic thinking and ownership of complex processes suggest they would quickly gain prominence and influence within the organization.,3,"The cover letter is professional and direct, but does not offer specific cues to assess the candidate's warmth or friendliness.",Strong Interview,,
JD001_FCL004,gemini-2.5-flash,standard,2026-07-23 18:51:23,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL004,Communal,6,"The candidate presents relevant experience in customer acquisition, negotiation, and using performance tracking software, aligning well with the job's core responsibilities.",4,"The candidate's description of their experience, including systematic reviews and aligning product specifications, suggests a skilled and efficient professional.",6,"The candidate's experience in customer acquisition, contract negotiation, and using performance tracking software directly matches several key requirements for this sales role.",6,"With demonstrated experience in core sales functions like client acquisition and contract finalization, the candidate is expected to meet and exceed performance requirements.",4,3,3,3,"While competent, the cover letter does not provide specific examples or language that strongly indicates a high degree of leadership or control over team activities.",5,The candidate's relevant experience and professional communication suggest they would quickly gain respect and influence within the organization in this role.,3,"The cover letter is professional and sincere, but does not contain specific language that strongly conveys exceptional warmth or friendliness.",Interview,,
JD001_FCL013,gemini-2.5-flash,standard,2026-07-23 18:51:38,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL013,Agentic,6,"The candidate demonstrates relevant experience in sales operations, account management, and new business development, aligning well with the job's core responsibilities.",4,"The candidate articulates specific skills like cold outreach, lead qualification, and CRM use, suggesting a solid understanding of sales processes and efficiency.",6,"The candidate's background in sales operations, account management, and new business strategy directly matches the core duties and requirements of this entry-level sales role.",6,"With stated experience in managing accounts, acquiring new clients, and reporting on metrics, the candidate is likely to adequately complete assigned sales duties.",3,2,3,2.67,The cover letter focuses on individual contributions and doesn't provide specific examples or language indicating a high degree of leadership or team control.,4,"While the candidate demonstrates relevant skills for the role, the cover letter does not suggest an immediate high level of prominence or influence within the organization.",3,"The cover letter is professional and concise, but it primarily focuses on skills and experience, offering little insight into the candidate's personal warmth or friendliness.",Interview,,
JD001_FCL014,gemini-2.5-flash,standard,2026-07-23 18:51:50,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL014,Communal,5,"The candidate demonstrates relevant experience in sales operations, outreach, and CRM, aligning well with many entry-level sales responsibilities.",4,The candidate's description of their professional background and technical abilities suggests a solid understanding of sales processes and tools.,6,"The candidate's experience in sales operations, client outreach, CRM, and reporting directly aligns with the core responsibilities and requirements of this entry-level sales role.",6,"With demonstrated experience in key sales activities and tools, the candidate is likely to quickly adapt and perform well in the assigned entry-level duties.",3,3,3,3,"The cover letter highlights collaborative contributions rather than explicit leadership roles or initiatives, which is typical for an entry-level applicant.",4,"As an entry-level candidate with relevant but not extensive experience, their initial status would likely be foundational, with potential for growth.",3,"The cover letter maintains a professional and formal tone, providing insufficient information to assess personal warmth or friendliness.",Interview,,
JD001_FCL015,gemini-2.5-flash,standard,2026-07-23 18:52:04,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL015,Agentic,5,"The candidate's experience directly aligns with key responsibilities and requirements, demonstrating a strong foundation for an entry-level sales role despite minor grammatical inconsistencies.",4,"The candidate articulates relevant experience and software usage, indicating competence, though minor grammatical errors slightly diminish the overall impression of precision.",6,"The candidate's background in client relations, cold calling, contract negotiation, and software usage directly addresses nearly all specified job responsibilities and requirements.",5,"With direct experience in key sales activities like lead generation, account management, and reporting, the candidate is expected to adequately complete assigned duties.",3,3,3,3,"The cover letter primarily highlights individual contributions and task execution, offering no specific evidence of leadership qualities or experience in guiding a team.",4,"While demonstrating relevant skills for the role, the candidate's letter does not suggest an immediate high level of prominence or influence beyond typical entry-level expectations.",3,"The cover letter maintains a professional and direct tone, focusing on qualifications without explicitly conveying strong personal warmth or friendliness.",Interview,,
JD001_FCL016,gemini-2.5-flash,standard,2026-07-23 18:52:18,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL016,Communal,6,"The candidate's cover letter directly addresses multiple key responsibilities and requirements, showcasing relevant experience and proactive skill development.",4,"The candidate appears competent, demonstrating relevant experience in sales operations, client relations, and technical initiative with engagement tracking software.",6,"The candidate's background in sales operations, client relations, cold calling, and contract negotiation aligns strongly with the job's core duties and requirements.",6,"Based on their described experience in client acquisition, account management, and reporting, the candidate is expected to adequately complete assigned sales duties.",3,2,3,,"While demonstrating initiative by building software, the cover letter does not provide specific examples of direct leadership or control over team activities.",4,"As an entry-level candidate, initial professional status would be moderate, though their initiative suggests potential for growth and influence.",3,"The cover letter is professional and direct, but provides limited information to assess personal warmth, trustworthiness, or friendliness.",Interview,,
JD001_FCL017,gemini-2.5-flash,standard,2026-07-23 18:52:32,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL017,Agentic,5,"The candidate demonstrates relevant experience in sales operations, account management, client engagement, and CRM, aligning well with the job's core responsibilities.",4,"The candidate articulates relevant skills in sales operations, CRM, data interpretation, and office software, suggesting a solid foundation of competence.",5,"The candidate's experience in account management, client engagement, outreach, CRM, and reporting directly aligns with several key duties of this sales position.",5,"The candidate's stated experience in managing accounts, engaging clients, and using sales tools suggests they would adequately perform the assigned sales duties.",3,2,2,2.33,"The cover letter focuses on individual contributions and operational tasks, providing no specific evidence or examples to assess leadership qualities or potential for team control.",4,"As an entry-level role, immediate high status is not expected, but the candidate's professional background suggests potential for growth and respect within the organization.",3,"The cover letter is professional and task-oriented, but it does not contain specific language or tone that conveys a strong sense of warmth, friendliness, or sincerity.",Interview,,
JD001_FCL018,gemini-2.5-flash,standard,2026-07-23 19:01:16,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL018,Communal,4,"The candidate demonstrates relevant technical skills and some experience in sales operations, but the cover letter lacks specific achievements or direct mention of negotiation skills.",3,"The candidate appears competent in foundational sales operations and technical tools, but the letter doesn't showcase advanced skills or deep industry knowledge.",5,The candidate's sales operations experience and technical skills with CRM and office software align well with several core responsibilities and requirements of this entry-level role.,5,"The candidate's stated skills and experience suggest they would adequately complete assigned duties related to client engagement, record-keeping, and report generation for an entry-level role.",2,2,2,2,"The cover letter provides no evidence of leadership experience or potential, focusing instead on individual contributions and support within sales operations.",3,"As an entry-level candidate, the expected professional status would be foundational, and the cover letter does not indicate immediate high prominence or influence.",3,"The cover letter is professional and polite, but its formal and generic tone does not strongly convey warmth, trustworthiness, or a distinct personality.",Interview,,
