Framing Verb,Based On
Directed,Led a team
Directing,Leading a team
Spearheaded,Led a team
Spearheading,Leading a team
Drove,Led a team
Driving,Leading a team
Coordinated,Worked with others
Coordinating,Working with others
Orchestrated,Worked with others
Orchestrating,Working with others
Resolved,Solved a problem
Resolving,Solving a problem
Tackled,Solved a problem
Tackling,Solving a problem
Overcame,Solved a problem
Overcoming,Solving a problem
Presented,Communicated information
Presenting,Communicating information
Persuaded,Communicated information
Persuading,Communicating information
Pitched,Communicated information
Pitching,Communicating information
Drove,Managed a project
Driving,Managing a project
Executed,Managed a project
Executing,Managing a project
Delivered,Managed a project
Delivering,Managing a project
Achieved,Increased sales
Achieving,Increasing sales
Exceeded,Increased sales
Exceeding,Increasing sales
Won,Increased sales
Winning,Increasing sales
Resolved customer issues,Helped customers
Resolving customer issues,Helping customers
Delivered results for clients,Helped customers
Delivering results for clients,Helping customers
Identified,Analyzed data
Identifying,Analyzing data
Uncovered,Analyzed data
Uncovering,Analyzing data
Optimized,Analyzed data
Optimizing,Analyzing data
Developed,Trained staff
Developing,Training staff
Built a training program,Trained staff
Building a training program,Training staff
Negotiated,Negotiated terms
Negotiating,Negotiating terms
Secured,Negotiated terms
Securing,Negotiating terms
Closed,Negotiated terms
Closing,Negotiating terms
Pioneered,Improved a process
Pioneering,Improving a process
Launched,Improved a process
Launching,Improving a process
Initiated,Improved a process
Initiating,Improving a process
Enforced,Ensured quality
Enforcing,Ensuring quality
Owned,Ensured quality
Owning,Ensuring quality
Held accountable,Ensured quality
Holding accountable,Ensuring quality
Resolved,Handled a conflict
Resolving,Handling a conflict
Took charge of the situation,Handled a conflict
Taking charge of the situation,Handling a conflict
Prioritized,Managed time effectively
Prioritizing,Managing time effectively
Streamlined,Managed time effectively
Streamlining,Managing time effectively
Optimized,Managed time effectively
Optimizing,Managing time effectively
Pivoted,Adapted to change
Pivoting,Adapting to change
Adjusted course,Adapted to change
Adjusting course,Adapting to change
Navigated,Adapted to change
Navigating,Adapting to change
Defined,Planned strategy
Defining,Planning strategy
Shaped,Planned strategy
Shaping,Planning strategy
Set the direction for,Planned strategy
Setting the direction for,Planning strategy
Decided,Made decisions
Deciding,Making decisions
Determined,Made decisions
Determining,Making decisions
Chose,Made decisions
Choosing,Making decisions
Built,Used technical skills
Building,Using technical skills
Engineered,Used technical skills
Engineering,Using technical skills
Architected,Used technical skills
Architecting,Using technical skills
Took control of,Handled a crisis
Taking control of,Handling a crisis
Contained,Handled a crisis
Containing,Handling a crisis
Resolved,Handled a crisis
Resolving,Handling a crisis
Delivered,Gave presentations
Delivering,Giving presentations
Commanded,Gave presentations
Commanding,Giving presentations
Captivated,Gave presentations
Captivating,Giving presentations
Secured,Raised funds
Securing,Raising funds
Won,Raised funds
Winning,Raising funds
Closed,Raised funds
Closing,Raising funds
Investigated,Conducted research
Investigating,Conducting research
Uncovered,Conducted research
Uncovering,Conducting research
Pioneered,Conducted research
Pioneering,Conducting research
Assigned,Delegated tasks
Assigning,Delegating tasks
Empowered,Delegated tasks
Empowering,Delegating tasks
Held accountable,Delegated tasks
Holding accountable,Delegating tasks
Aligned,Worked across teams
Aligning,Working across teams
Unified,Worked across teams
Unifying,Working across teams
Bridged,Worked across teams
Bridging,Working across teams
Led,Managed change
Leading,Managing change
Drove,Managed change
Driving,Managing change
Championed,Managed change
Championing,Managing change
Created,Designed solutions
Creating,Designing solutions
Invented,Designed solutions
Inventing,Designing solutions
Reimagined,Designed solutions
Reimagining,Designing solutions
Controlled,Managed a budget
Controlling,Managing a budget
Allocated,Managed a budget
Allocating,Managing a budget
Maximized,Managed a budget
Maximizing,Managing a budget
