Phrase_ID,Source,Source_Record_ID,Company,Country,Industry,Job_Function,Position,Seniority,Phrase,Word_Count,Phrase_Type,Competency
P_008514,South_Africa_Director_dataFile,JDRAW_02503,Resideo,South Africa,Procurement / Sourcing / Supply Chain,Unknown,Access Control & Fire Category Manager,Director,Ability to build relationships with diverse groups.,7,Skill,Communal
P_009614,2021_10_08_23_43_Sales_dataFile,JDRAW_04881,TikTok,"Moscow, Moscow City, Russia",Project Management / Programme Management,Project Management and Information Technology,Project Manager,Mid-Senior level,Glean insights from data.,4,Requirement,Neutral
P_009614,2021_10_08_23_43_Sales_dataFile,JDRAW_04881,TikTok,"Moscow, Moscow City, Russia",Project Management / Programme Management,Project Management and Information Technology,Project Manager,Mid-Senior level,Use data to make client recommendations and inform future proposals.,10,Requirement,Neutral
P_018137,2021_10_09_22_38_Sales_dataFile,JDRAW_06491,White Sand Group,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Purchasing and Supply Chain,Procurement Director,Director,Candidate speaks/writes/reads Mandarin to liaise with required stakeholders.,8,Requirement,Neutral
P_018137,2021_10_09_22_38_Sales_dataFile,JDRAW_06491,White Sand Group,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Purchasing and Supply Chain,Procurement Director,Director,This is a full time position in [Location].,8,Requirement,Neutral
P_009613,2021_10_08_23_43_Sales_dataFile,JDRAW_04881,TikTok,"Moscow, Moscow City, Russia",Project Management / Programme Management,Project Management and Information Technology,Project Manager,Mid-Senior level,"Knowledge of digital third-party servers, measurement, content and media verification partners.",11,Requirement,Neutral
P_017674,2021_10_09_22_38_Sales_dataFile,JDRAW_06437,Unknown,"Singapore, Singapore",Sales / Business Development,Management and Manufacturing,Catering Sales Director,Director,"Competent with Microsoft Office Suite, Salesforce.com and ComScore.",8,Requirement,Neutral
P_006705,India_Director_dataFile,JDRAW_01438,JPMorgan Chase & Co.,India,Project Management / Programme Management,Unknown,"Vice President - Manager - Credit Product Delivery India, Wholesale Lending Services Asia Pacific",Director,Managing strategic enhancements and executing change initiatives.,7,Requirement,Neutral
P_006705,India_Director_dataFile,JDRAW_01438,JPMorgan Chase & Co.,India,Project Management / Programme Management,Unknown,"Vice President - Manager - Credit Product Delivery India, Wholesale Lending Services Asia Pacific",Director,Supporting MIS reporting.,3,Requirement,Neutral
P_018138,2021_10_09_22_38_Sales_dataFile,JDRAW_06491,White Sand Group,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Purchasing and Supply Chain,Procurement Director,Director,Liaising with internal stakeholders and external suppliers to maximise stock availability and minimise lead times.,15,Requirement,Communal
P_022587,2021_10_09_06_09_Sales_dataFile,JDRAW_07591,Obvi,"Jersey City, NJ",Sales / Business Development,Unknown,Sales Intern - No Remote - Supplement & Beauty Brand,Unknown,Supplement & Beauty Industry Sales Experience.,6,Requirement,Neutral
P_018321,2021_10_09_22_38_Sales_dataFile,JDRAW_06520,"Happy Marketer, A Merkle Company","Singapore, Singapore",Project Management / Programme Management,Information Technology,"Director, Delivery",Director,"Education to degree level in advertising, media, IT or similar, 12 years of experience in digital marketing.",17,Requirement,Neutral
