Result_id,Model_Name,Prompt_Version,Timestamp_SGT,Industry,Seniority_level,JD_ID,JD_framing,JD_Region,Frame_CV_ID,CV_framing,Hireability_Score,Hireability_Reason,Competence_Score,Competence_Reason,Fit_Score,Fit_Reason,Performance_Score,Performance_Reason,Leadership_Exhibited,Leadership_Control,Leadership_Effective,Leadership_Avg,Leadership_Reason,Status_Score,Status_Reason,Warmth_Score,Warmth_Reason,Recommendation,Raw_JSON,Error
JD007_FCL001,aisingapore/Gemma-SEA-LION-v4-27B-IT,region,2026-07-24 10:51:36,Sales / Business Development,Entry-Level,JD007,Neutral,Singapore,FCL001,Agentic,5,"The candidate demonstrates relevant experience and a professional tone, making them a solid candidate to consider further.",4,"The cover letter highlights experience with CRM and sales processes, suggesting a good level of competence for the role.",6,The candidate's experience in customer management and sales processes aligns well with the job responsibilities outlined.,6,The candidate's proactive communication and focus on results suggest they would likely meet performance expectations.,3,3,3,3.0,The cover letter doesn't showcase leadership qualities; it focuses on operational execution rather than team direction.,4,"Given the entry-level nature of the role, a moderate level of professional status within the organisation is anticipated.",3,"The tone is professional but somewhat formal, lacking a strong sense of personal warmth or enthusiasm.",Consider,,
JD007_FCL002,aisingapore/Gemma-SEA-LION-v4-27B-IT,region,2026-07-24 10:52:03,Sales / Business Development,Entry-Level,JD007,Neutral,Singapore,FCL002,Communal,5,"The candidate demonstrates relevant experience and a professional tone, making them a reasonably strong candidate for consideration.",4,"The cover letter suggests competence in CRM usage, sales processes, and communication, aligning with job requirements.",6,The candidate's experience in client account development and sales processes directly addresses the job description's needs.,6,The candidate's focus on collaboration and clear communication indicates they'd likely meet performance expectations.,3,2,3,2.67,The letter doesn't highlight leadership qualities; the focus is on team collaboration rather than independent direction.,4,"Given the entry-level nature of the role, moderate professional status within the organisation is anticipated.",4,"The tone is polite and professional, conveying a sense of sincerity and a willingness to contribute.",Interview,,
JD007_FCL003,aisingapore/Gemma-SEA-LION-v4-27B-IT,region,2026-07-24 10:52:18,Sales / Business Development,Entry-Level,JD007,Neutral,Singapore,FCL003,Agentic,5,"The candidate demonstrates relevant experience and a professional tone, making them a reasonably strong candidate for consideration.",4,"The cover letter suggests competence in business development and data analysis, aligning with the job's requirements.",6,The candidate's experience in customer acquisition and contract negotiation aligns well with the sales role's responsibilities.,6,"Based on the cover letter, the candidate appears capable of handling assigned duties and meeting performance expectations.",3,3,3,3.0,The letter doesn't highlight leadership qualities; it focuses on individual contributions and execution.,4,"The candidate is likely to achieve moderate professional status within the organisation, given the entry-level position.",3,"The tone is professional but somewhat formal, lacking a strong sense of personal warmth or enthusiasm.",Consider,,
JD007_FCL004,aisingapore/Gemma-SEA-LION-v4-27B-IT,region,2026-07-24 10:52:34,Sales / Business Development,Entry-Level,JD007,Neutral,Singapore,FCL004,Communal,5,"The candidate demonstrates relevant experience and a professional tone, making them a reasonably strong candidate for consideration.",4,"The cover letter suggests competence in commercial roles and data analysis, aligning with the job's requirements.",6,The candidate's experience in customer acquisition and contract discussions fits well with the sales role's responsibilities.,6,The candidate's experience with performance tracking software indicates they can likely meet performance reporting expectations.,3,3,3,3.0,The cover letter doesn't highlight leadership qualities; it focuses on supporting roles and execution.,4,"Given the entry-level nature of the role, a moderate level of professional status is anticipated with consistent performance.",4,"The tone is professional and polite, conveying a sense of trustworthiness and sincerity.",Consider,,
JD007_FCL013,aisingapore/Gemma-SEA-LION-v4-27B-IT,region,2026-07-24 10:52:56,Sales / Business Development,Entry-Level,JD007,Neutral,Singapore,FCL013,Agentic,5,"The candidate demonstrates relevant experience and a clear understanding of sales functions, making them a reasonably strong candidate.",4,"The applicant highlights key skills like CRM usage and lead qualification, suggesting a good level of competence for an entry-level role.",6,"The cover letter directly addresses the job requirements, showcasing experience in sales operations and relevant technical skills.",6,The candidate's experience in managing accounts and reporting metrics indicates they could adequately perform assigned duties.,3,2,3,2.67,The cover letter doesn't highlight any leadership qualities; the focus is on individual contribution and execution.,4,"Given the entry-level nature of the role, a moderate level of professional status within the organisation is anticipated.",3,The tone is professional but somewhat formal; it lacks a personal touch that would convey strong warmth or enthusiasm.,Interview,,
JD007_FCL014,aisingapore/Gemma-SEA-LION-v4-27B-IT,region,2026-07-24 10:53:17,Sales / Business Development,Entry-Level,JD007,Neutral,Singapore,FCL014,Communal,5,"The candidate demonstrates relevant experience and a clear understanding of sales functions, making them a reasonable hire.",3,"The candidate shows basic competence, but lacks specific achievements or quantifiable results to demonstrate high skill.",6,"The cover letter aligns well with the job description, highlighting CRM and office software skills, crucial for this role.",5,"The candidate appears capable of completing assigned duties, particularly in sales support and outreach activities.",3,2,3,2.67,"The cover letter doesn't showcase leadership qualities; the role is entry-level, so this is not critical.",4,"Given the entry-level nature, moderate professional status within the organisation is anticipated with consistent performance.",3,"The tone is professional and polite, but lacks a strong personal connection or enthusiasm.",Consider,,
JD007_FCL015,aisingapore/Gemma-SEA-LION-v4-27B-IT,region,2026-07-24 10:53:32,Sales / Business Development,Entry-Level,JD007,Neutral,Singapore,FCL015,Agentic,5,"The candidate demonstrates relevant experience and a clear interest, making them a potentially valuable addition to the team.",4,"The applicant highlights analytical skills and software proficiency, suggesting a good base level of competence for the role.",6,"The cover letter directly addresses key responsibilities like client relations, lead generation, and contract documentation.",5,The candidate's experience in sales operations indicates they would likely meet performance expectations with adequate training.,3,3,3,3.0,The cover letter doesn't showcase leadership qualities; it focuses on operational tasks and individual contributions.,4,"Given the entry-level nature of the role, a moderate level of professional status within the organisation is anticipated.",3,"The tone is professional but somewhat formal, lacking a strong sense of personality or enthusiasm.",Consider,,
JD007_FCL016,aisingapore/Gemma-SEA-LION-v4-27B-IT,region,2026-07-24 10:54:03,Sales / Business Development,Entry-Level,JD007,Neutral,Singapore,FCL016,Communal,4,"The candidate demonstrates relevant experience, but the cover letter lacks specific achievements and quantifiable results to strongly recommend an offer.",3,"The candidate shows basic competence in sales support tasks, but lacks detail regarding proficiency with CRM or contract negotiation skills.",5,"The described experience aligns well with the job responsibilities, particularly in client relations and lead generation activities.",5,"The candidate appears capable of completing assigned duties, given their experience in sales operations and client interaction.",2,2,2,2.0,The cover letter does not showcase any leadership qualities or experience; it focuses on support roles.,3,"Given the entry-level nature of the role and the candidate's experience, moderate status within the organisation is anticipated.",3,"The tone is professional and polite, but lacks a personal touch or enthusiasm that would convey strong warmth.",Consider,,
JD007_FCL017,aisingapore/Gemma-SEA-LION-v4-27B-IT,region,2026-07-24 10:54:19,Sales / Business Development,Entry-Level,JD007,Neutral,Singapore,FCL017,Agentic,4,"The cover letter demonstrates relevant experience, but lacks specific achievements; a positive initial impression, but not outstanding.",3,"The candidate mentions relevant skills like CRM and data analysis, but provides no concrete examples of their proficiency.",5,"The described experience in account management, client engagement, and reporting aligns well with the job responsibilities.",5,"The candidate appears capable of completing assigned duties, given their stated experience in sales operations and data tracking.",2,2,2,2.0,The cover letter does not showcase any leadership qualities or experience; it focuses solely on individual tasks.,3,"Given the entry-level nature of the role and the candidate's limited demonstrated experience, moderate status is anticipated.",3,"The tone is professional and polite, but somewhat formal and lacks a personal touch; it feels transactional.",Consider,,
JD007_FCL018,aisingapore/Gemma-SEA-LION-v4-27B-IT,region,2026-07-24 10:54:39,Sales / Business Development,Entry-Level,JD007,Neutral,Singapore,FCL018,Communal,4,The cover letter is adequate but lacks specific achievements; it demonstrates basic qualifications but doesn't strongly stand out.,3,"The candidate mentions relevant skills, but the descriptions are generic and lack quantifiable results or specific examples.",5,"The candidate's experience with CRM, data entry, and office software aligns well with the job requirements, showing a good fit.",4,"Based on the cover letter, the candidate appears capable of performing the duties, but further assessment is needed to confirm.",2,2,2,2.0,The cover letter does not demonstrate any leadership qualities or experience; it focuses on support roles.,3,"Given the entry-level nature of the role and the candidate's described experience, moderate status is anticipated.",3,"The tone is professional and polite, but the letter is somewhat formal and lacks a personal touch.",Consider,,
