Result_id,Model_Name,Prompt_Version,Timestamp_SGT,Industry,Seniority_level,JD_ID,JD_framing,JD_Region,Frame_CV_ID,CV_framing,Hireability_Score,Hireability_Reason,Competence_Score,Competence_Reason,Fit_Score,Fit_Reason,Performance_Score,Performance_Reason,Leadership_Exhibited,Leadership_Control,Leadership_Effective,Leadership_Avg,Leadership_Reason,Status_Score,Status_Reason,Warmth_Score,Warmth_Reason,Recommendation,Raw_JSON,Error
JD001_FCL001,aisingapore/Gemma-SEA-LION-v4-27B-IT,standard,2026-07-23 19:55:46,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL001,Agentic,6,"The candidate demonstrates relevant experience and a proactive approach, making them a strong contender for the role.",4,"The cover letter highlights experience with CRM software and sales processes, indicating a good level of competence.",6,The candidate's experience in customer management and sales aligns well with the job responsibilities outlined in the description.,6,The candidate's focus on achieving quotas and delivering technical information suggests they'd perform adequately.,3,3,3,3,The cover letter doesn't showcase leadership qualities; it focuses on individual contributions and execution.,4,"Given the entry-level nature of the role, moderate professional status is anticipated with successful performance.",4,"The tone is professional and polite, conveying a sense of sincerity and a willingness to contribute.",Interview,,
JD001_FCL002,aisingapore/Gemma-SEA-LION-v4-27B-IT,standard,2026-07-23 19:56:02,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL002,Communal,5,"The candidate demonstrates relevant experience and a positive attitude, making them a worthwhile candidate to consider further.",4,"The candidate articulates experience with CRM software and sales processes, suggesting a solid base of competence.",6,"The cover letter highlights experience in client management and sales support, aligning well with job responsibilities.",6,The candidate's experience in tracking metrics and contributing to quotas indicates potential for adequate job performance.,3,2,3,2.67,The cover letter doesn't emphasize leadership qualities; the focus is on collaborative teamwork and support roles.,4,"Given the entry-level nature of the role, moderate professional status within the organization is anticipated.",4,"The candidate uses polite and professional language, conveying a sense of sincerity and approachability.",Interview,,
JD001_FCL003,aisingapore/Gemma-SEA-LION-v4-27B-IT,standard,2026-07-23 19:56:17,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL003,Agentic,5,"The candidate demonstrates relevant experience and a professional tone, making them a solid candidate to consider for the role.",4,The cover letter suggests a competent individual with experience in business development and data analysis.,6,The candidate's experience in customer acquisition and contract negotiation aligns well with the job responsibilities.,6,The candidate's experience in managing processes and reporting suggests they would perform assigned duties effectively.,3,3,3,3,The cover letter doesn't highlight leadership qualities; it focuses on individual contributions and execution.,4,The candidate's experience suggests they could attain moderate professional status within the organization over time.,3,"The tone is professional but somewhat formal, lacking a strong sense of personal warmth or enthusiasm.",Consider,,
JD001_FCL004,aisingapore/Gemma-SEA-LION-v4-27B-IT,standard,2026-07-23 19:56:45,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL004,Communal,5,"The candidate demonstrates relevant experience and a professional tone, making them a solid candidate to consider for the role.",4,"The cover letter suggests competence in data analysis, communication, and client alignment, indicating strong skills.",6,The candidate's experience in customer acquisition and contract discussions aligns well with the job responsibilities.,6,The candidate's experience with performance tracking software and client communication suggests they'd perform adequately.,3,3,3,3,The cover letter doesn't highlight leadership qualities; experience is more focused on support and alignment.,4,The candidate's experience suggests they could attain moderate status within the organization over time.,4,"The tone is professional and sincere, conveying a positive and approachable impression of the applicant.",Interview,,
JD001_FCL013,aisingapore/Gemma-SEA-LION-v4-27B-IT,standard,2026-07-23 19:57:16,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL013,Agentic,5,"The candidate demonstrates relevant experience and skills, making them a potentially valuable asset, though further vetting is needed.",4,"The cover letter highlights proficiency in CRM and office software, alongside sales-related skills, indicating strong competence.",6,"The candidate's experience in sales operations, lead qualification, and outreach aligns well with the job responsibilities.",6,The candidate's stated abilities suggest they would likely meet performance expectations for an entry-level sales role.,3,2,3,2.67,The cover letter doesn't showcase leadership qualities; the focus is on individual sales tasks and execution.,4,"Given the entry-level nature of the role, moderate professional status within the organization is anticipated.",3,"The tone is professional and polite, but lacks a strong sense of personality or enthusiasm, appearing somewhat formal.",Consider,,
JD001_FCL014,aisingapore/Gemma-SEA-LION-v4-27B-IT,standard,2026-07-23 19:57:31,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL014,Communal,5,"The candidate demonstrates relevant experience and skills, making them a potentially valuable asset to the team.",4,"The applicant clearly articulates technical skills and sales experience, suggesting a good level of competence.",6,"The cover letter directly addresses key requirements like CRM use and outreach, indicating a strong job fit.",6,"Based on the described experience, the candidate is likely to adequately perform assigned sales duties and reporting.",3,2,3,2.67,The cover letter doesn't highlight leadership qualities; experience appears more operational than leadership-focused.,4,The candidate is likely to achieve moderate professional status within the organization through consistent performance.,3,"The tone is professional and polite, but lacks a strong sense of personality or enthusiasm.",Consider,,
JD001_FCL015,aisingapore/Gemma-SEA-LION-v4-27B-IT,standard,2026-07-23 19:57:49,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL015,Agentic,5,"The candidate demonstrates relevant experience and a clear interest in the role, making them a potentially valuable asset.",4,"The cover letter highlights analytical skills and software proficiency, suggesting a competent and capable applicant.",6,"The candidate's experience with sales operations, client relations, and contract documentation aligns well with job requirements.",6,The applicant's described tasks suggest they could adequately handle the responsibilities of an entry-level sales position.,3,2,3,2.67,The cover letter doesn't showcase leadership qualities; the focus is on individual tasks and support roles.,4,"Given the entry-level nature of the role, moderate professional status within the organization is anticipated.",3,"The tone is professional and polite, but lacks a strong sense of personality or enthusiasm.",Consider,,
JD001_FCL016,aisingapore/Gemma-SEA-LION-v4-27B-IT,standard,2026-07-23 19:58:05,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL016,Communal,5,"The candidate demonstrates relevant experience and a clear interest in the role, making them a solid candidate to consider.",4,"The candidate highlights experience with sales operations, client relations, and software, indicating a good level of competence.",6,"The cover letter directly addresses key responsibilities like client interaction, lead generation, and contract preparation.",6,The candidate's experience in cold calling and preparing documentation suggests they can adequately perform assigned duties.,3,2,3,2.67,The cover letter doesn't showcase leadership qualities; the focus is on supporting roles and task completion.,4,"Given the entry-level nature of the role, a moderate level of professional status is anticipated with consistent performance.",3,"The tone is professional and polite, but lacks a strong sense of personality or enthusiasm beyond basic interest.",Consider,,
JD001_FCL017,aisingapore/Gemma-SEA-LION-v4-27B-IT,standard,2026-07-23 19:58:28,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL017,Agentic,5,"The candidate demonstrates relevant experience and skills, making them a potentially valuable asset, though lacking specific achievements.",3,"The candidate mentions relevant skills, but the description is somewhat generic and lacks quantifiable accomplishments.",6,"The cover letter highlights experience with CRM, data entry, and client interaction, aligning with job requirements.",5,"The candidate appears capable of completing assigned duties, given their experience in sales operations and reporting.",3,2,3,2.67,The letter doesn't showcase leadership qualities; it focuses on task execution rather than initiative or direction.,4,"The candidate is likely to achieve moderate professional status within the organization, based on entry-level role.",3,"The tone is professional but somewhat formal and lacks a personal touch, resulting in a neutral impression.",Consider,,
JD001_FCL018,aisingapore/Gemma-SEA-LION-v4-27B-IT,standard,2026-07-23 19:58:43,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL018,Communal,5,"The candidate demonstrates relevant experience and skills, making them a potentially valuable asset, though lacking specific achievements.",3,"The candidate possesses basic skills, but the cover letter lacks detail regarding depth of knowledge or specific accomplishments.",6,"The candidate's experience with CRM, office software, and data analysis aligns well with the job requirements.",5,"The candidate appears capable of completing assigned duties, but further assessment is needed to confirm performance level.",3,2,3,2.67,The cover letter does not provide evidence of leadership qualities or the ability to influence a team.,4,"The candidate is likely to achieve moderate professional status within the organization, given the entry-level position.",3,"The cover letter is professional and polite, but lacks a personal touch to convey strong warmth or sincerity.",Consider,,
