Log_ID,Phrase_ID,Original_Phrase,Split_Output,Phrase_Type,Competency,Decision,Confidence,Reason,Model,Prompt_Version,Timestamp
LOG_000001,P_008514,- Ability to build large number of relationships with diverse groups.,Ability to build relationships with diverse groups.,Competency,Communal,Keep,95,Mapped to build relationships dictionary.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:05.258654
LOG_000002,P_009614,"Glean insights from data, and use that data to make client recommendations and inform future proposa",Glean insights from data.,Requirement,Neutral,Split,90,Domain knowledge task.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:05.258672
LOG_000003,P_009614,"Glean insights from data, and use that data to make client recommendations and inform future proposa",Use data to make client recommendations and inform future proposals.,Requirement,Neutral,Split,90,Business task.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:05.258678
LOG_000004,P_018137,The Role NOTE: Requirement that candidate speaks/writes/reads Mandarin to liaise with required stakeholders This is a full time position in Cambodia All travel expenses and visa costs/vaccination and others will be covered by the company.,Candidate speaks/writes/reads Mandarin to liaise with required stakeholders.,Requirement,Neutral,Split,98,Language skill requirement.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:05.258687
LOG_000005,P_018137,The Role NOTE: Requirement that candidate speaks/writes/reads Mandarin to liaise with required stakeholders This is a full time position in Cambodia All travel expenses and visa costs/vaccination and others will be covered by the company.,This is a full time position in [Location].,Requirement,Neutral,Split,95,Job details.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:05.258690
LOG_000006,P_009613,"Knowledge of digital third-party servers, measurement, content and media verification partners","Knowledge of digital third-party servers, measurement, content and media verification partners.",Requirement,Neutral,Keep,95,Technical domain knowledge.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:05.258694
LOG_000007,P_017674,"Competent with Microsoft Office Suite, Salesforce.com and ComScore.","Competent with Microsoft Office Suite, Salesforce.com and ComScore.",Requirement,Neutral,Keep,95,Software proficiency.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:05.258699
LOG_000008,P_006705,"In addition, this role will also involve managing strategic enhancements and executing change initiatives on behalf of CPD and supporting MIS reporting.",Managing strategic enhancements and executing change initiatives.,Requirement,Neutral,Split,90,Project management tasks.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:05.258703
LOG_000009,P_006705,"In addition, this role will also involve managing strategic enhancements and executing change initiatives on behalf of CPD and supporting MIS reporting.",Supporting MIS reporting.,Requirement,Neutral,Split,90,Task requirement.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:05.258705
LOG_000010,P_018138,You Will Be Responsible For Liaising with internal stakeholders and external suppliers to maximise stock availability and minimise lead times.,Liaising with internal stakeholders and external suppliers to maximise stock availability and minimise lead times.,Requirement,Communal,Keep,95,Includes stakeholder engagement.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:05.258711
