Result_id,Model_Name,Prompt_Version,Timestamp_SGT,Industry,Seniority_level,JD_ID,JD_framing,JD_Region,Frame_CV_ID,CV_framing,Hireability_Score,Hireability_Reason,Competence_Score,Competence_Reason,Fit_Score,Fit_Reason,Performance_Score,Performance_Reason,Leadership_Exhibited,Leadership_Control,Leadership_Effective,Leadership_Avg,Leadership_Reason,Status_Score,Status_Reason,Warmth_Score,Warmth_Reason,Recommendation,Raw_JSON,Error
JD001_FCL001,hy3,region,2026-07-23 23:45:56,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL001,Agentic,4,Candidate shows relevant account and CRM experience but misnames the role; offer recommendation is moderate pending resume review.,3,"Candidate demonstrates basic sales and CRM skills but lacks detail, showing adequate yet unproven competence for the role.",4,"Prior duties align with account management and CRM use, though role title mismatch and unclear product knowledge reduce fit.",4,"Candidate would likely handle assigned duties acceptably based on described experience, but performance level remains uncertain.",3,2,3,3,No leadership evidence presented; candidate appears individual-contributor oriented with minimal team control or lead potential.,3,"As an entry-level sales hire, candidate would likely hold a junior position with limited organizational prominence or influence.",3,"Cover letter is polite and professional but formal, conveying neutral sincerity without strong personal warmth or friendliness.",Consider,,
JD001_FCL002,hy3,region,2026-07-23 23:46:01,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL002,Communal,4,"Candidate shows relevant experience but cover letter has errors and no resume included, making offer recommendation tentative at best.",3,Candidate displays some CRM and sales process knowledge but grammatical mistakes reduce perception of skill and efficiency.,4,"Prior account and CRM work aligns with duties, yet missing resume and weak English hurt specific job fit confidence.",4,"Likely can handle client tracking and reporting, but unclear if meets all formal requirements without resume evidence.",2,2,2,2,"Cover letter emphasizes collaboration not leadership, showing little indication of leading or controlling team activities.",3,Entry-level collaborative role suggests limited prominence or influence within organization for this candidate initially.,4,"Tone is polite and sincere, expressing dedication and teamwork, suggesting friendly and trustworthy demeanor.",Consider,,
JD001_FCL003,hy3,region,2026-07-23 23:46:06,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL003,Agentic,4,Candidate shows relevant commercial experience but applied to wrong role; overall evaluation is moderately positive for entry-level sales.,4,"Cover letter suggests skilled, efficient communicator with data and acquisition experience, indicating solid competence for the role.",4,"Candidate has acquisition and reporting skills matching duties, but lacks explicit CRM or office software confirmation for fit.",4,"Likely would complete duties adequately given described experience, though specific job tools are not directly addressed.",3,3,3,3,"No leadership evidence in letter; candidate focuses on individual contribution, not team control or leading others.",3,Entry-level sales role with candidate's background suggests limited initial prominence or organizational influence expected.,3,"Letter is professional and polite but formal, conveying neutral sincerity without strong warmth or friendliness.",Consider,,
JD001_FCL004,hy3,region,2026-07-23 23:46:11,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL004,Communal,4,Candidate shows relevant commercial experience but applies to a mismatched role title and omits key entry-level sales requirements.,3,"Cover letter suggests competent business development support skills, though no concrete sales metrics or tools are demonstrated.",4,"Some duties align with sales support, but fit to entry-level sales specifics like CRM and pricing is unconfirmed.",4,"Likely capable of general account and reporting tasks, but unclear if core sales duties would be met.",3,2,3,3,Letter shows collaboration not leadership; no evidence of team control or leading sales initiatives is provided.,3,Candidate may hold a supportive role but is unlikely to gain high prominence in an entry-level sales position.,4,"Tone is polite, professional, and sincere, suggesting a friendly and trustworthy applicant overall.",Consider,,
JD001_FCL013,hy3,region,2026-07-23 23:46:15,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL013,Agentic,5,"Candidate shows relevant sales experience and tool proficiency, making them a reasonable entry-level hire worth further screening.",3,"Cover letter suggests basic sales skills and CRM use, but lacks detail to confirm high competence or efficiency.",5,"Applicant covers outreach, CRM, and reporting, aligning with job duties though negotiation and resume are unconfirmed.",5,Likely to handle assigned sales tasks adequately based on described background in sales operations and metrics.,2,2,2,2,No leadership indicators present; role is individual contributor and letter shows no team lead qualities.,2,Entry-level sales role with no shown influence suggests low organisational prominence expected for this candidate.,3,"Tone is polite and professional but brief, giving neutral impression of warmth and sincerity.",Consider,,
JD001_FCL014,hy3,region,2026-07-23 23:46:20,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL014,Communal,5,"Candidate shows relevant sales experience and tool proficiency, making them a reasonable entry-level hire worth further screening.",3,Cover letter suggests basic competence in sales tasks but lacks detail proving advanced skill or efficiency.,5,Applicant meets several requirements like CRM use and outreach but omits resume and explicit contract negotiation.,5,Likely to handle assigned duties adequately given described background in sales operations and reporting.,2,2,2,2,"No leadership indicators present; role is entry-level and candidate describes supportive, non-leading contributions.",2,"As an entry-level applicant with limited showcased impact, low organisational prominence is anticipated initially.",3,"Tone is polite and professional yet neutral, conveying neither strong friendliness nor distrust.",Consider,,
JD001_FCL015,hy3,region,2026-07-23 23:46:24,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL015,Agentic,4,"Candidate shows relevant sales experience but lacks resume and clear company software/CRM proof, making offer premature.",3,"Cover letter shows basic sales skills yet vague language suggests moderate, not strong, competence and efficiency.",4,"Prior cold calling and reporting align with duties, but missing resume and tool proof weaken fit assessment.",4,"Likely can handle outreach and reports, but unverified training on pricing and CRM lowers confidence.",2,2,2,2,"Entry-level sales letter shows no leadership behaviors, team control, or indication of effective leading.",3,"As an entry-level hire with unspecified background, candidate would likely hold low to moderate internal status.",3,"Polite and professional tone, but generic content gives limited sense of warmth or personal sincerity.",Consider,,
JD001_FCL016,hy3,region,2026-07-23 23:46:29,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL016,Communal,5,"Candidate shows relevant sales and client experience but cover letter lacks resume and has minor grammar errors, suggesting moderate hireability.",3,Candidate describes useful sales tasks but grammatical mistakes like 'I builds' reduce perceived competence and polish.,5,"Background in cold calling and CRM-like tracking aligns with duties, though resume and full requirements confirmation are missing.",5,"Likely can handle outreach and reporting, but unclear on pricing knowledge and contract negotiation depth from letter.",3,2,3,3,Entry-level sales role with support tasks shown; no evidence of team leadership or control over others' activities.,3,"As an entry-level hire with operational focus, candidate would likely hold low to moderate status initially.",3,"Letter is polite and professional yet generic, showing neutral warmth without strong personal connection or sincerity.",Consider,,
JD001_FCL017,hy3,region,2026-07-23 23:46:34,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL017,Agentic,4,"Candidate shows relevant sales and CRM experience but lacks specifics and a resume, making a moderate initial screening impression.",3,"Applicant demonstrates basic competence with CRM and reporting but provides vague, generalized claims without measurable proof of skill.",4,"Background aligns with outreach and account tasks, yet product knowledge and negotiation requirements are not addressed in the letter.",4,"Likely able to handle core duties acceptably, though absence of concrete results creates uncertainty about full job meeting.",2,2,2,2,No leadership experience or team control is indicated; the role applied for is entry-level individual contributor sales.,2,"As an entry-level applicant with undefined track record, the candidate would likely hold low organizational prominence initially.",3,"Tone is polite and professional yet formal and distant, showing neutral sincerity without strong personal warmth.",Consider,,
JD001_FCL018,hy3,region,2026-07-23 23:46:38,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL018,Communal,4,Candidate shows relevant sales support experience but lacks explicit proof of key requirements like negotiation and reporting.,3,Candidate appears moderately skilled in CRM and office tools but does not demonstrate strong sales competence.,4,Candidate has partial fit via CRM and outreach experience but misses contract negotiation evidence.,4,Candidate would likely handle basic duties yet may struggle with negotiating and acquiring clients.,2,2,2,2,No leadership indicators exist; candidate describes supportive and collaborative roles only.,3,Candidate would likely remain in an entry-level individual contributor role with limited organizational influence.,3,"Candidate writes politely and professionally, suggesting neutral sincerity without strong personal warmth.",Consider,,
