Negative Words — Cover Letter Language Dictionary,,,,,
,,,,,
Word / Phrase,Category,"Quality Impact
Flag",Flag Reason,Definition / Usage Note,Source
domination,Agentic,Medium,Can read as a competence/intelligence claim rather than pure style,Dominate,
crushing,Agentic,Medium,Formally 'Highly Motivation' - 'Highly' is an intensifier that reads as a quality claim,,
shatter goals,Agentic,Medium,"Formally 'specialized expertise' - Implies superior/rare qualification, not just tone",,
dictate,Agentic,,,,
conquer,Agentic,,,,
rule,Agentic,,,,
smash,Agentic,,,,
override,Agentic,,,,
unmatched,Agentic,,arrogant or unsubstantiated,,
unrivaled,Agentic,,arrogant or unsubstantiated,,
obey,Communal,,,,
comply,Communal,,,,
subordinate,Communal,,,,
passive,Communal,,,,
rely,Communal,,Dependent on others,,
wait,Communal,,,,
agreeable,Communal,,Walk-over rather than collaborator,,
served under,Communal,,,,
depend,Communal,,,,
follow,Communal,,,,
hesitant,Communal,,"Opposite of the Agentic ""decisive,"" reads as weak",,
