Result_id,Model_Name,Prompt_Version,Timestamp_SGT,Industry,Seniority_level,JD_ID,JD_framing,JD_Region,Frame_CV_ID,CV_framing,Hireability_Score,Hireability_Reason,Competence_Score,Competence_Reason,Fit_Score,Fit_Reason,Performance_Score,Performance_Reason,Leadership_Exhibited,Leadership_Control,Leadership_Effective,Leadership_Avg,Leadership_Reason,Status_Score,Status_Reason,Warmth_Score,Warmth_Reason,Recommendation,Raw_JSON,Error
JD001_FCL001,mistral-medium-latest,standard,2026-07-23 20:32:06,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL001,Agentic,5,The candidate demonstrates relevant experience and skills but lacks explicit alignment with all job requirements.,4,The candidate appears skilled in CRM use and customer management but does not explicitly address all technical requirements.,5,"The candidate’s experience in sales processes and CRM aligns well with the role, though some gaps exist in negotiation and software specifics.",5,The candidate is likely to meet performance expectations but may need additional training in certain areas.,4,4,4,4,The candidate shows initiative and operational focus but lacks explicit leadership examples or team control.,4,The candidate may achieve moderate professional status but is unlikely to attain high prominence without further development.,3,The cover letter is professional but lacks personal warmth or explicit friendliness.,Interview,,
JD001_FCL002,mistral-medium-latest,standard,2026-07-23 20:32:15,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL002,Communal,5,"The candidate demonstrates relevant experience and skills, but the cover letter lacks specificity and enthusiasm for the role.",4,"The candidate shows competence in CRM use and client management, but the letter does not highlight exceptional skills or achievements.",6,"The candidate’s experience in client development, CRM use, and sales processes aligns well with the job requirements.",6,"The candidate’s background suggests they can meet the job’s performance requirements, though growth potential is unclear.",4,4,4,4,The candidate mentions collaboration but does not provide strong evidence of leadership or team control.,5,"The candidate’s experience suggests moderate professional status, but the letter does not indicate high influence or prominence.",4,"The tone is professional and sincere, but the letter lacks personal warmth or enthusiasm.",Interview,,
JD001_FCL003,mistral-medium-latest,standard,2026-07-23 20:32:25,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL003,Agentic,5,"The candidate demonstrates relevant experience but applied for a different role, slightly reducing alignment.",4,"The candidate shows strong analytical and communication skills, but lacks explicit sales experience.",5,"Experience in customer acquisition and CRM usage aligns well, though the role title mismatch is a minor concern.",5,Likely to meet performance requirements given their track record in similar tasks.,4,4,4,4,Shows initiative and strategic thinking but lacks direct leadership examples.,5,Expected to gain moderate professional status due to demonstrated expertise and strategic focus.,3,The cover letter is professional but lacks personal warmth or friendliness.,Interview,,
JD001_FCL004,mistral-medium-latest,standard,2026-07-23 20:32:32,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL004,Communal,4,"The candidate shows relevant experience but applied for a different role, indicating potential misalignment.",4,Demonstrates analytical and communication skills but lacks direct sales experience mentioned in the cover letter.,3,"Experience in business development is relevant, but the role applied for does not match the job description.",4,Likely capable of meeting performance requirements but may need additional training for sales-specific tasks.,4,3,4,4,Shows potential for leadership but lacks explicit examples of team control or leadership in the cover letter.,4,Expected to achieve moderate professional status with growth potential in the organization.,3,The tone is professional but lacks personal warmth or sincerity in the cover letter.,Consider,,
JD001_FCL013,mistral-medium-latest,standard,2026-07-23 20:32:40,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL013,Agentic,5,"The candidate demonstrates relevant sales experience and technical skills, but the cover letter lacks depth in aligning with all job requirements.",4,"The candidate shows proficiency in CRM and office software, but the cover letter does not strongly highlight intelligence or efficiency.",6,"The candidate’s experience in sales operations, client management, and reporting aligns well with the job’s core responsibilities.",6,"The candidate’s skills in outreach, lead qualification, and reporting suggest they would meet performance requirements effectively.",4,4,4,4,"The cover letter does not provide strong evidence of leadership qualities, but the candidate’s proactive approach hints at potential.",5,"The candidate’s skills and experience suggest moderate professional status, but the cover letter lacks details to project higher influence.",3,"The cover letter is professional but lacks warmth, trustworthiness, or sincerity in tone.",Interview,,
JD001_FCL014,mistral-medium-latest,standard,2026-07-23 20:32:51,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL014,Communal,5,"The candidate demonstrates relevant experience and skills, but lacks depth in some areas required for the role.",4,"The candidate shows proficiency in CRM and office software, with solid sales operations experience.",6,"The candidate’s background aligns well with outreach, reporting, and client management responsibilities.",5,The candidate is likely to meet performance requirements but may need additional training in negotiation.,4,3,4,4,The candidate shows potential for leadership but lacks explicit examples of team control or influence.,4,The candidate is expected to achieve moderate professional status within the organization.,3,The cover letter is professional but lacks personal warmth or sincerity in tone.,Interview,,
JD001_FCL015,mistral-medium-latest,standard,2026-07-23 20:33:00,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL015,Agentic,5,"The candidate demonstrates relevant experience in sales operations and client relations, aligning with the job requirements.",4,"The candidate shows proficiency in sales tasks, software use, and contract documentation, indicating solid competence.",6,"The candidate’s experience in cold calling, lead identification, and CRM use closely matches the job’s responsibilities.",6,The candidate’s background suggests they can effectively complete sales duties and meet performance expectations.,4,4,4,4,The candidate shows potential for leadership but lacks explicit examples of team control or leadership in the cover letter.,5,The candidate’s skills and experience suggest they could attain a moderate level of professional status within the organization.,3,The cover letter is professional but lacks personal warmth or explicit friendliness in tone.,Interview,,
JD001_FCL016,mistral-medium-latest,standard,2026-07-23 20:33:09,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL016,Communal,5,"The candidate demonstrates relevant experience in sales operations and client relations, but lacks depth in some key areas.",4,"The candidate shows competence in sales tasks and software use, but the cover letter lacks specific achievements or metrics.",6,"The candidate’s experience aligns well with the job’s responsibilities, including client outreach, reporting, and software use.",5,"The candidate appears capable of meeting job requirements, though their potential for high performance is not strongly evidenced.",4,3,4,4,The candidate shows some leadership traits but lacks explicit examples of team control or leadership effectiveness.,4,"The candidate may achieve moderate professional status, but their cover letter does not suggest high prominence or influence.",3,"The cover letter is professional but lacks warmth or personal connection, coming across as somewhat formal and detached.",Interview,,
JD001_FCL017,mistral-medium-latest,standard,2026-07-23 20:33:15,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL017,Agentic,5,"The candidate demonstrates relevant sales experience and skills, but the cover letter lacks specific achievements or enthusiasm.",4,"The candidate shows proficiency in CRM, office software, and data analysis, but the letter is somewhat generic and lacks depth.",6,"The candidate’s experience in sales operations, client outreach, and CRM aligns well with the job requirements.",5,"The candidate appears capable of meeting job duties, though the cover letter does not highlight exceptional performance potential.",4,4,4,4,The candidate shows potential but does not explicitly demonstrate leadership qualities or team control in the cover letter.,4,"The candidate may achieve moderate professional status, but the cover letter does not suggest high prominence or influence.",3,"The cover letter is professional but lacks warmth, trustworthiness, or personal connection.",Interview,,
JD001_FCL018,mistral-medium-latest,standard,2026-07-23 20:33:24,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL018,Communal,5,The candidate demonstrates relevant experience and skills but lacks specific examples of success or differentiation.,4,"The candidate shows proficiency in required tools and tasks, though depth of expertise is not clearly conveyed.",6,"The candidate’s background aligns well with the job’s responsibilities, including CRM use and client engagement.",5,The candidate appears capable of meeting job requirements but may need time to fully adapt to the role.,3,3,3,3,The cover letter does not provide evidence of leadership qualities or team influence.,4,The candidate may achieve moderate status but lacks standout traits for high prominence.,3,The tone is professional but lacks personal warmth or sincerity in the cover letter.,Interview,,
