Phrase_ID,Resume_ID,Label,Phrase,Word_Count
P000001,DS2_00001,5,BUSINESS DEVELOPMENT CONSULTANT Summary Experienced Life Science Sales and Marketing specialist with track record in growing customer base and,19
P000002,DS2_00001,5,Able to use analytical skills and industry knowledge to develop,10
P000003,DS2_00001,5,"by developing and managing integrated, full circle marketing programs .",9
P000004,DS2_00001,5,"Effectively directed internal marketing, communications and sales support staff.",9
P000005,DS2_00001,5,"Improved marketing plans, sales strategies and customer relations to maximize business development.",12
P000006,DS2_00001,5,"Streamlined operational efficiencies, developed sales tracking reports for planning by executive team.",12
P000007,DS2_00001,5,"Manager, Business Development Feb 2013 to Apr 2016 Company Name － City , State Advantar Labs (now part of Eurofins) is a GMP contract laboratory specializing in small and large molecule drug development programs.",32
P000008,DS2_00001,5,Successfully developed and planned relationship cultivating events to promote growth resulting in expansion of clientele base by 35%.,18
P000009,DS2_00001,5,Developed innovative and targeted marketing strategies to support overall branding objectives.,11
P000010,DS2_00001,5,Developed strategies to drive partnering with 8 new clients in 2012 and grew underdeveloped territory with no existing contacts or leads.,21
P000011,DS2_00001,5,"Cultivated relationships with community leaders, businesses and local citizens in effort to draw attention to MDA and add new donors/volunteers.",19
P000012,DS2_00001,5,"Gathered and analyzed cultural, educational, social and demographic data about the community to guide local program development.",17
P000013,DS2_00002,16,"MANAGER Summary Over twenty-five years Management experience in Vendor Compliance, Product Integrity/Quality, Customer Support/Sales and Business Office Management.",15
P000014,DS2_00002,16,I am a results-focused professional with the ability to manage multiple projects and meet deadlines in a fast paced environment.,19
P000015,DS2_00002,16,"Specific expertise includes: quality assurance, strategic planning, handling of large customer accounts, office management, vendor billing and invoicing, purchasing and payroll.",21
P000016,DS2_00002,16,Highlights Exceptional Customer Service Skills Exceptional time management skills Adaptable Business and requirements analysis Experience 10/2008 to 07/2012 Sr.,17
P000017,DS2_00002,16,"Manager Company Name － City , State Vendor Management and Product Integrity/Quality Responsibilities include: Partnering with Quality Assurance Team, Sourcing Managers, Buyers, Technical Design and Logistics to ensure packaging and garment labeling meet company requirements.",32
P000018,DS2_00002,16,Accomplishments: Implemented a new vendor website providing all company policy and procedures as well as educational tools.,17
P000019,DS2_00002,16,Implemented with the QA team a shared audit tracking report and disposition process.,13
P000020,DS2_00002,16,Implemented a Correction and Chargeback Policy for vendor Non-Compliance resulting in savings of $400k annually.,14
P000021,DS2_00002,16,"Manager Company Name － City , State Manage the Technical Design Department with a staff of two Managers and six Technical Designers.",20
P000022,DS2_00002,16,"Provide further training as needed on systems, guidance, discipline and support to direct reports.",14
P000023,DS2_00002,16,Developed and implemented a Standard Operating Procedure Manual to streamline processes.,11
P000024,DS2_00002,16,"09/2000 to 02/2005 Promotional Sales Manager Company Name － City , State Responsible for all promotional and up sell programs in an inbound call center.",21
P000025,DS2_00002,16,"Programs include add-on sales, coordinates, gift certificates and in-house credit card programs.",10
P000026,DS2_00002,16,"Manage and maintain an associate incentive budget of $120,000 annually while increasing sales.",12
P000027,DS2_00002,16,Created and implemented numerous successful associate incentive contests driving promotional sales up in each area.,15
P000028,DS2_00002,16,"10/1998 to 09/2000 Manager of Customer Sales/Support Company Name － City , State Manage an inbound call center handling both sales and support.",18
P000029,DS2_00002,16,Oversee and managed a staff of 9 Supervisors with a total of 300 associates.,14
P000030,DS2_00002,16,Increased sales of up sell items by 325% by assisting in implementing a training and coaching program.,17
P000031,DS2_00002,16,"After implementation and consistent coaching, sales rose from $1.2 million to over $8 million annually.",14
P000032,DS2_00002,16,"Project team member for implementation of a magazine subscriptions program, which resulted in incremental revenue of $360,000 annually.",17
P000033,DS2_00002,16,"09/1988 to 09/1998 Customer Sales/Support and Correspondence Supervisor Company Name － City , State Supervised a staff of 35-40 associates providing training, cross-training and coaching to ensure associates continue to develop in their roles.",27
P000034,DS2_00002,16,Provide daily support for senior management to expedite customer service inquiries for timely resolutions.,14
P000035,DS2_00002,16,Envisioned and implemented associate incentive programs to increase productivity and morale.,11
P000036,DS2_00002,16,Created and maintained various statistical/departmental reports.,5
P000037,DS2_00002,16,Interviewed prospective personnel; managed monthly client billing and scheduling.,9
P000038,DS2_00003,2,"Experience 10/2016 to Current Information Technology Auditor Company Name － City , State Participate in the annual risk assessment and audit planning process covering IT, financial, operational, and contract areas.",27
P000039,DS2_00003,2,"Includes risk assessment, control walkthroughs, control testing, remediation assistance, report of results to IT management and other management, and collaboration with our external financial IT auditors.",26
P000040,DS2_00003,2,"Assist and consult with IT management on upgrades, implementations, and action plans resulting from various audits and assessments.",18
P000041,DS2_00003,2,Assists and provides support to others auditing the Association as needed.,11
P000042,DS2_00003,2,Coordinates work of internal auditors when assigned to assist with special/complex audits.,11
P000043,DS2_00003,2,"Provide functional expertise and guidance to developers for technical solutions in modules of PeopleSoft Core Financials, and other applications.",19
P000044,DS2_00003,2,Create new business process flows and functional designs for Enterprise Learning Management requirements.,13
P000045,DS2_00003,2,"Work with the business owners, data owners, end users, and external auditors on fit gap analysis and remediation for process requirements, improvements, and recommend best practice solutions.",27
P000046,DS2_00003,2,Determine the risks associated with the access and highlight any risks to management.,13
P000047,DS2_00003,2,"Analyze, monitor, and troubleshoot business processes of systems that interface with PeopleSoft Financials.",13
P000048,DS2_00003,2,"Create, analyze and monitor access including creation, deletion and modification of access.",12
P000049,DS2_00003,2,Coordinate and manage application release processes with various teams.,9
P000050,DS2_00003,2,"Interact with different teams of project managers, developers, quality engineers, peers, and other team members from integration teams.",18
P000051,DS2_00003,2,"Created and configured Work centers, Dashboards, and Interaction Hubs for HCM,and Financials using PeopleSoft 9.2 PeopleTools framework.",17
P000052,DS2_00003,2,"Provisioned user security and functional support for PeopleSoft HR, PS Financials, PS Campus Solutions, and Workday HCM.",17
P000053,DS2_00003,2,Worked with third party vendors to implement solution.,8
P000054,DS2_00003,2,Created and maintained documentation of application support and technical environments.,10
P000055,DS2_00003,2,Prepared applications for Identity Access Management.,6
P000056,DS2_00003,2,Provided advanced technical application support and troubleshooting.,7
P000057,DS2_00003,2,"Supported remote users using Citrix Remote Desktop, Microsoft Lyncs.",9
P000058,DS2_00003,2,Gathered the requirements and implemented the change to transfer USON corporate employees to McKesson's PeopleSoft HCM.,16
P000059,DS2_00003,2,Responsible for coordinating with IT support teams on major incident management issues using ITIL best practices.,16
P000060,DS2_00003,2,Supported and maintained other applications such as IKnowMed EHR.,9
P000061,DS2_00003,2,"Managed and performed change management of security initiatives and business process changes for PeopleSoft HRMS, PeopleSoft Financials including Grants, and Workday HCM.",22
P000062,DS2_00003,2,"Served as a core team member for the EIB uploads, implementation and integration of security and business processes for Workday HCM, Payroll, Time Tracking Absence Management and Compensation Modules.",29
P000063,DS2_00003,2,"Provided both technical and functional support for PeopleSoft Financials, PeopleSoft HR, and Workday HCM.",14
P000064,DS2_00003,2,Created and maintained security admission procedures for each application.,9
P000065,DS2_00003,2,Managed and generated weekly security reports for security incidents in the Heat incident handling tool to reduce the number of security issues and defects and enhance application controls and monitoring.,30
P000066,DS2_00003,2,Developed and distributed quarterly security audit reports for the business owners' review and signoff.,14
P000067,DS2_00003,2,"Coordinated business owner process approvals and authorization for requisition approvals, invoice approvals, employee time approvals, and user provisioning.",18
P000068,DS2_00003,2,Participated in change management meetings to add value through perspective and awareness of impacts to operational changes proposed.,18
P000069,DS2_00003,2,"04/2007 to 10/2007 Manager Company Name － City , State Managed and assisted in development of major incident management procedures to be followed by IT staff in resolving network related issues.",27
P000070,DS2_00003,2,Served a key role in the Remedy implementation project; this included the installation and creation of data structure requirements and value data population in the new Remedy incident handling tool.,30
P000071,DS2_00003,2,Created a Change Management strategy and established reinforcement mechanisms and celebration of success.,13
P000072,DS2_00003,2,Developed and maintained a network infrastructure that met all service level requirements and provided additional capacity for growth.,18
P000073,DS2_00003,2,Applied a structured ITIL major incident management and change management approach and methodology.,13
P000074,DS2_00003,2,Identified potential people-side risks and anticipated points of resistance; developed specific plans to mitigate or address the concerns.,17
P000075,DS2_00003,2,"Developed a set of actionable and targeted change management plans - including communication plan, sponsor roadmap, coaching plan, training plan and resistance management plan.",23
P000076,DS2_00003,2,"Supported the execution of plans by employee-facing managers, business leaders, and stakeholders.",11
P000077,DS2_00003,2,Conducted active and visible coaching to change sponsors' executive leaders.,10
P000078,DS2_00003,2,"Created and managed systems metrics to track adoption, utilization and proficiency of individual changes.",14
P000079,DS2_00003,2,"Identified resistance and performance gaps, and worked to develop and implement corrective actions.",13
P000080,DS2_00003,2,"03/2006 to 04/2007 Lead Client Security Analyst Company Name － City , State Served as the liaison between the business and IT departments supporting global accounts for companies located all over the world.",29
P000081,DS2_00003,2,Worked with developers to implement changes in production.,8
P000082,DS2_00003,2,"Led a team of five employees including first level support located in Gurgaon, India to provide production security issue resolution.",20
P000083,DS2_00003,2,Gathered requirements for newly created teams and determined which business applications/environments were necessary for proper job performance.,16
P000084,DS2_00003,2,Developed and enforced policy regarding mandatory security procedures.,8
P000085,DS2_00003,2,Documented functional/training procedures and implement changes to security procedures.,8
P000086,DS2_00003,2,Regularly met with internal and external auditors to perform security walkthroughs and assisted in documenting test plans and mitigating findings.,20
