Result_id,Model_Name,Prompt_Version,Timestamp_SGT,Industry,Seniority_level,JD_ID,JD_framing,JD_Region,Frame_CV_ID,CV_framing,Hireability_Score,Hireability_Reason,Competence_Score,Competence_Reason,Fit_Score,Fit_Reason,Performance_Score,Performance_Reason,Leadership_Exhibited,Leadership_Control,Leadership_Effective,Leadership_Avg,Leadership_Reason,Status_Score,Status_Reason,Warmth_Score,Warmth_Reason,Recommendation,Raw_JSON,Error
JD001_FCL001,hy3,standard,2026-07-23 19:46:05,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL001,Agentic,4,Candidate shows relevant account management experience but cover letter targets wrong role and lacks explicit requirement evidence.,3,"Candidate appears skilled in CRM and sales processes, though competence in required software is not directly shown.",4,"Candidate has customer and CRM experience fitting duties, but missing proof of Office, pricing, and negotiation skills.",4,"Likely can handle accounts and outreach, yet unclear if meets all formal job performance requirements.",3,2,3,3,No leadership cues in letter; entry sales role suggests limited team control or leading behavior expected.,3,"Candidate may gain modest respect via performance, but entry-level scope limits immediate organizational prominence.",3,"Tone is polite and professional, suggesting sincerity but not strongly warm or personally engaging.",Consider,,
JD001_FCL002,hy3,standard,2026-07-23 19:46:09,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL002,Communal,4,Candidate shows relevant experience but applied to wrong title and lacks explicit proof of several required job skills.,3,Candidate appears reasonably skilled in CRM and client work but communication errors suggest modest competence.,4,"Candidate has matching background yet misses demonstrated negotiation, reporting, and company software proficiency.",4,Likely can handle accounts and outreach but may struggle with required reporting and contracting duties.,3,2,3,3,Candidate is collaborative and relational but shows no clear leadership or team control inclination.,3,Candidate may attain average internal status through steady contribution but not prominent influence.,4,"Candidate seems sincere, friendly, and trustworthy via polite and relational cover letter tone.",Consider,,
JD001_FCL003,hy3,standard,2026-07-23 19:46:14,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL003,Agentic,4,"Candidate shows relevant commercial experience but applied to a different role, making offer recommendation tentative at best.",4,"Cover letter suggests skilled, efficient work in acquisition and reporting, indicating generally competent professional demeanor.",4,"Experience aligns with sales duties, but no proof of CRM, office software, or English proficiency per requirements.",4,"Likely able to handle outreach and reports, yet unconfirmed on core tools required for full job duties.",3,3,3,3,"Letter shows ownership of workflows but no explicit team leadership, suggesting limited leadership signals for this role.",3,Candidate may gain moderate respect via experience but entry-level scope limits expected organizational prominence and influence.,3,"Tone is polite and professional yet formal, conveying neutral sincerity without strong warmth or friendliness.",Consider,,
JD001_FCL004,hy3,standard,2026-07-23 19:46:19,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL004,Communal,4,Candidate shows relevant commercial experience but applies to a different role and lacks explicit entry-level sales qualifications.,3,Candidate appears skilled in analysis and communication but does not demonstrate clear sales execution competence.,3,"Candidate's background is commercial development, not entry-level sales, with no stated CRM or pricing knowledge.",3,Candidate may struggle with core sales duties lacking demonstrated outreach and contract negotiation experience.,3,2,3,3,Candidate shows collaboration but no evidence of leading teams or controlling group activities.,3,Candidate might attain moderate status through experience but not prominent influence in entry-level sales.,4,"Candidate's letter is polite and sincere, suggesting a friendly and trustworthy professional demeanor.",Consider,,
JD001_FCL013,hy3,standard,2026-07-23 19:46:24,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL013,Agentic,5,"Candidate shows relevant sales experience and tool proficiency, but no resume was provided as required for formal consideration.",4,Candidate demonstrates competent sales and CRM skills but lacks detail on negotiation and reporting competence.,5,Candidate matches many duties like outreach and CRM but omits resume and explicit contract negotiation experience.,5,"Likely to perform adequately in outreach and reporting, though missing resume weakens confidence in full capability.",3,2,3,3,"Cover letter shows individual sales execution, with no evidence of team leadership or control behaviors.",3,"As entry-level sales contributor, candidate is expected to hold modest prominence without indicated advancement traits.",3,"Tone is polite and professional yet impersonal, conveying neutral sincerity rather than strong warmth.",Consider,,
JD001_FCL014,hy3,standard,2026-07-23 19:46:29,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL014,Communal,5,"Candidate shows relevant sales experience and tool proficiency, making them a reasonable entry-level hire worth further screening.",4,"Cover letter shows competent sales operations skills, CRM use, and outreach ability, indicating solid baseline proficiency.",5,"Candidate matches most duties like outreach and CRM use, though resume and negotiation evidence are not provided.",5,Likely to handle assigned outreach and reporting duties adequately based on described sales background.,3,2,3,3,No leadership claims are made; candidate appears individual-contributor oriented with minimal team control indication.,3,"As an entry-level applicant with supporting experience, moderate organizational prominence is plausibly attainable over time.",4,"Polite, professional tone suggests trustworthy and friendly demeanor appropriate for customer-facing sales work.",Consider,,
JD001_FCL015,hy3,standard,2026-07-23 19:46:34,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL015,Agentic,4,"Candidate shows relevant sales experience but lacks resume and explicit company software/CRM proof, making offer premature yet potentially viable.",3,"Cover letter shows basic sales and analytical skills but is vague, suggesting moderate rather than strong competence.",4,"Candidate matches outreach and reporting duties but omits resume, CRM, and company software required for full fit.",4,"Likely can handle core sales tasks adequately, though missing requirements create uncertainty in meeting all formal criteria.",2,2,2,2,No leadership indicators appear; role is entry-level and letter shows individual contributor focus only.,3,"Entry-level sales path suggests limited early prominence, with respect dependent on proven results over time.",3,"Tone is polite and professional but impersonal, conveying neutral rather than distinctly warm or trusting impression.",Consider,,
JD001_FCL016,hy3,standard,2026-07-23 19:46:39,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL016,Communal,5,"Candidate shows relevant sales experience and tools use, but no resume was provided as required for formal consideration.",3,"Candidate describes useful sales tasks but with grammatical errors, suggesting moderate competence and attention to detail.",5,"Background in cold calling and CRM-like tracking aligns with duties, though product knowledge and resume are unconfirmed.",5,"Likely can handle outreach and reporting, but missing resume and weak writing raise doubts on full meeting requirements.",3,2,3,3,No leadership evidence; entry sales role with support tasks implies minimal expected team leadership or control.,3,"As an entry-level applicant with basic contributions, candidate would likely hold low to moderate organizational prominence.",3,"Letter is polite and available but generic, giving a neutral, slightly sincere but not strongly warm impression.",Consider,,
JD001_FCL017,hy3,standard,2026-07-23 19:46:44,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL017,Agentic,4,Candidate shows relevant sales and CRM experience but lacks demonstrated negotiation and product knowledge required for the role.,3,Candidate appears reasonably skilled in CRM and reporting but provides limited evidence of broader sales competence.,4,Candidate fits some duties like outreach and CRM but misses contract negotiation and product pricing evidence.,4,Candidate would likely handle accounts and reports but may struggle with negotiating and pricing tasks.,2,2,2,2,No leadership experience or indicators of team control are shown in the cover letter content.,3,Candidate would likely remain in an entry-level capacity with limited organisational prominence or influence.,3,"Tone is polite and professional yet somewhat generic, showing moderate warmth and sincerity.",Consider,,
JD001_FCL018,hy3,standard,2026-07-23 19:46:49,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL018,Communal,4,Candidate shows relevant sales support experience but lacks explicit proof of key requirements like negotiation and reporting.,3,Candidate appears moderately skilled in CRM and office tools but does not demonstrate advanced or independent competence.,4,Candidate meets some duties via outreach and CRM use but omits contract negotiation and product knowledge evidence.,4,Candidate could handle basic sales operations yet may struggle with full responsibilities without further demonstrated skills.,2,2,2,2,"Cover letter shows supportive teamwork only, with no indication of leadership, control, or leading effectiveness.",3,Candidate seems likely to remain in an entry-level support role with limited prominence or organisational influence.,3,"Tone is polite and professional yet distant, conveying neutral sincerity without strong warmth or friendliness.",Consider,,
