Result_id,Model_Name,Prompt_Version,Timestamp_SGT,Industry,Seniority_level,JD_ID,JD_framing,JD_Region,Frame_CV_ID,CV_framing,Hireability_Score,Hireability_Reason,Competence_Score,Competence_Reason,Fit_Score,Fit_Reason,Performance_Score,Performance_Reason,Leadership_Exhibited,Leadership_Control,Leadership_Effective,Leadership_Avg,Leadership_Reason,Status_Score,Status_Reason,Warmth_Score,Warmth_Reason,Recommendation,Raw_JSON,Error
JD001_FCL001,gpt-4.1-mini,region,2026-07-23 21:54:05,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL001,Agentic,5,"The candidate demonstrates relevant experience with CRM, customer account management, and sales processes, making them a reasonably strong fit for an entry-level sales role.",4,"The cover letter reflects a competent understanding of sales operations, CRM usage, and communication skills, indicating solid professional capability.",5,"The candidate’s experience with customer accounts, CRM, and sales quotas aligns well with the job requirements, suggesting good potential to perform the role effectively.",5,The candidate’s background and proactive communication style suggest they would meet the job’s performance expectations and complete assigned duties adequately.,3,3,3,3,"The cover letter does not emphasize leadership experience or qualities, indicating limited evidence of leadership potential at this stage.",3,"As an entry-level candidate, the expected professional status is moderate, with potential to grow but currently limited prominence or influence.",4,"The tone of the letter is polite, professional, and sincere, suggesting the candidate is warm and trustworthy.",Interview,,
JD001_FCL002,gpt-4.1-mini,region,2026-07-23 21:54:12,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL002,Communal,5,"The candidate demonstrates relevant experience with CRM use and client account development, showing potential to fulfill the role, though the cover letter lacks specific achievements or strong enthusiasm.",4,"The candidate appears competent with knowledge of sales processes, CRM software, and client communication, indicating solid foundational skills for an entry-level sales position.",5,"The candidate’s experience aligns well with the job requirements, including client account management, CRM usage, and communication skills, suggesting a good fit for the role.",5,"Based on the candidate’s described experience and collaborative approach, they are likely to meet the job’s performance expectations adequately.",3,3,3,3,"The cover letter does not highlight leadership roles or initiatives, indicating limited evidence of leadership potential at this stage.",3,"As an entry-level candidate, the expected professional status is moderate, with potential to grow but currently limited influence or prominence.",4,"The tone of the cover letter is polite, professional, and collaborative, suggesting the candidate is warm and sincere.",Interview,,
JD001_FCL003,gpt-4.1-mini,region,2026-07-23 21:54:20,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL003,Agentic,4,The candidate shows relevant experience in business development and customer acquisition but the cover letter does not directly address all specific job requirements or demonstrate clear alignment with an entry-level sales role.,4,"The candidate appears knowledgeable and skilled in sales-related activities and contract negotiation, indicating a solid level of competence.",4,"The candidate has relevant experience in customer acquisition and contract management but the role is entry-level and the candidate’s background suggests more senior responsibilities, which may affect fit.",4,"The candidate likely can perform the duties but the lack of explicit mention of CRM use, proficiency with company software, and English communication skills leaves some uncertainty.",3,3,3,3,The cover letter hints at ownership of processes and communication but does not strongly demonstrate leadership qualities or team control expected for this role.,3,"Given the entry-level nature of the role and the candidate’s experience, they may achieve moderate respect but not high prominence or influence initially.",3,"The tone is professional and polite but somewhat formal and reserved, providing a neutral impression of warmth and sincerity.",Consider,,
JD001_FCL004,gpt-4.1-mini,region,2026-07-23 21:54:28,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL004,Communal,4,The candidate shows relevant experience in business development and customer acquisition but applies for a different role title and lacks explicit mention of key sales-specific skills like CRM use or contract negotiation.,3,"The cover letter suggests competence in commercial sector tasks and communication, but lacks concrete examples of sales achievements or proficiency with required software.",4,"The candidate’s experience aligns somewhat with sales responsibilities, but the mismatch in job title and absence of direct sales or negotiation experience lowers the fit.",4,The candidate appears capable of supporting sales functions and client communication but may require onboarding to meet all formal sales performance requirements.,3,3,3,3,The letter implies collaboration and alignment skills but does not demonstrate clear leadership or team control experience.,3,"As an entry-level candidate with some relevant experience, the candidate is likely to attain moderate professional status but not high prominence initially.",4,"The tone of the letter is polite, professional, and sincere, indicating a warm and trustworthy demeanor.",Consider,,
JD001_FCL013,gpt-4.1-mini,region,2026-07-23 21:54:35,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL013,Agentic,5,"The candidate demonstrates relevant sales operations experience and technical skills, making them a reasonably strong fit for an entry-level sales role.",4,"The candidate shows competence in CRM use, sales procedures, and reporting, indicating solid foundational skills for the position.",5,"The candidate’s experience with client records, outreach, and sales reporting aligns well with the job responsibilities and requirements.",5,"The candidate appears capable of performing the core duties such as client acquisition, communication, and sales reporting effectively.",3,3,3,3,"The cover letter does not provide evidence of leadership experience or potential, which is typical for an entry-level candidate.",3,"As an entry-level candidate, the expected professional status is moderate, with potential to grow but no immediate high influence.",4,"The tone of the cover letter is polite and professional, suggesting the candidate is approachable and sincere.",Interview,,
JD001_FCL014,gpt-4.1-mini,region,2026-07-23 21:54:41,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL014,Communal,5,"The candidate demonstrates relevant sales experience and technical skills, making them a reasonable fit for an entry-level sales role, though details are somewhat general.",4,"The candidate shows familiarity with CRM software, outreach, and reporting, indicating solid competence for the position.",5,The candidate’s background in sales operations and client outreach aligns well with the job responsibilities and requirements.,5,"Based on the cover letter, the candidate appears capable of performing the core duties such as client acquisition, reporting, and CRM use.",3,3,3,3,"The cover letter does not provide evidence of leadership experience or potential, suggesting average or limited leadership qualities at this stage.",3,"As an entry-level candidate, the expected professional status is moderate, with potential to grow but currently limited.",4,"The tone of the letter is polite, professional, and open to communication, indicating a warm and approachable demeanor.",Interview,,
JD001_FCL015,gpt-4.1-mini,region,2026-07-23 21:54:49,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL015,Agentic,5,"The candidate demonstrates relevant sales experience and familiarity with key job functions, making them a reasonable fit for an entry-level sales role.",4,"The cover letter reflects competence in sales operations, client relations, and use of software tools relevant to the position.",5,"The candidate shows knowledge and skills aligned with the job requirements, including cold calling, lead identification, and contract negotiation.",5,"Based on the described experience, the candidate is likely to meet the performance expectations for an entry-level sales position.",3,3,3,3,"The cover letter does not provide clear evidence of leadership experience or potential, but the candidate may develop these skills over time.",3,"As an entry-level candidate, the expected professional status is moderate with potential to grow within the organization.",4,"The tone of the cover letter is polite and professional, suggesting the candidate is approachable and sincere.",Interview,,
JD001_FCL016,gpt-4.1-mini,region,2026-07-23 21:54:57,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL016,Communal,5,"The candidate demonstrates relevant sales experience and familiarity with key job tasks, making them a reasonable fit for an entry-level sales role.",4,"The candidate shows competence through experience in cold calling, lead identification, and use of office software, indicating solid foundational skills.",5,"The candidate’s background aligns well with the job requirements, including client relations, CRM use, and contract documentation, suggesting good potential for success.",5,"Based on the described experience and skills, the candidate is likely to meet the formal performance requirements and complete assigned duties adequately.",3,2,2,2.33,"The cover letter does not provide evidence of leadership experience or potential, indicating limited leadership qualities at this stage.",3,"As an entry-level candidate, the expected professional status is modest, with potential to grow but currently limited influence or prominence.",4,"The tone of the letter is polite and professional, suggesting the candidate is friendly and sincere, though not highly expressive of warmth.",Interview,,
JD001_FCL017,gpt-4.1-mini,region,2026-07-23 21:55:05,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL017,Agentic,4,"The candidate demonstrates relevant sales experience and familiarity with CRM and office software, but the cover letter lacks specific achievements and enthusiasm tailored to the exact job.",3,"The candidate shows basic competence in sales operations and software use, but the letter is generic and does not strongly convey advanced skills or deep knowledge.",4,"The candidate’s experience aligns with key job requirements such as client outreach, account management, and CRM use, though more detail on negotiation and product knowledge is missing.",4,The candidate appears capable of performing the core duties but lacks evidence of exceeding expectations or handling complex sales tasks independently.,2,2,2,2,The cover letter does not provide any indication of leadership experience or potential; the focus is on individual contribution rather than team leadership.,3,"As an entry-level candidate, the expected professional status is modest, with potential to grow but no current indication of high influence or prominence.",3,"The tone is polite and professional but somewhat formal and impersonal, offering limited insight into warmth or interpersonal qualities.",Interview,,
JD001_FCL018,gpt-4.1-mini,region,2026-07-23 21:55:12,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL018,Communal,5,"The candidate demonstrates relevant sales operations experience and technical skills, making them a reasonable fit for an entry-level sales role, though the cover letter lacks specific achievements.",4,"The candidate shows competence with CRM software, office tools, and data interpretation, indicating solid foundational skills for the position.",5,"The candidate’s experience with client engagement, record maintenance, and outreach aligns well with the job responsibilities, suggesting a good fit for the role.",5,"Based on the candidate’s described skills and experience, they are likely to meet the basic performance requirements of the entry-level sales position.",3,3,3,3,"The cover letter does not provide evidence of leadership experience or potential, so a neutral rating is appropriate.",3,"As an entry-level candidate with some relevant experience, the candidate is expected to attain a moderate level of professional status over time.",4,"The tone of the cover letter is polite and professional, conveying sincerity and a willingness to engage further.",Interview,,
