Keyword / Phrase,Sub-category
ability,Competence
capable,Competence
competent,Competence
effective,Competence
efficient,Competence
expertise,Competence
expert,Competence
experienced,Competence
knowledgeable,Competence
proficient,Competence
qualified,Competence
skilled,Competence
analytical,Competence
logical,Competence
mastery,Competence
solution-oriented,Competence
problem-solving,Competence
accurate,Competence
quality-focused,Competence
assertive,Communication
confident,Communication
decisive,Communication
persuasive,Communication
presentation,Communication
report,Communication
written communication,Communication
lead,Leadership
leadership,Leadership
drive,Leadership
initiative,Leadership
strategic,Leadership
visionary,Leadership
influential,Leadership
executive,Leadership
entrepreneurial,Leadership
decision-making,Leadership
promote,Leadership
guide,Leadership
direct,Leadership
champion,Leadership
cultivate,Leadership
ambitious,Achievement
achievement-oriented,Achievement
successful,Achievement
results-driven,Achievement
performance-driven,Achievement
goal-oriented,Achievement
objective-driven,Achievement
deliver,Achievement
execute,Achievement
implement,Achievement
improve,Achievement
optimize,Achievement
accomplish,Achievement
complete,Achievement
independent,Workstyle
self-starter,Workstyle
ownership,Workstyle
driven,Workstyle
autonomous,Workstyle
proactive,Workstyle
accountable,Workstyle
resourceful,Workstyle
self-directed,Workstyle
responsible,Workstyle
