Result_id,Model_Name,Prompt_Version,Timestamp_SGT,Industry,Seniority_level,JD_ID,JD_framing,JD_Region,Frame_CV_ID,CV_framing,Hireability_Score,Hireability_Reason,Competence_Score,Competence_Reason,Fit_Score,Fit_Reason,Performance_Score,Performance_Reason,Leadership_Exhibited,Leadership_Control,Leadership_Effective,Leadership_Avg,Leadership_Reason,Status_Score,Status_Reason,Warmth_Score,Warmth_Reason,Recommendation,Raw_JSON,Error
JD001_FCL001,MiniMax-M3,region,2026-07-24 10:44:33,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL001,Agentic,3,"The cover letter is generic, lacks specific achievements, and misaligns with the entry-level nature of the role.",3,"The candidate mentions relevant sales activities and CRM experience, but the language is vague and lacks concrete results.",3,"Experience with CRM, accounts, and sales processes aligns with requirements, but the executive-level framing mismatches the entry-level position.",3,"Moderate expectations given some relevant background, though no quantifiable achievements or specific industry knowledge are demonstrated.",3,3,3,3,"The cover letter offers no clear evidence of leadership initiative, team influence, or strategic decision-making relevant to this entry-level sales role.",3,"The candidate would likely achieve moderate standing, though the lack of differentiation suggests limited early organizational prominence.",3,The tone is professional and polite but reads as formulaic and impersonal rather than genuinely warm or engaging.,Consider,,
JD001_FCL002,MiniMax-M3,region,2026-07-24 10:44:48,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL002,Communal,3,"The cover letter is generic and templated, with grammar issues and a mismatch between the referenced 'Sales Executive' title and the actual Entry-Level Sales role.",3,"Demonstrates baseline familiarity with CRM systems and client management, but lacks concrete achievements, metrics, or specific examples that would signal strong competence.",3,"Mentions relevant skills such as CRM usage and client engagement, but fails to demonstrate key requirements like contract negotiation ability or specific sales-driven results.",3,"The candidate would likely meet minimum performance expectations, though the vague descriptions of prior responsibilities provide limited confidence in exceeding them.",3,2,3,2.67,"The cover letter emphasizes collaboration and teamwork rather than any leadership initiative, suggesting modest leadership potential for an entry-level role.",3,"Without indicators of distinction or specific accomplishments, the candidate is expected to attain an average level of professional standing within the organization.",3,"The letter is polite and professional in tone, but its formulaic and impersonal nature prevents the candidate from appearing particularly warm or personable.",Consider,,
JD001_FCL003,MiniMax-M3,region,2026-07-24 10:45:01,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL003,Agentic,4,"Candidate presents relevant experience in customer acquisition and contract work, though the mismatch between entry-level posting and specialist title warrants further evaluation.",3,"The candidate demonstrates moderate competence through described experience, but the cover letter lacks specific, verifiable achievements or metrics that would signal higher proficiency.",4,"Skills in customer acquisition, contract negotiation, and CRM use align with sales duties, though applying for a specialist title rather than entry-level sales raises fit questions.",4,"Based on described experience, the candidate should adequately meet core sales performance requirements including outreach, account maintenance, and reporting.",3,3,3,3,"The cover letter mentions collaborative work but provides no specific examples of leadership, team influence, or supervisory responsibility to suggest notable leadership potential.",3,"Given the entry-level nature of the role and lack of standout credentials, the candidate would likely attain moderate professional standing within the organization.",3,"The cover letter is professional and courteous but adopts a fairly formal, detached tone without conveying strong interpersonal warmth or enthusiasm.",Interview,,
JD001_FCL004,MiniMax-M3,region,2026-07-24 10:45:18,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL004,Communal,3,"The cover letter is professional but generic, lacking specific achievements or measurable results that would strongly distinguish this candidate for an entry-level sales role.",3,"The candidate presents a competent professional image through clear writing but offers no concrete metrics, accomplishments, or specific evidence of sales success to substantiate competence claims.",4,"Relevant customer acquisition and contract experience align with sales duties, though the candidate omits direct mentions of CRM proficiency, sales reporting, and product pricing knowledge.",3,"Without specific sales figures, client outcomes, or demonstrated achievements, it is difficult to confidently predict above-average performance in this customer-facing sales position.",2,2,2,2,"The cover letter describes supporting and collaborative work rather than leadership roles, appropriate for an entry-level candidate with limited direct leadership evidence.",3,"As an entry-level applicant with vaguely described experience, the candidate would likely attain modest professional status within the sales organization initially.",3,"The tone is courteous and professional but generic, without distinct personality markers suggesting strong interpersonal warmth or rapport-building qualities essential to sales.",Consider,,
JD001_FCL013,MiniMax-M3,region,2026-07-24 10:45:39,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL013,Agentic,3,The candidate possesses some relevant skills but the cover letter is generic and lacks concrete achievements or specific examples to warrant a strong recommendation.,3,"The candidate demonstrates moderate familiarity with relevant tools and processes, though awkward phrasing and lack of specifics limit the impression of competence.",3,"Some alignment with CRM, outreach, and reporting duties is evident, but coverage of contract negotiation, product knowledge, and customer account maintenance is weak.",3,"The candidate would likely meet basic expectations for this entry-level role, but vague descriptions and missing qualifications suggest inconsistent performance.",2,2,2,2,"The cover letter provides no evidence of leadership initiative, team influence, or strategic vision, which is acceptable for entry-level but not strong.",3,"Given the entry-level nature of the role and the candidate's modest qualifications, expected status within the organization would remain average.",3,"The tone is professional and courteous, but the letter is generic and lacks personal warmth or enthusiasm that would distinguish the candidate.",Consider,,
JD001_FCL014,MiniMax-M3,region,2026-07-24 10:45:54,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL014,Communal,3,"The cover letter is generic with placeholder text and lacks concrete achievements, making it difficult to strongly recommend hiring at this stage.",3,"The candidate mentions relevant tools and processes but provides no specific accomplishments, metrics, or evidence of skill mastery.",3,"There is basic alignment with sales duties such as CRM use and outreach, but vague phrasing about 'collaborating' and 'contributing' suggests limited direct ownership.",3,The candidate likely meets minimum entry-level expectations but the absence of quantifiable results or negotiation specifics tempers expectations.,2,2,2,2,"The cover letter uses passive, collaborative language and provides no indication of initiative, ownership, or leadership capacity.",3,"For an entry-level sales role, this candidate would likely hold a modest position without signals of rapid advancement.",3,"The tone is courteous and professional, though the templated structure with placeholders reduces the sense of personal sincerity.",Consider,,
JD001_FCL015,MiniMax-M3,region,2026-07-24 10:46:21,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL015,Agentic,2,"The cover letter contains placeholder text and grammatical errors, suggesting insufficient effort and possible English proficiency concerns for a sales role.",2,"Awkward phrasing, lack of quantifiable achievements, and references to placeholder fields indicate low competence and attention to detail.",3,"Mentions cold calling, lead identification, and contract documentation relevant to the role, but lacks specifics on CRM, product knowledge, or sales results.",2,Poor communication quality in the letter raises doubts about the candidate's ability to convey value and negotiate effectively with prospective clients.,2,2,2,2.0,"The cover letter provides no evidence of leadership experience, team influence, or initiative beyond individual account management tasks.",2,"As an entry-level candidate presenting an unprofessional application, this person is unlikely to attain notable professional status in the organization.",3,"The tone is polite and the candidate expresses willingness to interview, but the generic and impersonal nature limits perceived sincerity.",Reject,,
JD001_FCL016,MiniMax-M3,region,2026-07-24 10:46:38,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL016,Communal,3,"The cover letter contains grammatical errors and lacks specific achievements, making it difficult to strongly recommend this candidate without further evaluation.",2,Grammatical mistakes such as 'I builds software' and vague task descriptions suggest limited attention to detail and weak written communication skills.,3,"Some relevant experience is mentioned, including cold calling and client relations, but no concrete evidence of CRM proficiency or contract negotiation ability.",3,"The candidate shows baseline familiarity with sales tasks, but the lack of measurable outcomes suggests only average expected job performance.",2,2,2,2,"The cover letter describes only collaborative support tasks with no mention of leadership roles, team coordination, or initiative-taking.",3,"As an entry-level candidate with generic presentation, the candidate is unlikely to attain significant professional prominence in this role.",3,"The tone is polite and professional, but the letter feels impersonal and template-like, offering little sense of the candidate's personality.",Consider,,
JD001_FCL017,MiniMax-M3,region,2026-07-24 10:46:52,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL017,Agentic,3,"The cover letter is generic and lacks specific accomplishments or metrics, offering insufficient evidence to recommend hiring at this stage.",2,Vague phrasing and absence of concrete achievements or measurable results suggest only baseline competence rather than demonstrated capability.,3,"The candidate mentions relevant skills like CRM and client outreach, but fails to address key requirements such as contract negotiation and product knowledge.",3,"Without specific evidence of past sales successes or quota attainment, it is uncertain whether the candidate would reliably meet performance expectations.",2,2,2,2,"The application provides no indication of leadership experience, team influence, or initiative that would suggest leadership potential for an entry-level role.",3,"Given the generic presentation and entry-level framing, the candidate would likely attain average professional status within the organization.",3,"The tone is polite and professional but impersonal, offering no strong cues of warmth, friendliness, or sincere interpersonal engagement.",Consider,,
JD001_FCL018,MiniMax-M3,region,2026-07-24 10:47:10,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL018,Communal,3,"The candidate meets minimum stated requirements but the cover letter lacks concrete achievements, making it difficult to strongly recommend extending an offer.",3,"The applicant demonstrates baseline familiarity with relevant tools like CRM and office software, though vague phrasing offers limited evidence of substantive competence.",3,"Some alignment exists with CRM and sales operations experience, but the absence of specifics on negotiation or client acquisition weakens overall fit.",3,"Without measurable accomplishments or examples of sales success, expected performance appears moderate rather than strong or weak.",2,2,2,2.0,The cover letter shows no leadership examples; collaborative language is generic and offers little indication of initiative or team influence.,3,"An entry-level candidate with modest, unremarkable credentials would likely attain an average level of professional standing within the organization.",3,"The letter is polite and professionally courteous but uses stiff, formal language that conveys little personal warmth or genuine enthusiasm.",Consider,,
