Result_id,Model_Name,Prompt_Version,Timestamp_SGT,Industry,Seniority_level,JD_ID,JD_framing,JD_Region,Frame_CV_ID,CV_framing,Hireability_Score,Hireability_Reason,Competence_Score,Competence_Reason,Fit_Score,Fit_Reason,Performance_Score,Performance_Reason,Leadership_Exhibited,Leadership_Control,Leadership_Effective,Leadership_Avg,Leadership_Reason,Status_Score,Status_Reason,Warmth_Score,Warmth_Reason,Recommendation,Raw_JSON,Error
JD001_FCL001,deepseek-v4-pro,standard,2026-07-23 20:21:13,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL001,Agentic,6,"The candidate demonstrates relevant sales experience, CRM proficiency, and customer management skills, making them a strong fit for the role despite a slightly misaligned job title.",4,"The candidate displays a clear understanding of sales processes and CRM tools, indicating solid competence for an entry-level position.",6,The candidate's background in customer account management and CRM aligns well with the job's requirements for client acquisition and maintenance.,6,"With direct experience in sales and CRM, the candidate is expected to meet the formal performance requirements of the entry-level role.",4,3,4,3.67,The candidate shows collaborative tendencies but limited evidence of leadership; potential is moderate for an entry-level role.,4,"As an entry-level sales hire, the candidate would likely achieve moderate professional status through meeting sales targets and building client relationships.",4,"The candidate's tone is enthusiastic and professional, conveying warmth and sincerity appropriate for a sales role.",Interview,,
JD001_FCL002,deepseek-v4-pro,standard,2026-07-23 20:21:28,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL002,Communal,5,"The candidate shows relevant experience in business development and CRM use, but the cover letter addresses a different job title (Sales Executive), which slightly reduces confidence.",4,"Demonstrates proficiency with CRM, client account management, and sales processes, indicating solid competence for an entry-level role.",5,"Candidate's experience aligns with many requirements like CRM and communication, but explicit negotiation and product knowledge skills are not evidenced.",5,"Based on past duties in developing accounts and tracking metrics, the candidate is likely to meet the formal performance requirements of the entry-level sales role.",3,2,3,2.67,"The cover letter does not highlight leadership experiences, and the candidate's described activities are collaborative rather than directive, suggesting limited leadership potential.",3,"As an entry-level hire, the candidate would likely start with low professional status, but could gradually gain respect and influence with successful performance.",4,"The letter's collaborative tone and focus on partner relationships convey sincerity and a friendly, trustworthy demeanor.",Interview,,
JD001_FCL003,deepseek-v4-pro,standard,2026-07-23 20:21:43,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL003,Agentic,4,"The cover letter demonstrates relevant experience but is generic and addresses a different role title, making it unclear if the candidate fully understands this entry-level position.",3,"The candidate describes managing customer acquisition and using tracking software, indicating competence, but lacks specific achievements or sales metrics.",4,"The candidate's experience with contracts, account management, and technology aligns with several job duties, though the cover letter targets a more specialized role.",5,"With a background in commercial client acquisition and reporting, the candidate would likely complete assigned sales duties adequately.",3,3,3,3,The cover letter shows no clear leadership examples; mentions supporting colleagues but not directing teams or exerting influence.,4,"In an entry-level sales role, the candidate's prior experience may earn some respect and influence, but major prominence is unlikely initially.",3,The letter is polite and professional but somewhat formal; it does not convey exceptional warmth or personal connection.,Consider,,
JD001_FCL004,deepseek-v4-pro,standard,2026-07-23 20:21:59,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL004,Communal,4,The candidate shows relevant experience but the cover letter is generic and the applicant may be overqualified for an entry-level role.,4,The cover letter demonstrates professional communication and familiarity with sales processes and performance tracking software.,5,"The candidate's experience with customer acquisition, contract negotiations, and product alignment matches many job requirements.",5,"Given the described background, the candidate would likely complete assigned duties adequately and meet formal performance requirements.",4,3,4,3.67,Limited evidence of leadership; the letter focuses on individual contributions rather than leading teams or initiatives.,4,"In an entry-level role, the candidate's prior experience may earn moderate respect but not high prominence initially.",3,The letter is polite and professional but lacks personal warmth or expressions of enthusiasm for the role.,Interview,,
JD001_FCL013,deepseek-v4-pro,standard,2026-07-23 20:22:21,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL013,Agentic,2,"The cover letter contains grammatical errors and vague statements, indicating poor English proficiency and insufficient relevant experience for the role.",2,"The candidate's cover letter demonstrates limited language skills and lacks specific achievements, suggesting low competence in sales tasks and limited attention to detail.",3,"While the candidate mentions some relevant sales activities, the lack of specificity and poor communication skills undermine fit with the job's requirements.",2,"Due to unclear articulation of skills and no evidence of meeting requirements like English proficiency or contract negotiation, expected performance is low.",2,2,2,2.0,"The cover letter provides no evidence of leadership abilities or potential to influence team activities, suggesting low leadership capacity.",2,"Given the entry-level nature and poor application quality, the candidate is unlikely to attain prominence or influence within the organization.",3,"The cover letter is neutral and lacks personal touches, but appears polite; however, it does not convey warmth or sincerity.",Reject,,
JD001_FCL014,deepseek-v4-pro,standard,2026-07-23 20:22:38,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL014,Communal,4,"Candidate has relevant sales operations experience and skills like CRM and outreach, but cover letter lacks specific achievements to strongly justify an offer.",3,"Demonstrates familiarity with key sales tools and processes, but the description is generic and lacks detailed evidence of high skill or efficiency.",5,"Possesses required skills such as CRM use, outreach, and product presentation; gaps include explicit negotiation experience, but overall fit is solid for entry-level.",5,"Likely to complete assigned duties adequately given matching background in sales operations and customer interaction, though no quantifiable past performance shown.",2,2,2,2,"No evidence of leadership roles; the cover letter mentions contributing to shared procedures but not leading them, suggesting limited leadership potential.",2,"Entry-level role and generic cover letter indication suggest the candidate would start with low prominence and influence, typical for new hires.",3,"The letter is politely written with standard courtesies, giving a neutral to slightly positive impression of warmth and sincerity.",Interview,,
JD001_FCL015,deepseek-v4-pro,standard,2026-07-23 20:23:05,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL015,Agentic,4,"The candidate demonstrates relevant sales skills, but the cover letter is generic and lacks specific achievements or details that would strongly indicate high performance.",3,"The candidate communicates clearly and lists relevant sales activities, indicating moderate competence, though depth of skill is not detailed.",5,"The candidate's background in sales operations, cold calling, and client relations aligns well with the role's requirements for new client acquisition and account maintenance.",5,"Given the candidate's experience with cold calling, lead identification, and reporting, they are likely to meet performance expectations in this entry-level role.",2,2,2,2.0,"The cover letter provides no evidence of leadership experience or potential, as it focuses solely on individual sales tasks.",3,"The candidate's background suggests they could attain a solid professional standing, but the lack of standout achievements limits expectations for high status.",2,"The cover letter is professionally written but lacks personal warmth or genuine enthusiasm, appearing somewhat impersonal.",Interview,,
JD001_FCL016,deepseek-v4-pro,standard,2026-07-23 20:23:30,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL016,Communal,4,"The candidate shows some relevant sales experience but the cover letter contains grammatical errors and lacks specific achievements, making me somewhat hesitant to recommend an offer.",3,"The candidate's basic sales tasks experience is evident, yet the poorly written cover letter and vague descriptions make them appear only moderately competent.",5,"Matching many job requirements like cold calling and contract support, the candidate fits the role reasonably well though explicit CRM and product knowledge are not mentioned.",5,"With relevant experience in cold calling and client management, the candidate would likely meet performance standards after training, though some gaps may exist.",3,3,3,3,No leadership examples are provided; the candidate would likely show average leadership abilities in an entry-level role.,3,"Given the entry-level position and the candidate's early career stage, they would likely achieve low professional status initially.",4,The cover letter's polite tone and expressed interest in the role suggest a warm and sincere personality.,Consider,,
JD001_FCL017,deepseek-v4-pro,standard,2026-07-23 20:23:50,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL017,Agentic,5,"The candidate shows basic sales experience and relevant tools like CRM, but the application lacks personalization and standout enthusiasm.",4,"Mentions using CRM, office software, data interpretation, and report generation, indicating solid foundational competence for the role.",5,"Skills align well with required CRM, office software, and reporting duties, though negotiation experience is not demonstrated.",5,Past sales operations and account management experience suggests they can adequately handle core responsibilities of the position.,3,2,2,2.33,No leadership or team management experience is evident; the cover letter focuses solely on individual contributor tasks.,3,"As an entry-level role with generic experience, the candidate is likely to have limited initial influence and prominence.",3,The cover letter is polite and professional but remains impersonal and lacks indicators of warmth or sincerity.,Interview,,
JD001_FCL018,deepseek-v4-pro,standard,2026-07-23 20:24:10,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL018,Communal,3,The cover letter is too generic and lacks specific achievements or demonstration of key sales skills like negotiation and proactive client acquisition.,2,"The candidate describes basic sales operations activities but fails to convey depth of skill, intelligence, or efficiency beyond entry-level tasks.",4,"Some alignment with CRM and reporting, but missing evidence of contract negotiation, product knowledge, and proactive outreach required for the role.",4,"Likely capable of performing basic duties with training, but the generic application does not inspire confidence in exceeding expectations.",2,2,2,2,No leadership examples or indications of initiative; the cover letter focuses on support and record-keeping rather than leading or influencing.,3,"The role is entry-level, and the candidate's background suggests modest professional status potential within the organization initially.",3,"The tone is polite but impersonal and lacks genuine enthusiasm or personal connection, making it seem neutral rather than warm.",Consider,,
