Phrase_ID,Source_Dataset,Resume_ID,Category_or_Label,Phrase,Word_Count
P000001,sales_phrases,16280971,SALES,"""Karen became a trusted vendor to me.",7
P000002,sales_phrases,13178604,SALES,"""Quota Buster"" (2006, 2007, 2008) ➢ Promoted within 11 months of hire.",11
P000003,resume_classification_phrases,DS2_00379,20,"""The Future of Science in the United States: The case for supporting the 'invisible' researchers.""",14
P000004,sales_phrases,27607632,SALES,& travel trailers through about seven different companies to see what rate,11
P000005,sales_phrases,13178604,SALES,(83%) ➢ Rep of the month July to January Top in Sales for all months.,14
P000006,resume_classification_phrases,DS2_00089,19,"(OSHA 3515)  LOTO Electrical & Mechanical OSHA 7115 SAFETY INSPECTION TECHNIQUES FALL PROTECTION AED TRAINER Education Associate of Science : Construction Management , 2004 San Jose State Management aspects of installations of new commercial and Industrial building.",34
P000007,resume_classification_phrases,DS2_00623,5,"(Sanborn) Planned website for content, layout, design, meta/alt tags and SEO (search engine optimization).",13
P000008,resume_classification_phrases,DS2_00510,17,(Sheep) compact client development for Comcast on PACE Daytona Box,10
P000009,resume_classification_phrases,DS2_00376,5,(SunnySide Supply) Have obtained promotions and management opportunities faster than expected by employer.,13
P000010,sales_phrases,55097118,SALES,"(failure to appear), future dates, and closeout files with in a timely manner.",13
P000011,resume_classification_phrases,DS2_00291,11,"* Developed new proprietary operational system combining CRM, inventory, financial management, sales, fulfillment, call center tracking, and QuickBooks integration.",18
P000012,resume_classification_phrases,DS2_00291,11,* Improved accuracy of customer and broker data by developing an MS Access based system to replace individual spreadsheets.,18
P000013,resume_classification_phrases,DS2_00291,11,* Improved regional profitability by 45% in eight months by increasing the use of Medicaid and Cobra benefits (identified through off-hours research).,20
P000014,resume_classification_phrases,DS2_00379,20,"* The NPA garnered attention to the postdoctoral experience in the Washington Post, the New York Times, and other leading publications.",20
P000015,resume_classification_phrases,DS2_00466,15,"* Warehouse Management System, On Base, Mainframe, and Ultriva (Inventory maintenance software).",11
P000016,resume_classification_phrases,DS2_00486,16,*Develop and maintain key relationships/partnerships with both domestic and international functional groups and line functions.,14
P000017,resume_classification_phrases,DS2_00095,0,"*Operating Systems: Windows 95/98/2000/XP *Functional Knowledge: Recruitment, Organization Management, Time Management, Payroll, Benefits, Personal Administration, Training and Development, ESS, Performance Appraisal.",20
P000018,resume_classification_phrases,DS2_00482,14,*Received the 2013 Emerging Leaders Award from Gamma Sigma Sigma National Service Sorority.,13
P000019,resume_classification_phrases,DS2_00656,1,- Create MTN MNP teaser animation video for South Africa presentation.,10
P000020,resume_classification_phrases,DS2_00656,1,- Develop the MTN HR Career Portal.,6
P000021,resume_classification_phrases,DS2_00658,2,- Ensured orders went out correctly and on time - Facilitated employee training.,11
P000022,resume_classification_phrases,DS2_00658,2,- Performed Database/Website management tasks for a month until the vacant Supervisor post on P3 level was filled.,16
