Result_id,Model_Name,Prompt_Version,Timestamp_SGT,Industry,Seniority_level,JD_ID,JD_framing,JD_Region,Frame_CV_ID,CV_framing,Hireability_Score,Hireability_Reason,Competence_Score,Competence_Reason,Fit_Score,Fit_Reason,Performance_Score,Performance_Reason,Leadership_Exhibited,Leadership_Control,Leadership_Effective,Leadership_Avg,Leadership_Reason,Status_Score,Status_Reason,Warmth_Score,Warmth_Reason,Recommendation,Raw_JSON,Error
JD001_FCL002,qwen3.7-plus,region,2026-07-25 03:58:41,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL002,Communal,4,"The candidate demonstrates relevant sales and CRM experience but lacks specificity in achievements, making a strong hiring recommendation difficult at this stage.",3,The cover letter conveys baseline competence in sales processes and CRM usage but offers no quantifiable results or evidence of advanced skill.,4,"The candidate's background in client development and CRM aligns with core job duties, though contract negotiation and outreach specifics are not addressed.",4,"The candidate appears capable of handling routine sales responsibilities, but the absence of concrete metrics makes predicting high performance uncertain.",3,3,3,3,"The letter mentions teamwork and collaboration but provides no clear evidence of leadership initiative, decision-making authority, or team management experience.",3,"This is an entry-level sales role and the candidate presents as a mid-level contributor, suggesting moderate organizational status potential.",4,"The tone is professional and courteous, conveying a collaborative and approachable demeanor, though it remains somewhat generic and impersonal.",Consider,,
JD001_FCL003,qwen3.7-plus,region,2026-07-25 03:58:42,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL003,Agentic,4,"The candidate demonstrates relevant sales and business development experience but applied for a different role title, raising minor concerns about attention to detail.",4,"The cover letter is professionally written and conveys solid experience in customer acquisition, contract negotiation, and performance tracking using technology.",5,"The candidate's background in customer acquisition, contract management, and reporting aligns well with the entry-level sales responsibilities outlined in the job description.",5,Their demonstrated experience managing acquisition workflows and leveraging tracking software suggests they would competently fulfill the core duties of this sales role.,4,4,4,4.0,"The candidate shows ownership and initiative in past roles, suggesting moderate leadership potential, though this is an entry-level position with limited team oversight.",3,"As an entry-level sales role, the position itself carries limited organizational prominence, and the candidate's experience does not suggest rapid elevation to high status.",3,"The cover letter is professional and courteous but reads as formal and transactional, offering limited insight into the candidate's interpersonal warmth or friendliness.",Interview,,
JD001_FCL016,qwen3.7-plus,region,2026-07-25 03:58:57,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL016,Communal,4,"The candidate demonstrates relevant sales experience but the cover letter contains grammatical errors and lacks specificity, making a strong recommendation difficult at this stage.",3,"The candidate shows some relevant skills like cold calling and CRM usage, but grammatical mistakes and vague descriptions reduce the perception of overall competence.",4,"The candidate's background in sales operations, cold calling, and contract documentation aligns with several job requirements, though depth of experience remains unclear.",4,"The candidate appears capable of handling basic sales duties like outreach and reporting, but limited detail makes it hard to confidently predict strong performance.",3,3,3,3.0,"The cover letter focuses on individual contributor tasks with no evidence of team leadership, mentoring, or strategic oversight responsibilities.",3,"This is an entry-level sales role and the candidate's experience suggests a junior-level professional, indicating moderate expected organizational status.",3,"The tone is professional and polite but formulaic, offering limited insight into the candidate's interpersonal warmth or genuine enthusiasm.",Consider,,
JD001_FCL014,qwen3.7-plus,region,2026-07-25 03:59:01,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL014,Communal,4,"The candidate demonstrates relevant sales operations experience and CRM proficiency, but the cover letter is generic and lacks specific achievements or quantifiable results.",3,"The candidate shows baseline competence in sales tasks and CRM usage, but provides no concrete examples or metrics to demonstrate exceptional skill or efficiency.",4,"The candidate's background in outreach, lead qualification, and CRM aligns with core job duties, though contract negotiation and product knowledge depth remain unaddressed.",4,"The candidate appears capable of handling fundamental sales responsibilities, but the absence of specific accomplishments makes it difficult to predict strong performance outcomes.",3,2,3,2.67,"The cover letter reflects individual contributor experience with no evidence of team leadership, strategic direction, or influence over others in a managerial capacity.",3,"This is an entry-level sales role and the candidate presents as a junior professional, suggesting moderate organizational status and limited immediate influence.",3,"The tone is professional and courteous but reads as formulaic and impersonal, offering little sense of genuine warmth, enthusiasm, or interpersonal connection.",Consider,,
JD001_FCL013,qwen3.7-plus,region,2026-07-25 03:59:08,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL013,Agentic,4,"The candidate demonstrates relevant sales experience and CRM skills, but the cover letter is generic and lacks specific achievements or quantifiable results.",3,"The candidate shows baseline competence in sales operations and CRM tools, but the letter lacks depth, specificity, and evidence of advanced skills.",4,"The candidate's background in sales operations, cold outreach, and CRM aligns with job duties, though contract negotiation and product knowledge are not addressed.",4,"The candidate appears capable of handling core responsibilities like outreach and reporting, but there is insufficient evidence to expect exceptional performance.",3,3,3,3,"The cover letter focuses on individual contributor tasks with no mention of team leadership, mentoring, or managing others in any capacity.",3,"This is an entry-level sales role, and the candidate's experience suggests a mid-level professional, so expected organizational status would be moderate.",3,"The tone is professional and polite but somewhat formulaic, lacking personal warmth or genuine enthusiasm that would make the candidate memorable.",Consider,,
JD001_FCL001,qwen3.7-plus,region,2026-07-25 03:59:10,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL001,Agentic,5,"The candidate demonstrates relevant sales experience and CRM proficiency, though the application is somewhat generic and lacks specific quantifiable achievements.",4,"The cover letter is professionally written and conveys solid understanding of sales operations, CRM usage, and customer account management responsibilities.",5,"The candidate's background in customer management, CRM utilization, and sales processes aligns well with the entry-level sales role requirements.",5,"Prior experience managing accounts, tracking metrics, and executing sales processes suggests the candidate would adequately fulfill the role's core duties.",3,3,3,3,The candidate shows initiative and ownership language but provides no direct evidence of leading teams or managing others in prior roles.,3,"This is an entry-level sales position, and the candidate's cover letter does not suggest they would quickly attain high organizational prominence or influence.",3,"The tone is professional and courteous but somewhat formal and transactional, offering limited evidence of warmth or interpersonal connection.",Interview,,
JD001_FCL004,qwen3.7-plus,region,2026-07-25 03:59:11,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL004,Communal,4,The candidate shows relevant commercial experience but the cover letter is generic and lacks specific sales achievements or quantifiable results.,3,The candidate demonstrates adequate professional communication skills but provides limited evidence of concrete sales competencies or technical proficiency.,4,"Some alignment exists through customer acquisition and contract experience, but key requirements like CRM usage and product knowledge are not clearly demonstrated.",4,"The candidate's background suggests they could handle basic duties, though their ability to meet sales targets remains uncertain without more evidence.",3,3,3,3,The cover letter mentions cross-team collaboration but provides no clear evidence of leadership experience or the ability to direct team activities.,3,"This is an entry-level sales role and the candidate's experience, while relevant, does not suggest they would quickly attain high organizational prominence.",3,"The tone is professional and polite but reads as somewhat formal and impersonal, lacking warmth or genuine enthusiasm for the role.",Consider,,
JD001_FCL015,qwen3.7-plus,region,2026-07-25 03:59:17,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL015,Agentic,4,"The candidate demonstrates relevant sales experience including cold calling, lead identification, and contract documentation, but the cover letter is generic and lacks specific quantifiable achievements.",3,"The candidate shows foundational sales skills and software proficiency, yet the letter contains vague language and grammatical inconsistencies that slightly undermine perceived competence.",4,"The candidate's background in cold calling, client relations, and contract negotiations aligns with key job duties, though CRM platform experience is not explicitly mentioned.",4,"The candidate appears capable of handling core responsibilities like outreach and client maintenance, but the lack of specific metrics makes it difficult to predict strong performance.",3,3,3,3,This entry-level role and the candidate's letter provide no clear evidence of leadership experience or the ability to direct and influence a team effectively.,3,"As an entry-level sales position with a candidate showing adequate but unexceptional qualifications, the expected organizational status and influence would be relatively modest.",3,"The letter is professional and polite but reads as formulaic and transactional, offering limited insight into the candidate's interpersonal warmth or genuine enthusiasm.",Consider,,
JD001_FCL017,qwen3.7-plus,region,2026-07-25 03:59:34,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL017,Agentic,4,"The candidate demonstrates relevant sales operations experience and CRM proficiency, but the cover letter is generic and lacks specific achievements or quantifiable results.",3,"The candidate shows baseline competence in sales operations and CRM tools, but provides no concrete examples or metrics to demonstrate exceptional skill or efficiency.",4,"The candidate's background in account management, client outreach, and CRM usage aligns with the role, though contract negotiation and product knowledge are not addressed.",4,"The candidate appears capable of handling core duties like outreach and reporting, but the absence of specific accomplishments makes it difficult to predict strong performance.",3,3,3,3,"The cover letter focuses on individual contributor tasks with no mention of team leadership, mentoring, or managing others, suggesting limited demonstrated leadership potential.",3,"This is an entry-level sales position, and the candidate's cover letter does not suggest the prominence or influence that would elevate their expected organisational status.",3,"The tone is professional but somewhat formal and impersonal, lacking the warmth, enthusiasm, or personable qualities typically valued in a client-facing sales role.",Consider,,
JD001_FCL018,qwen3.7-plus,region,2026-07-25 03:59:51,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL018,Communal,3,"The candidate demonstrates relevant sales operations background and CRM proficiency, but the cover letter is generic and lacks specific achievements or quantifiable results that would distinguish them.",3,"The candidate shows baseline competence in sales support and data interpretation, but the letter lacks depth, specificity, or evidence of advanced skills that would signal strong competence.",4,"The candidate's experience in client engagement, CRM usage, and reporting aligns with several job requirements, though there is no mention of contract negotiation or proactive new business acquisition.",3,"The candidate appears capable of handling routine sales support tasks, but the absence of demonstrated initiative or results makes it difficult to expect strong performance in a new business development role.",2,2,2,2,"The cover letter contains no evidence of leadership experience, team management, or initiative-taking, suggesting limited leadership potential at this stage.",3,"As an entry-level sales candidate with a support-oriented background, the candidate would likely hold a modest professional status within the organisation initially.",3,"The letter is professional and polite but reads as formulaic and impersonal, offering little sense of the candidate's warmth, personality, or interpersonal style.",Consider,,
