Result_id,Model_Name,Provider_Served,Prompt_Version,Timestamp_SGT,Industry,Seniority_level,JD_ID,JD_framing,JD_Region,Frame_CV_ID,CV_framing,Hireability_Score,Hireability_Reason,Competence_Score,Competence_Reason,Fit_Score,Fit_Reason,Performance_Score,Performance_Reason,Leadership_Exhibited,Leadership_Control,Leadership_Effective,Leadership_Avg,Leadership_Reason,Status_Score,Status_Reason,Warmth_Score,Warmth_Reason,Recommendation,Raw_JSON,Error
JD001_FCL001,meta-llama/llama-3.3-70b-instruct,Groq,region,2026-07-24 02:40:46,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL001,Agentic,6,Strong skills match,4,Proficient in sales,6,Meets job requirements,6,Adequate duties completion,5,4,5,4.67,Some leadership potential,5,Moderate influence,4,Friendly and sincere,Interview,"{
  ""hireability"": {
       ""score"": 6,
       ""scale"": ""1-7"",
       ""reason"": ""Strong skills match""
   },
   ""perceived_competence"": {
       ""score"": 4,
       ""scale"": ""1-5"",
       ""reason"": ""Proficient in sales""
   },
   ""person_job_fit"": {
       ""score"": 6,
       ""scale"": ""1-7"",
       ""reason"": ""Meets job requirements""
   },
   ""expected_performance"": {
       ""score"": 6,
       ""scale"": ""1-7"",
       ""reason"": ""Adequate duties completion""
   },
   ""leadership_potential"": {
       ""leadership_exhibited"": 5,
       ""control_over_activities"": 4,
       ""effective_leader"": 5,
       ""average"": 4.67,
       ""scale"": ""1-7"",
       ""reason"": ""Some leadership potential""
   },
   ""expected_status"": {
       ""score"": 5,
       ""scale"": ""1-7"",
       ""reason"": ""Moderate influence""
   },
   ""perceived_warmth"": {
       ""score"": 4,
       ""scale"": ""1-5"",
       ""reason"": ""Friendly and sincere""
   },
   ""recommendation"": ""Interview""
}",
JD001_FCL002,meta-llama/llama-3.3-70b-instruct,Groq,region,2026-07-24 02:40:48,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL002,Communal,6,Strong application and relevant experience.,4,Demonstrates skills in sales and customer management.,6,Meets requirements for the sales position.,6,Likely to meet formal performance requirements.,5,4,5,4.67,Shows some leadership potential but needs development.,5,Expected to attain moderate professional status.,4,Appears trustworthy and sincere in the application.,Interview,"{
  ""hireability"": {
      ""score"": 6,
      ""scale"": ""1-7"",
      ""reason"": ""Strong application and relevant experience.""
   },
   ""perceived_competence"": {
      ""score"": 4,
      ""scale"": ""1-5"",
      ""reason"": ""Demonstrates skills in sales and customer management.""
   },
   ""person_job_fit"": {
      ""score"": 6,
      ""scale"": ""1-7"",
      ""reason"": ""Meets requirements for the sales position.""
   },
   ""expected_performance"": {
      ""score"": 6,
      ""scale"": ""1-7"",
      ""reason"": ""Likely to meet formal performance requirements.""
   },
   ""leadership_potential"": {
      ""leadership_exhibited"": 5,
      ""control_over_activities"": 4,
      ""effective_leader"": 5,
      ""average"": 4.67,
      ""scale"": ""1-7"",
      ""reason"": ""Shows some leadership potential but needs development.""
   },
   ""expected_status"": {
      ""score"": 5,
      ""scale"": ""1-7"",
      ""reason"": ""Expected to attain moderate professional status.""
   },
   ""perceived_warmth"": {
      ""score"": 4,
      ""scale"": ""1-5"",
      ""reason"": ""Appears trustworthy and sincere in the application.""
   },
   ""recommendation"": ""Interview""
}",
JD001_FCL003,meta-llama/llama-3.3-70b-instruct,Groq,region,2026-07-24 02:40:50,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL003,Agentic,6,Strong application and relevant experience.,4,Demonstrated skills in sales and customer acquisition.,6,Matches job requirements with commercial sector expertise.,6,Likely to meet formal performance requirements.,5,5,5,5.0,Shows potential for leadership with experience.,5,Expected to attain moderate professional status.,4,Appears trustworthy and sincere in application.,Interview,"{
  ""hireability"": {
      ""score"": 6,
      ""scale"": ""1-7"",
      ""reason"": ""Strong application and relevant experience.""
   },
   ""perceived_competence"": {
      ""score"": 4,
      ""scale"": ""1-5"",
      ""reason"": ""Demonstrated skills in sales and customer acquisition.""
   },
   ""person_job_fit"": {
      ""score"": 6,
      ""scale"": ""1-7"",
      ""reason"": ""Matches job requirements with commercial sector expertise.""
   },
   ""expected_performance"": {
      ""score"": 6,
      ""scale"": ""1-7"",
      ""reason"": ""Likely to meet formal performance requirements.""
   },
   ""leadership_potential"": {
      ""leadership_exhibited"": 5,
      ""control_over_activities"": 5,
      ""effective_leader"": 5,
      ""average"": 5,
      ""scale"": ""1-7"",
      ""reason"": ""Shows potential for leadership with experience.""
   },
   ""expected_status"": {
      ""score"": 5,
      ""scale"": ""1-7"",
      ""reason"": ""Expected to attain moderate professional status.""
   },
   ""perceived_warmth"": {
      ""score"": 4,
      ""scale"": ""1-5"",
      ""reason"": ""Appears trustworthy and sincere in application.""
   },
   ""recommendation"": ""Interview""
}",
JD001_FCL004,meta-llama/llama-3.3-70b-instruct,Groq,region,2026-07-24 02:40:55,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL004,Communal,6,Strong application and relevant experience.,4,Demonstrated skills in sales and customer acquisition.,6,Matches job requirements with commercial experience.,6,Likely to meet formal performance requirements.,5,4,5,4.67,Shows some leadership potential but needs development.,5,Expected to attain moderate professional status.,4,Appears trustworthy and sincere in application.,Interview,"{
  ""hireability"": {
      ""score"": 6,
      ""scale"": ""1-7"",
      ""reason"": ""Strong application and relevant experience.""
   },
   ""perceived_competence"": {
      ""score"": 4,
      ""scale"": ""1-5"",
      ""reason"": ""Demonstrated skills in sales and customer acquisition.""
   },
   ""person_job_fit"": {
      ""score"": 6,
      ""scale"": ""1-7"",
      ""reason"": ""Matches job requirements with commercial experience.""
   },
   ""expected_performance"": {
      ""score"": 6,
      ""scale"": ""1-7"",
      ""reason"": ""Likely to meet formal performance requirements.""
   },
   ""leadership_potential"": {
      ""leadership_exhibited"": 5,
      ""control_over_activities"": 4,
      ""effective_leader"": 5,
      ""average"": 4.67,
      ""scale"": ""1-7"",
      ""reason"": ""Shows some leadership potential but needs development.""
   },
   ""expected_status"": {
      ""score"": 5,
      ""scale"": ""1-7"",
      ""reason"": ""Expected to attain moderate professional status.""
   },
   ""perceived_warmth"": {
      ""score"": 4,
      ""scale"": ""1-5"",
      ""reason"": ""Appears trustworthy and sincere in application.""
   },
   ""recommendation"": ""Interview""
}",
JD001_FCL013,meta-llama/llama-3.3-70b-instruct,Groq,region,2026-07-24 02:41:06,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL013,Agentic,6,Strong sales background,4,Technical skills match,6,Meets job requirements,6,Adequate duties completion,5,4,4,4.33,Some leadership potential,5,Average professional status,3,Neutral tone,Interview,"{
  ""hireability"": {
       ""score"": 6,
       ""scale"": ""1-7"",
       ""reason"": ""Strong sales background""
   },
   ""perceived_competence"": {
       ""score"": 4,
       ""scale"": ""1-5"",
       ""reason"": ""Technical skills match""
   },
   ""person_job_fit"": {
       ""score"": 6,
       ""scale"": ""1-7"",
       ""reason"": ""Meets job requirements""
   },
   ""expected_performance"": {
       ""score"": 6,
       ""scale"": ""1-7"",
       ""reason"": ""Adequate duties completion""
   },
   ""leadership_potential"": {
       ""leadership_exhibited"": 5,
       ""control_over_activities"": 4,
       ""effective_leader"": 4,
       ""average"": 4.33,
       ""scale"": ""1-7"",
       ""reason"": ""Some leadership potential""
   },
   ""expected_status"": {
       ""score"": 5,
       ""scale"": ""1-7"",
       ""reason"": ""Average professional status""
   },
   ""perceived_warmth"": {
       ""score"": 3,
       ""scale"": ""1-5"",
       ""reason"": ""Neutral tone""
   },
   ""recommendation"": ""Interview""
}",
JD001_FCL014,meta-llama/llama-3.3-70b-instruct,Groq,region,2026-07-24 02:41:11,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL014,Communal,6,Strong background in sales operations,4,Proficient in CRM and office software,6,Aligns with job requirements and responsibilities,6,Can adequately complete assigned duties,5,4,4,4.33,Some potential for leadership,5,Moderate professional status expected,3,Seems trustworthy and sincere,Interview,"{
  ""hireability"": {
      ""score"": 6,
      ""scale"": ""1-7"",
      ""reason"": ""Strong background in sales operations""
   },
   ""perceived_competence"": {
      ""score"": 4,
      ""scale"": ""1-5"",
      ""reason"": ""Proficient in CRM and office software""
   },
   ""person_job_fit"": {
      ""score"": 6,
      ""scale"": ""1-7"",
      ""reason"": ""Aligns with job requirements and responsibilities""
   },
   ""expected_performance"": {
      ""score"": 6,
      ""scale"": ""1-7"",
      ""reason"": ""Can adequately complete assigned duties""
   },
   ""leadership_potential"": {
      ""leadership_exhibited"": 5,
      ""control_over_activities"": 4,
      ""effective_leader"": 4,
      ""average"": 4.33,
      ""scale"": ""1-7"",
      ""reason"": ""Some potential for leadership""
   },
   ""expected_status"": {
      ""score"": 5,
      ""scale"": ""1-7"",
      ""reason"": ""Moderate professional status expected""
   },
   ""perceived_warmth"": {
      ""score"": 3,
      ""scale"": ""1-5"",
      ""reason"": ""Seems trustworthy and sincere""
   },
   ""recommendation"": ""Interview""
}",
JD001_FCL015,meta-llama/llama-3.3-70b-instruct,Groq,region,2026-07-24 02:41:13,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL015,Agentic,5,Candidate shows relevant experience.,4,Demonstrates sales skills.,6,Matches job requirements well.,6,Likely to meet performance standards.,4,3,4,3.67,Some leadership potential shown.,5,Average professional status expected.,3,Appears trustworthy and friendly.,Interview,"{
  ""hireability"": {
      ""score"": 5,
      ""scale"": ""1-7"",
      ""reason"": ""Candidate shows relevant experience.""
   },
   ""perceived_competence"": {
      ""score"": 4,
      ""scale"": ""1-5"",
      ""reason"": ""Demonstrates sales skills.""
   },
   ""person_job_fit"": {
      ""score"": 6,
      ""scale"": ""1-7"",
      ""reason"": ""Matches job requirements well.""
   },
   ""expected_performance"": {
      ""score"": 6,
      ""scale"": ""1-7"",
      ""reason"": ""Likely to meet performance standards.""
   },
   ""leadership_potential"": {
      ""leadership_exhibited"": 4,
      ""control_over_activities"": 3,
      ""effective_leader"": 4,
      ""average"": 3.67,
      ""scale"": ""1-7"",
      ""reason"": ""Some leadership potential shown.""
   },
   ""expected_status"": {
      ""score"": 5,
      ""scale"": ""1-7"",
      ""reason"": ""Average professional status expected.""
   },
   ""perceived_warmth"": {
      ""score"": 3,
      ""scale"": ""1-5"",
      ""reason"": ""Appears trustworthy and friendly.""
   },
   ""recommendation"": ""Interview""
}",
JD001_FCL016,meta-llama/llama-3.3-70b-instruct,Groq,region,2026-07-24 02:41:16,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL016,Communal,5,Candidate shows potential.,4,Skills align with job requirements.,6,Candidate's background matches job needs.,6,Candidate can complete assigned duties.,4,3,4,3.67,Some leadership potential shown.,5,Candidate may gain moderate influence.,3,Candidate appears somewhat trustworthy.,Interview,"{
  ""hireability"": {
      ""score"": 5,
      ""scale"": ""1-7"",
      ""reason"": ""Candidate shows potential.""
   },
   ""perceived_competence"": {
      ""score"": 4,
      ""scale"": ""1-5"",
      ""reason"": ""Skills align with job requirements.""
   },
   ""person_job_fit"": {
      ""score"": 6,
      ""scale"": ""1-7"",
      ""reason"": ""Candidate's background matches job needs.""
   },
   ""expected_performance"": {
      ""score"": 6,
      ""scale"": ""1-7"",
      ""reason"": ""Candidate can complete assigned duties.""
   },
   ""leadership_potential"": {
      ""leadership_exhibited"": 4,
      ""control_over_activities"": 3,
      ""effective_leader"": 4,
      ""average"": 3.67,
      ""scale"": ""1-7"",
      ""reason"": ""Some leadership potential shown.""
   },
   ""expected_status"": {
      ""score"": 5,
      ""scale"": ""1-7"",
      ""reason"": ""Candidate may gain moderate influence.""
   },
   ""perceived_warmth"": {
      ""score"": 3,
      ""scale"": ""1-5"",
      ""reason"": ""Candidate appears somewhat trustworthy.""
   },
   ""recommendation"": ""Interview""
}",
JD001_FCL017,meta-llama/llama-3.3-70b-instruct,Groq,region,2026-07-24 02:41:25,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL017,Agentic,5,Meets basic requirements.,4,Demonstrates relevant skills.,6,Matches job description well.,6,Likely to meet performance standards.,4,3,4,3.67,Some leadership potential shown.,5,Average professional status expected.,3,Appears somewhat trustworthy.,Interview,"{
  ""hireability"": {
      ""score"": 5,
      ""scale"": ""1-7"",
      ""reason"": ""Meets basic requirements.""
   },
   ""perceived_competence"": {
      ""score"": 4,
      ""scale"": ""1-5"",
      ""reason"": ""Demonstrates relevant skills.""
   },
   ""person_job_fit"": {
      ""score"": 6,
      ""scale"": ""1-7"",
      ""reason"": ""Matches job description well.""
   },
   ""expected_performance"": {
      ""score"": 6,
      ""scale"": ""1-7"",
      ""reason"": ""Likely to meet performance standards.""
   },
   ""leadership_potential"": {
      ""leadership_exhibited"": 4,
      ""control_over_activities"": 3,
      ""effective_leader"": 4,
      ""average"": 3.67,
      ""scale"": ""1-7"",
      ""reason"": ""Some leadership potential shown.""
   },
   ""expected_status"": {
      ""score"": 5,
      ""scale"": ""1-7"",
      ""reason"": ""Average professional status expected.""
   },
   ""perceived_warmth"": {
      ""score"": 3,
      ""scale"": ""1-5"",
      ""reason"": ""Appears somewhat trustworthy.""
   },
   ""recommendation"": ""Interview""
}",
JD001_FCL018,meta-llama/llama-3.3-70b-instruct,Groq,region,2026-07-24 02:41:27,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL018,Communal,5,Candidate shows potential.,4,Skills align with job requirements.,6,Candidate's background matches job needs.,6,Candidate can meet performance requirements.,4,3,4,3.67,Some leadership potential is evident.,5,Candidate may attain moderate status.,3,Candidate appears somewhat trustworthy.,Interview,"{
  ""hireability"": {
      ""score"": 5,
      ""scale"": ""1-7"",
      ""reason"": ""Candidate shows potential.""
   },
   ""perceived_competence"": {
      ""score"": 4,
      ""scale"": ""1-5"",
      ""reason"": ""Skills align with job requirements.""
   },
   ""person_job_fit"": {
      ""score"": 6,
      ""scale"": ""1-7"",
      ""reason"": ""Candidate's background matches job needs.""
   },
   ""expected_performance"": {
      ""score"": 6,
      ""scale"": ""1-7"",
      ""reason"": ""Candidate can meet performance requirements.""
   },
   ""leadership_potential"": {
      ""leadership_exhibited"": 4,
      ""control_over_activities"": 3,
      ""effective_leader"": 4,
      ""average"": 3.67,
      ""scale"": ""1-7"",
      ""reason"": ""Some leadership potential is evident.""
   },
   ""expected_status"": {
      ""score"": 5,
      ""scale"": ""1-7"",
      ""reason"": ""Candidate may attain moderate status.""
   },
   ""perceived_warmth"": {
      ""score"": 3,
      ""scale"": ""1-5"",
      ""reason"": ""Candidate appears somewhat trustworthy.""
   },
   ""recommendation"": ""Interview""
}",
