Result_id,Model_Name,Prompt_Version,Timestamp_SGT,Industry,Seniority_level,JD_ID,JD_framing,JD_Region,Frame_CV_ID,CV_framing,Hireability_Score,Hireability_Reason,Competence_Score,Competence_Reason,Fit_Score,Fit_Reason,Performance_Score,Performance_Reason,Leadership_Exhibited,Leadership_Control,Leadership_Effective,Leadership_Avg,Leadership_Reason,Status_Score,Status_Reason,Warmth_Score,Warmth_Reason,Recommendation,Raw_JSON,Error
JD001_FCL001,MiniMax-M3,standard,2026-07-23 20:18:46,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL001,Agentic,3,The cover letter is generic with standard sales language but lacks specific achievements or compelling differentiation for this entry-level position.,3,"Mentions standard sales skills and CRM experience, but provides no concrete examples or metrics to demonstrate true competence.",3,"Some relevant skills mentioned like CRM and customer accounts, but tone suggests a more experienced candidate than this entry-level role requires.",3,"Generic qualifications suggest average performance capability, though concrete evidence of measurable success is lacking in the materials.",3,3,3,3,Cover letter suggests some leadership capability through ownership language but provides no concrete examples of team leadership or initiative.,3,"Average expected status based on modest qualifications, generic presentation, and lack of standout credentials for this role.",3,"Polite and professional tone throughout, but lacks personal warmth, enthusiasm, or a specific connection to the company or role.",Consider,,
JD001_FCL002,MiniMax-M3,standard,2026-07-23 20:19:13,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL002,Communal,3,"The cover letter is generic, references the wrong job title, and offers few specific accomplishments, limiting my confidence in extending an offer.",3,"The candidate references relevant skills like CRM usage and client management, but vague language and grammatical issues reduce the perception of competence.",3,"Some relevant sales-adjacent experience is mentioned, but the letter lacks evidence of new client acquisition, contract negotiation, or detailed product knowledge.",3,"Based on limited specifics, I would expect this candidate to perform at a moderate level, possibly meeting minimum but not exceeding performance requirements.",3,2,3,2.67,"The candidate emphasizes a collaborative approach but provides no concrete examples of leadership, team control, or initiative-leading projects.",3,"For an entry-level sales role, I would expect this candidate to attain modest professional status within the organization without standing out significantly.",4,"The cover letter maintains a professional, courteous, and sincere tone throughout, conveying a friendly and trustworthy demeanor.",Consider,,
JD001_FCL003,MiniMax-M3,standard,2026-07-23 20:19:29,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL003,Agentic,4,"Candidate demonstrates relevant sales-adjacent experience, though the cover letter is generic and lacks specific alignment with listed job requirements.",3,"Shows moderate competence through mentions of contract negotiations, workflow optimization, and performance tracking, but lacks concrete quantified achievements.",4,"Experience with customer acquisition and contract discussions aligns reasonably well, though the candidate applied for a differently titled role and missed key requirements.",4,Their background in acquisition processes and reporting suggests they would adequately meet sales performance expectations in this entry-level position.,3,3,3,3.0,"The cover letter provides minimal evidence of leadership qualities, focusing instead on individual process ownership rather than team leadership.",4,"Given prior commercial sector experience, the candidate could attain moderate professional standing within the sales organization.",3,"The letter is courteous and professionally worded, but maintains a formal distance without strong interpersonal cues of warmth or enthusiasm.",Interview,,
JD001_FCL004,MiniMax-M3,standard,2026-07-23 20:19:42,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL004,Communal,4,"The candidate presents some relevant commercial experience, but the cover letter is generic and targets a differently titled role, limiting overall enthusiasm.",3,"The candidate describes relevant tasks at a moderate level, though claims remain vague without concrete metrics or specific skill demonstrations.",3,"Although sales-related experience is mentioned, the candidate does not explicitly address CRM use, product knowledge, or contract negotiation required here.",3,"Based on vague prior experience, the candidate may meet basic duties but lacks demonstrated evidence of excelling in this specific sales role.",3,2,3,2.67,"The cover letter provides no examples of leading teams or directing colleagues, suggesting limited demonstrated leadership capability for this position.",3,"As an entry-level applicant with limited concrete accomplishments, the candidate would likely attain moderate, rather than prominent, organizational status.",4,"The tone is polite, professional, and cooperative, conveying trustworthiness and a sincere interest in contributing to the organization.",Consider,,
JD001_FCL013,MiniMax-M3,standard,2026-07-23 20:20:06,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL013,Agentic,3,"The cover letter lacks specific accomplishments, quantifiable results, and references a resume not submitted, which was explicitly required.",2,"Claims of mastery and specialization are vague and unsupported by concrete evidence, metrics, or specific professional contexts.",3,"The candidate mentions relevant skills like outreach and CRM use, but lacks specifics on entry-level readiness or concrete sales experience.",3,"Without demonstrated achievements or clear experience details, predicting reliable job performance is difficult.",3,3,3,3,"The cover letter provides no evidence of leadership experience, team coordination, or managerial accomplishments.",3,The candidate's vague professional background offers little indication of the prominence or influence they would attain.,3,"The tone is professional and courteous, though somewhat impersonal and lacking distinctive warmth or enthusiasm.",Consider,,
JD001_FCL014,MiniMax-M3,standard,2026-07-23 20:20:23,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL014,Communal,4,"The candidate demonstrates baseline alignment with the entry-level sales role and possesses some relevant skills, though the cover letter lacks specificity and concrete achievements.",3,The candidate describes skills in generic terms without providing concrete examples or measurable accomplishments that would indicate strong professional competence.,4,"The candidate mentions CRM use, outreach, lead qualification, and sales reporting, which align with several job requirements, though contract negotiation and product expertise are not addressed.",4,"With relevant foundational sales skills mentioned, the candidate would likely meet basic performance expectations, though depth of execution remains uncertain without more detail.",3,3,3,3,"For an entry-level role, the candidate's collaborative references suggest modest leadership potential, but no concrete examples of leading initiatives or influencing teams are provided.",3,"Given the entry-level nature of the role and the candidate's modest presentation, they would likely attain moderate professional status within the organization.",3,"The cover letter maintains a professional and courteous tone, but the templated structure and lack of personal touch convey only moderate warmth.",Consider,,
JD001_FCL015,MiniMax-M3,standard,2026-07-23 20:20:47,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL015,Agentic,3,"The candidate mentions relevant experience like cold calling and CRM use, but the cover letter has grammatical issues and lacks compelling specifics to warrant strong endorsement.",3,"Demonstrates familiarity with sales tasks and software tools, but inconsistent grammar and vague descriptions suggest only baseline competence.",3,"Some matching skills such as outreach, contract documentation, and CRM usage, though writing quality concerns for a communication-focused sales role.",3,"Likely able to complete basic sales duties given mentioned experience, but the lack of measurable achievements limits confidence in higher performance.",2,2,2,2,"Cover letter provides no indication of leadership qualities, team influence, or initiative beyond routine individual tasks.",3,"For an entry-level role, the candidate would likely attain modest professional status consistent with the position's level.",3,"The letter is polite and professionally toned but brief and somewhat impersonal, offering limited insight into interpersonal qualities.",Consider,,
JD001_FCL016,MiniMax-M3,standard,2026-07-23 20:21:10,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL016,Communal,3,"The candidate shows some relevant sales-related experience, but the cover letter contains grammatical errors and lacks specificity, making me hesitant to recommend hiring.",3,"The candidate mentions relevant skills like cold calling and lead identification, but grammatical mistakes and vague descriptions suggest moderate rather than strong competence.",3,"There is partial alignment with sales responsibilities such as client outreach and contract documentation, but no mention of CRM proficiency or product knowledge required.",3,"The candidate's described background suggests they could perform basic sales duties, but the lack of concrete achievements leaves performance expectations uncertain.",2,2,2,2,"For an entry-level sales role, no leadership signals were evident; the candidate described supporting rather than leading initiatives.",2,"As an entry-level applicant with limited demonstrated accomplishments, the candidate is unlikely to attain significant professional status early in this role.",3,"The cover letter is professionally polite and expresses availability for interviews, but lacks personal warmth or genuine enthusiasm.",Consider,,
JD001_FCL017,MiniMax-M3,standard,2026-07-23 20:21:26,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL017,Agentic,3,"The cover letter is generic and template-like, lacking specific achievements or metrics that would build confidence in extending an offer at this screening stage.",2,"Vague descriptions of skills and experience, with no concrete examples or quantifiable results to demonstrate genuine competence in a sales role.",3,"Some alignment with CRM use, reporting, and client outreach, but lacks evidence of contract negotiation skills and product/pricing knowledge required.",3,Limited concrete evidence suggests this candidate would likely meet only basic performance expectations rather than exceed them in this role.,3,3,3,3,The cover letter provides no indication of leadership experience or potential beyond stating general sales operations involvement at an entry level.,3,"As an entry-level candidate with generic presentation, this applicant would likely attain only modest professional status within the organization initially.",3,"The letter is professionally courteous but reads as a template, conveying neither particular warmth nor coldness in the application.",Consider,,
JD001_FCL018,MiniMax-M3,standard,2026-07-23 20:21:47,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL018,Communal,3,"The candidate's cover letter is generic and lacks specific achievements or metrics, though some relevant technical skills like CRM use are mentioned.",3,"Mentions familiarity with CRM and office software, but provides no concrete examples, measurable results, or evidence of deeper sales expertise.",3,"Some technical skills align with requirements, but core sales competencies like negotiation, value communication, and new client acquisition are not demonstrated.",3,"Limited evidence suggests the candidate could handle basic duties, though strong sales performance in prospecting and closing is not clearly established.",3,3,3,3.0,"The cover letter does not highlight any leadership experiences, team contributions, or qualities that would indicate leadership potential for this role.",3,"As an entry-level candidate with no strong differentiators, the applicant appears likely to remain at a modest professional level within the organization.",3,"The tone is professional and polite, but awkward phrasing throughout the letter reduces the overall sense of warmth and personal engagement.",Consider,,
