Result_id,Model_Name,Prompt_Version,Timestamp_SGT,Industry,Seniority_level,JD_ID,JD_framing,JD_Region,Frame_CV_ID,CV_framing,Hireability_Score,Hireability_Reason,Competence_Score,Competence_Reason,Fit_Score,Fit_Reason,Performance_Score,Performance_Reason,Leadership_Exhibited,Leadership_Control,Leadership_Effective,Leadership_Avg,Leadership_Reason,Status_Score,Status_Reason,Warmth_Score,Warmth_Reason,Recommendation,Raw_JSON,Error
JD001_FCL001,gpt-4.1-mini,standard,2026-07-23 04:44:08,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL001,Agentic,5,"The candidate demonstrates relevant experience with CRM use, customer account management, and sales processes, indicating potential to perform well in the role.",4,"The cover letter reflects a competent understanding of sales operations, CRM utilization, and communication skills necessary for the position.",5,"The candidate’s experience aligns well with the job duties such as managing accounts, using CRM software, and communicating product value, suggesting a good fit.",5,The candidate appears capable of meeting the job’s performance requirements based on their prior experience with sales quotas and customer management.,3,3,3,3,"The cover letter does not emphasize leadership roles or team management, indicating limited evidence of leadership potential at this stage.",3,"As an entry-level candidate with relevant experience but no clear leadership or high-profile achievements, the expected status is moderate.",4,"The tone of the letter is professional and polite, conveying sincerity and a proactive attitude toward contributing to the company.",Interview,,
JD001_FCL002,gpt-4.1-mini,standard,2026-07-23 04:44:16,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL002,Communal,5,"The candidate demonstrates relevant experience with CRM use, client account development, and communication skills, making them a reasonably strong fit for an entry-level sales role.",4,"The cover letter reflects a competent understanding of sales processes, CRM usage, and client communication, indicating solid foundational skills.",5,"The candidate’s experience with client account development, CRM software, and collaborative communication aligns well with the job responsibilities and requirements.",5,"The candidate appears capable of fulfilling the core duties such as client outreach, maintaining accounts, and preparing reports, suggesting adequate job performance.",3,3,3,3,"The cover letter does not emphasize leadership roles or responsibilities, indicating limited evidence of leadership potential at this stage.",3,"As an entry-level candidate, the expected professional status is moderate, with potential to grow but currently limited prominence or influence.",4,"The tone is polite, collaborative, and sincere, suggesting the candidate is warm and trustworthy.",Interview,,
JD001_FCL003,gpt-4.1-mini,standard,2026-07-23 04:44:23,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL003,Agentic,5,"The candidate demonstrates relevant experience in customer acquisition, contract negotiation, and reporting, aligning well with the job requirements, though the cover letter lacks specific mention of CRM or company software.",4,"The candidate appears skilled and knowledgeable in business development and sales processes, showing an ability to manage contracts and use performance tracking tools effectively.",5,"The candidate’s experience with customer acquisition, contract negotiation, and reporting suggests a good fit for the entry-level sales role, though some specific requirements like CRM platform use are only implied.",5,"The candidate is likely to meet job duties based on demonstrated experience in managing sales processes and communication, but the lack of explicit mention of all required tools tempers confidence slightly.",4,3,3,3.33,The candidate shows some initiative and ownership in contract processes but does not strongly emphasize leadership or team control in the cover letter.,3,"As an entry-level candidate, the expected professional status is moderate, with potential to grow but currently limited prominence or influence indicated.",3,"The tone is professional and polite but somewhat formal and reserved, providing a neutral impression of warmth and sincerity.",Interview,,
JD001_FCL004,gpt-4.1-mini,standard,2026-07-23 04:44:28,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL004,Communal,5,"The candidate demonstrates relevant experience in business development and customer acquisition, indicating potential value for the entry-level sales role.",4,"The cover letter reflects a competent understanding of sales processes, contract discussions, and use of performance tracking tools.",5,"The candidate’s experience with customer acquisition, contract alignment, and communication aligns well with the job’s responsibilities and requirements.",5,"The candidate appears capable of fulfilling the duties such as client outreach, communication, and maintaining accounts based on their described background.",3,3,3,3,"The letter does not strongly emphasize leadership roles or team control, but the candidate shows some experience coordinating workflows and aligning teams.",3,"As an entry-level candidate, the expected professional status is moderate, with potential to grow but no clear indication of high influence yet.",4,"The tone is professional and polite, showing sincerity and a collaborative attitude toward teamwork and communication.",Interview,,
JD001_FCL013,gpt-4.1-mini,standard,2026-07-23 04:44:35,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL013,Agentic,5,"The candidate demonstrates relevant sales experience and technical skills, making them a reasonably good fit for an entry-level sales role.",4,"The candidate shows competence in CRM use, sales operations, and reporting, indicating solid foundational skills for the position.",5,"The candidate’s experience with client outreach, CRM, and sales reporting aligns well with the job responsibilities and requirements.",5,"The candidate appears capable of performing the core duties such as client acquisition, communication, and reporting effectively.",3,3,3,3,"The cover letter does not provide clear evidence of leadership experience or potential, but the candidate may develop these skills over time.",3,"As an entry-level candidate, the expected professional status is moderate with potential to grow within the company.",4,"The tone of the letter is polite and professional, suggesting the candidate is approachable and sincere.",Interview,,
JD001_FCL014,gpt-4.1-mini,standard,2026-07-23 04:44:42,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL014,Communal,5,"The candidate demonstrates relevant sales experience and technical skills, making them a reasonably good fit for an entry-level sales role.",4,"The candidate shows familiarity with CRM software, outreach, and reporting, indicating solid competence for the position.",5,"The candidate’s experience with sales operations, client interaction, and reporting aligns well with the job responsibilities.",5,"The candidate appears capable of performing the required duties such as outreach, client maintenance, and reporting effectively.",3,3,3,3,"The cover letter does not provide clear evidence of leadership experience or potential, but the candidate may develop these skills over time.",3,"As an entry-level candidate, the expected professional status is moderate with potential to grow within the company.",4,"The tone of the cover letter is polite, professional, and open to communication, suggesting a warm and sincere demeanor.",Interview,,
JD001_FCL015,gpt-4.1-mini,standard,2026-07-23 04:44:47,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL015,Agentic,5,"The candidate demonstrates relevant sales experience and familiarity with key responsibilities, making them a reasonably strong fit for an entry-level sales role.",4,"The cover letter reflects competence in sales operations, client relations, and use of software tools, indicating solid skills and intelligence.",5,"The candidate’s experience with cold calling, lead identification, contract negotiation, and software use aligns well with the job requirements.",5,"Based on the described experience and skills, the candidate is likely to meet the job’s performance expectations adequately.",3,3,3,3,"The cover letter does not provide clear evidence of leadership experience or potential, suggesting average leadership capability at best.",3,"As an entry-level candidate, the expected professional status is moderate, with potential to grow but currently limited.",3,"The tone is professional and polite but somewhat formal and reserved, indicating moderate warmth and sincerity.",Interview,,
JD001_FCL016,gpt-4.1-mini,standard,2026-07-23 04:44:53,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL016,Communal,5,"The candidate demonstrates relevant sales experience and familiarity with key responsibilities, making them a reasonably strong contender for the role.",4,"The candidate shows competence in sales operations, client relations, and software use, indicating solid skills and efficiency.",5,"The candidate’s experience with cold calling, lead identification, contract documentation, and office software aligns well with the job requirements.",5,"The candidate appears capable of performing the core duties such as client outreach, reporting, and CRM use effectively.",3,2,2,2.33,"The cover letter does not provide evidence of leadership experience or potential, suggesting limited leadership qualities at this stage.",3,"As an entry-level candidate, the expected professional status is modest but could grow with experience.",3,"The tone is polite and professional but somewhat generic, providing limited insight into warmth or personal connection.",Interview,,
JD001_FCL017,gpt-4.1-mini,standard,2026-07-23 04:44:58,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL017,Agentic,5,"The candidate demonstrates relevant sales experience and familiarity with CRM and office software, making them a reasonably strong fit for an entry-level sales role.",4,"The candidate shows competence in sales operations, CRM usage, and data interpretation, indicating solid skills and efficiency for the position.",5,"The candidate’s experience with client outreach, account management, and reporting aligns well with the job responsibilities and requirements.",5,"Based on the cover letter, the candidate appears capable of completing assigned duties and meeting performance expectations for an entry-level sales role.",3,3,3,3,"The cover letter does not provide clear evidence of leadership experience or potential, but the candidate may develop these skills over time.",3,"As an entry-level candidate, the expected professional status is moderate with potential to grow within the company.",4,"The tone of the letter is polite, professional, and sincere, suggesting the candidate is warm and trustworthy.",Interview,,
JD001_FCL018,gpt-4.1-mini,standard,2026-07-23 04:45:04,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL018,Communal,5,"The candidate demonstrates relevant sales operations experience and technical skills aligned with the job requirements, making them a reasonably strong candidate for consideration.",4,"The candidate shows competence in CRM software, office productivity tools, and data interpretation, indicating solid skills and efficiency for an entry-level sales role.",5,"The candidate’s experience with client engagement, record maintenance, and outreach aligns well with the job duties, suggesting a good fit for the position.",5,"Based on the candidate’s described skills and experience, they are likely to adequately perform the assigned duties and meet the job’s formal requirements.",3,2,2,2.33,"The cover letter does not provide evidence of leadership experience or potential, indicating limited leadership qualities at this stage.",3,"As an entry-level candidate with relevant but limited experience, the candidate is expected to attain a modest level of professional status within the organization.",4,"The tone of the letter is polite and professional, suggesting the candidate is friendly and sincere, though not highly expressive of warmth.",Interview,,
