Phrase_ID,Source_Record_ID,Source,Company,Country,Industry,Job_Function,Position,Seniority,Phrase,Word_Count
P_008514,JDRAW_02503,South_Africa_Director_dataFile,Resideo,South Africa,Procurement / Sourcing / Supply Chain,Unknown,Access Control & Fire Category Manager,Director,- Ability to build large number of relationships with diverse groups.,10
P_009614,JDRAW_04881,2021_10_08_23_43_Sales_dataFile,TikTok,"Moscow, Moscow City, Russia",Project Management / Programme Management,Project Management and Information Technology,Project Manager,Mid-Senior level,"Glean insights from data, and use that data to make client recommendations and inform future proposa",16
P_012190,JDRAW_05432,2021_10_09_06_09_Sales_dataFile,Chosen Foods,"San Diego, CA",Sales / Business Development,Sales and Business Development,Sales Analyst Intern,Internship,"At Chosen Foods we believe in the power of real food to nourish ourselves, our families and our communities.",19
P_007975,JDRAW_02199,Norway_Entry_dataFile,Quorum Software,Norway,Procurement / Sourcing / Supply Chain,Unknown,Contracts Administrator,Entry,"Our vision for the future connects the global energy ecosystem through cloud-first software, data standards, and integration.",16
P_008158,JDRAW_02311,Philippines_Mid-Senior_dataFile,Carousell Group,Philippines,Procurement / Sourcing / Supply Chain,Unknown,Category Manager (Autos),Mid-Senior,"Together as an Organisation, we make magic happen.",8
P_018137,JDRAW_06491,2021_10_09_22_38_Sales_dataFile,White Sand Group,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Purchasing and Supply Chain,Procurement Director,Director,The Role NOTE: Requirement that candidate speaks/writes/reads Mandarin to liaise with required stakeholders This is a full time position in Cambodia All travel expenses and visa costs/vaccination and others will be covered by the company.,33
P_009613,JDRAW_04881,2021_10_08_23_43_Sales_dataFile,TikTok,"Moscow, Moscow City, Russia",Project Management / Programme Management,Project Management and Information Technology,Project Manager,Mid-Senior level,"Knowledge of digital third-party servers, measurement, content and media verification partners",10
P_001685,JDRAW_00177,2021_10_09_12_15_Sales_dataFile,Summit Search Consultants,"Bellingham, WA",Sales / Business Development,Sales,Associate Sales Representative,Associate,This phenomenal opportunity gives you exposure to multiple divisions of this F500 company.,13
P_017674,JDRAW_06437,2021_10_09_22_38_Sales_dataFile,Unknown,"Singapore, Singapore",Sales / Business Development,Management and Manufacturing,Catering Sales Director,Director,"Competent with Microsoft Office Suite, Salesforce.com and ComScore.",7
P_006705,JDRAW_01438,India_Director_dataFile,JPMorgan Chase & Co.,India,Project Management / Programme Management,Unknown,"Vice President - Manager - Credit Product Delivery India, Wholesale Lending Services Asia Pacific",Director,"In addition, this role will also involve managing strategic enhancements and executing change initiatives on behalf of CPD and supporting MIS reporting.",22
P_002506,JDRAW_00280,2021_10_09_17_03_Sales_dataFile,Bevy,"Chicago, IL",Sales / Business Development,Sales and Business Development,Regional Sales Director,Director,"Our Team We are a small but powerful team, dedicated to achieving our mission to bring more community to the world through virtual events.",24
P_018138,JDRAW_06491,2021_10_09_22_38_Sales_dataFile,White Sand Group,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Purchasing and Supply Chain,Procurement Director,Director,You Will Be Responsible For Liaising with internal stakeholders and external suppliers to maximise stock availability and minimise lead times.,20
P_022587,JDRAW_07591,2021_10_09_06_09_Sales_dataFile,Obvi,"Jersey City, NJ",Sales / Business Development,Unknown,Sales Intern - No Remote - Supplement & Beauty Brand,Unknown,Preferred: Supplement & Beauty Industry Sales Experience - Compensation.,7
P_009206,JDRAW_02795,United_Kingdom_Internship_dataFile,Amundi,United Kingdom,Sales / Business Development,Unknown,ETF Sales - 1 Year Intern,Internship,Amundi is Europe's largest asset manager by assets under management.,10
P_018321,JDRAW_06520,2021_10_09_22_38_Sales_dataFile,"Happy Marketer, A Merkle Company","Singapore, Singapore",Project Management / Programme Management,Information Technology,"Director, Delivery",Director,"Requirements Education to degree level in advertising, media, IT or similar 12 years of experience in digital marketing, preferable digital agencies.",21
P_007283,JDRAW_01787,Indonesia_Associate_dataFile,Siemens,Indonesia,Project Management / Programme Management,Unknown,Commercial Project Manager,Associate,Experience: Level 1 Managing Projects Education: University Degree in Business Administration/Commercial/FinanceProfessional commercial knowledge in financial management of complex dprojects and in financial management itselfRecommended Learning Program : Excellence in Project Management Organization: Smart Infrastructure Company: P.T.,33
P_006322,JDRAW_01229,Finland_Mid-Senior_dataFile,Sofigate,Finland,Project Management / Programme Management,Unknown,SAP Project Managers,Mid-Senior,Our customers are developing and taking new emerging technologies and services into use.,13
P_004985,JDRAW_00683,2021_10_08_11_02_Sales_dataFile,mtu solutions,"Longsheng Various Nationalities Autonomous County, Guangxi Zhuang, China",Sales / Business Development,Sales and Business Development,Sr. Regional Sales Manager,Mid-Senior level,Maintain competitive product and pricing knowledge.,6
P_007321,JDRAW_01811,Indonesia_Director_dataFile,Robert Walters,Indonesia,Procurement / Sourcing / Supply Chain,Unknown,Procurement Director - Financial Services/Trade Finance,Director,"Reporting into Singapore in this job, the group's global HQ is in Europe.",13
P_006712,JDRAW_01438,India_Director_dataFile,JPMorgan Chase & Co.,India,Project Management / Programme Management,Unknown,"Vice President - Manager - Credit Product Delivery India, Wholesale Lending Services Asia Pacific",Director,associated risks and regulatory requirements Strong leadership and management abilities,10
P_008499,JDRAW_02503,South_Africa_Director_dataFile,Resideo,South Africa,Procurement / Sourcing / Supply Chain,Unknown,Access Control & Fire Category Manager,Director,"This is an excellent opportunity for a candidate that understands the South African security market, its competitive landscape and can translate business strategy into sales growth.",26
P_011623,JDRAW_05317,2021_10_09_01_12_Sales_dataFile,LegitScript,"Portland, OR",Sales / Business Development,Sales and Business Development,Sales Development Representative,Entry level,"LegitScript does not accept unsolicited headhunter and agency resumes, and will not pay fees to any third-party agency or company that does not have a signed agreement with LegitScript.",28
P_007268,JDRAW_01787,Indonesia_Associate_dataFile,Siemens,Indonesia,Project Management / Programme Management,Unknown,Commercial Project Manager,Associate,ICFR # For cross border projects: synchronizes contract structure with tax and delegation concept,13
P_022711,JDRAW_07632,2021_10_09_03_13_Sales_dataFile,Keywords Studios,"St Petersburg, St Petersburg City, Russia",Project Management / Programme Management,Project Management,Chinese speaking Customer Support Project Manager - Video Games,Mid-Senior level,Experience in Player Support (Customer Service).,6
P_020091,JDRAW_07019,2021_10_09_12_59_Sales_dataFile,Jobs via eFinancialCareers,"Singapore, Singapore",Sales / Business Development,Sales and Business Development,Asst Dir-Sales Strategist,Entry level,Strong teamwork and demonstrated leadership skills.,6
P_015692,JDRAW_06044,2021_10_10_12_31_Sales_dataFile,Autodesk,"Singapore, Singapore",Sales / Business Development,Information Technology,Digital Sales Representative,Mid-Senior level,"At Autodesk, we believe a salesperson's success depends on our customer's success - and we offer our clients technology solutions to help them grow their business and maximize the return on their software investment.",33
P_018144,JDRAW_06491,2021_10_09_22_38_Sales_dataFile,White Sand Group,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Purchasing and Supply Chain,Procurement Director,Director,Supporting Sales and Operations in developing supply solutions to maintain fulfilment targets.,12
P_008110,JDRAW_02265,Philippines_Entry_dataFile,The Insights Shop,Philippines,Project Management / Programme Management,Unknown,Project Manager,Entry,Must have good knowledge of Qualitative and Quantitative Research.,9
P_018322,JDRAW_06520,2021_10_09_22_38_Sales_dataFile,"Happy Marketer, A Merkle Company","Singapore, Singapore",Project Management / Programme Management,Information Technology,"Director, Delivery",Director,Strong knowledge and passion in Web and Digital Analytics Aptitude to build and maintain strong working relationships.,17
P_007424,JDRAW_01929,Ireland_Director_dataFile,Cpl,Ireland,Procurement / Sourcing / Supply Chain,Unknown,Credit Controller - 3 Month Contract,Director,"Company Description Our client, a large multi-national based in Cork is seeking a Credit Controller for a 3-month contract.",17
P_020952,JDRAW_07251,2021_10_09_16_33_Sales_dataFile,Unknown,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Management and Manufacturing,Supply Chain Trainee #SGUnitedTraineeship #SGUT,Internship,private universities and overseas institutions),5
P_018154,JDRAW_06491,2021_10_09_22_38_Sales_dataFile,White Sand Group,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Purchasing and Supply Chain,Procurement Director,Director,"Monitoring the market for new best practice tools and techniques, expanding your own knowledge and skills and thereby enabling clients to achieve competitive success.",24
P_006596,JDRAW_01349,Hong_Kong_Executive_dataFile,BNP Paribas,Hong Kong,Procurement / Sourcing / Supply Chain,Unknown,"Vice President, Transaction Banking - Supply Chain Management",Executive,"In Asia Pacific, BNP Paribas is one of the best-positioned international financial institutions with an uninterrupted presence since 1860.",18
P_020944,JDRAW_07251,2021_10_09_16_33_Sales_dataFile,Unknown,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Management and Manufacturing,Supply Chain Trainee #SGUnitedTraineeship #SGUT,Internship,Specific Responsibilities The Supply Chain Trainee purpose includes understanding the Quality Management System and be familiar with supply chain management.,20
P_018315,JDRAW_06520,2021_10_09_22_38_Sales_dataFile,"Happy Marketer, A Merkle Company","Singapore, Singapore",Project Management / Programme Management,Information Technology,"Director, Delivery",Director,Roles And Responsibilities Establish a solid working relationship with multiple clients.,11
P_002230,JDRAW_00247,2021_10_09_06_09_Sales_dataFile,inSegment,"Charlotte, NC",Sales / Business Development,Sales and Business Development,Sales and Business Development Intern,Internship,Additional Information All your information will be kept confidential according to EEO guidelines.,13
P_008500,JDRAW_02503,South_Africa_Director_dataFile,Resideo,South Africa,Procurement / Sourcing / Supply Chain,Unknown,Access Control & Fire Category Manager,Director,WHAT YOU WILL DO - Fully own two of the main product categories including: Access Control and Fire.,17
P_013906,JDRAW_05717,2021_10_09_16_58_Sales_dataFile,Michael Page,"Shanghai, Shanghai, China",Sales / Business Development,Sales and Business Development,Sales Director-Online and Offline Exposure (Meat),Director,This role will also be involved in project management and will need to coordinate with internal teams.,17
P_018142,JDRAW_06491,2021_10_09_22_38_Sales_dataFile,White Sand Group,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Purchasing and Supply Chain,Procurement Director,Director,"Monitoring data accuracy and consistency of forecast adjustments supplied by sales, production, suppliers etc.",14
P_005515,JDRAW_00765,Australia_Associate_dataFile,FAAC Australia,Australia,Sales / Business Development,Unknown,Sales Executive,Associate,"FAAC Technologies is the leading global player in the field of automation and access control, dedicated to satisfying end-user needs for security, safety and convenience.",24
P_007279,JDRAW_01787,Indonesia_Associate_dataFile,Siemens,Indonesia,Project Management / Programme Management,Unknown,Commercial Project Manager,Associate,"AC, Taxes, Treasury, Audit), RIC incl.",6
P_014883,JDRAW_05918,2021_10_09_12_59_Sales_dataFile,Unknown,"Singapore, Singapore",Sales / Business Development,Sales and Business Development,"Sales Development Representative, BytePlus",Entry level,"Meanwhile, you are in charge of grading all the leads and distributing them to the hands of sales representatives in a timely manner.",23
P_022714,JDRAW_07632,2021_10_09_03_13_Sales_dataFile,Keywords Studios,"St Petersburg, St Petersburg City, Russia",Project Management / Programme Management,Project Management,Chinese speaking Customer Support Project Manager - Video Games,Mid-Senior level,Formal Project Management techniques or training (asset).,7
