Result_id,Model_Name,Prompt_Version,Timestamp_SGT,Industry,Seniority_level,JD_ID,JD_framing,JD_Region,Frame_CV_ID,CV_framing,Hireability_Score,Hireability_Reason,Competence_Score,Competence_Reason,Fit_Score,Fit_Reason,Performance_Score,Performance_Reason,Leadership_Exhibited,Leadership_Control,Leadership_Effective,Leadership_Avg,Leadership_Reason,Status_Score,Status_Reason,Warmth_Score,Warmth_Reason,Recommendation,Raw_JSON,Error
JD001_FCL001,claude-haiku-4-5-20251001,standard,2026-07-23 18:45:25,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL001,Agentic,5,"Candidate demonstrates relevant sales experience and mentions required competencies, but lacks specific evidence of Office software proficiency and contract negotiation skills.",3,"Candidate shows foundational sales knowledge and CRM experience, but provides limited concrete examples or metrics demonstrating competence and efficiency.",5,"Candidate addresses several key requirements including CRM usage, customer account management, and sales processes, but fails to explicitly mention Office software proficiency or contract negotiation experience.",5,"Candidate's background suggests capability to handle core responsibilities like account maintenance and quota achievement, though limited detail on new client acquisition and reporting abilities.",3,2,2,2,"Cover letter emphasizes individual contributions rather than team leadership, with no evidence of managing others or directing team activities.",4,"Candidate appears positioned for entry-level execution rather than prominence or influence, with limited indication of advancement potential or organizational impact.",3,"Cover letter is professional but formal and somewhat generic, lacking personal voice, enthusiasm, or specific examples that would convey genuine warmth and sincerity.",Consider,,
JD001_FCL002,claude-haiku-4-5-20251001,standard,2026-07-23 18:45:31,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL002,Communal,5,"Candidate demonstrates relevant sales experience and mentions required CRM proficiency, but lacks specific details about achievements and quantifiable results.",3,"Cover letter contains grammatical errors and vague descriptions of responsibilities, raising concerns about communication skills and clarity of thought.",5,"Candidate addresses CRM usage and client account management, but provides insufficient evidence of new client acquisition, contract negotiation, or product knowledge capabilities.",5,"Candidate's background suggests ability to handle basic responsibilities, but lacks concrete examples demonstrating consistent achievement of sales targets or quota attainment.",3,2,3,3,"Candidate emphasizes collaborative approach but provides no evidence of leadership experience, initiative, or ability to influence or direct team activities.",4,Entry-level position limits immediate status potential; candidate's vague accomplishments and communication weaknesses suggest modest professional prominence trajectory.,3,"Cover letter is professional but somewhat generic and impersonal, lacking authentic voice or specific examples that would convey genuine warmth and sincerity.",Consider,,
JD001_FCL003,claude-haiku-4-5-20251001,standard,2026-07-23 18:45:37,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL003,Agentic,5,"Candidate demonstrates relevant sales and customer acquisition experience, though the cover letter lacks specific details about technical proficiencies and measurable achievements required for entry-level sales.",3,"While the candidate mentions relevant experience with customer acquisition and contract negotiation, the cover letter provides insufficient concrete evidence of technical skills, CRM platform expertise, or Office software proficiency.",5,"Candidate's background in customer acquisition and contract management aligns with core sales responsibilities, but the letter does not explicitly address CRM maintenance, product knowledge, or sales reporting capabilities.",5,"Candidate appears capable of handling customer communication and account management based on stated experience, though lack of specific technical skill confirmation raises questions about meeting all formal performance requirements.",4,3,3,3,"Cover letter suggests some initiative in identifying alignment and executing workflows, but provides minimal evidence of team leadership, delegation, or influence over group activities typical of leadership potential.",4,"Candidate's commercial sector experience and customer acquisition background suggest moderate potential for professional respect, though entry-level positioning and lack of standout achievements limit expected organizational prominence.",3,"Cover letter is professionally written but formal and somewhat generic, lacking personal voice, enthusiasm, or specific examples that would convey genuine warmth, trustworthiness, or authentic engagement.",Consider,,
JD001_FCL004,claude-haiku-4-5-20251001,standard,2026-07-23 18:45:43,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL004,Communal,5,"Candidate demonstrates relevant commercial experience and sales-adjacent skills, but lacks specific mention of direct sales achievements or quantifiable results.",3,Candidate shows general business competence but provides vague descriptions of responsibilities without concrete examples of expertise or technical proficiency.,4,"Candidate has relevant experience in customer acquisition and contract negotiation, but does not explicitly address CRM platform proficiency, Office software skills, or direct sales metrics.",4,"Candidate's background suggests capability to handle account maintenance and communication, but lacks demonstrated track record of new client acquisition or sales volume achievement.",3,2,3,3,"Cover letter emphasizes collaboration and alignment-building rather than leadership initiative, with no evidence of team management or decision-making authority.",3,Candidate's entry-level position and lack of demonstrated sales leadership or notable achievements suggest limited near-term status potential within the organization.,3,"Cover letter is professional and courteous but somewhat formal and generic, lacking personal voice or genuine enthusiasm that would convey warmth and authenticity.",Consider,,
JD001_FCL013,claude-haiku-4-5-20251001,standard,2026-07-23 18:45:49,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL013,Agentic,5,"Candidate demonstrates relevant sales experience and technical competencies, though the cover letter lacks specific achievements and concrete examples to strongly differentiate them.",3,"Candidate mentions relevant skills like CRM usage and cold outreach, but provides no quantifiable results, metrics, or detailed evidence of actual competence and efficiency.",5,"Candidate addresses most job requirements including CRM proficiency, sales operations background, and reporting capabilities, but lacks demonstrated contract negotiation experience and product knowledge depth.",5,"Candidate's background suggests capability to handle core duties like client maintenance and reporting, though limited evidence of consistent performance or ability to exceed baseline expectations.",2,2,2,2,"Cover letter contains no evidence of leadership experience, team management, or initiative-taking beyond individual sales execution responsibilities.",3,Candidate appears positioned for entry-level execution rather than prominence or influence; no indication of strategic thinking or potential for advancement within the organization.,3,"Cover letter is professional but formulaic and impersonal; lacks personality, specific enthusiasm for the company, or genuine connection that would convey warmth and sincerity.",Consider,,
JD001_FCL014,claude-haiku-4-5-20251001,standard,2026-07-23 18:45:56,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL014,Communal,5,"Candidate demonstrates relevant sales operations experience and technical competencies aligned with role requirements, though lacks specific evidence of standout achievements or exceptional qualifications.",3,"Candidate shows adequate technical skills and familiarity with required tools, but provides limited concrete examples or depth demonstrating strong competence or efficiency in sales execution.",5,"Candidate possesses relevant sales operations background and mentions key competencies like CRM usage, cold outreach, and reporting; however, lacks explicit evidence of contract negotiation or account maintenance experience.",5,"Candidate appears capable of completing assigned duties based on stated experience with outreach, lead qualification, and reporting, though cover letter lacks specific metrics or achievements demonstrating consistent high performance.",2,2,2,2,"Cover letter contains no evidence of leadership experience, initiative, team direction, or influence. Candidate describes collaborative and supportive roles rather than leadership responsibilities.",3,Candidate's entry-level background and lack of demonstrated leadership or exceptional achievements suggest limited trajectory toward high organizational status or influence in this role.,3,"Cover letter is professional and courteous but somewhat formulaic and impersonal, lacking distinctive voice, enthusiasm, or personal connection that would convey genuine warmth and sincerity.",Consider,,
JD001_FCL015,claude-haiku-4-5-20251001,standard,2026-07-23 18:46:03,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL015,Agentic,5,"Candidate demonstrates relevant sales experience and addresses key job requirements, though the cover letter lacks polish and specific achievements that would strengthen the application.",3,"Candidate mentions relevant skills like cold calling and CRM usage, but the cover letter contains grammatical errors and vague descriptions that undermine perceived competence and professionalism.",5,"Candidate's background in sales operations, client relations, and contract negotiations aligns with job requirements, though no explicit mention of CRM platform experience or Office software proficiency.",5,"Candidate's experience with cold calling, lead identification, and account management suggests capability to perform core duties, but lack of specific metrics or achievements raises questions about consistency.",3,2,2,2,"Cover letter provides minimal evidence of leadership qualities; candidate describes operational tasks rather than demonstrating initiative, team influence, or strategic direction-setting abilities.",4,Candidate appears positioned for entry-level sales execution rather than advancement; limited evidence of strategic thinking or distinction that would lead to prominence within the organization.,3,Cover letter is formal and generic with minimal personality; candidate expresses interest professionally but lacks authentic voice or specific details that would convey genuine enthusiasm and trustworthiness.,Consider,,
JD001_FCL016,claude-haiku-4-5-20251001,standard,2026-07-23 18:46:09,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL016,Communal,5,"Candidate demonstrates relevant sales experience and addresses key job requirements, though the cover letter contains grammatical errors and lacks specific achievements or metrics.",3,Candidate shows foundational sales skills but the cover letter's grammatical issues and vague descriptions of accomplishments raise concerns about communication proficiency and attention to detail.,5,"Candidate's background in cold calling, lead identification, and client relations aligns with entry-level sales duties, though no explicit mention of CRM platform experience or contract negotiation proficiency.",5,"Candidate's experience with core sales activities suggests adequate performance capability, but lack of specific examples and quantifiable results makes it difficult to predict consistent high performance.",2,2,2,2,"Cover letter provides no evidence of leadership experience, initiative, or team management capabilities; candidate describes collaborative and support roles rather than leadership positions.",3,"Entry-level position with relevant experience suggests modest professional status potential, but lack of demonstrated excellence or unique strengths limits expectations for prominence and influence.",3,"Cover letter is professional but formulaic and impersonal; limited evidence of genuine enthusiasm, personality, or authentic connection with the reader or organization.",Consider,,
JD001_FCL017,claude-haiku-4-5-20251001,standard,2026-07-23 18:46:15,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL017,Agentic,5,"Candidate demonstrates relevant sales operations experience and technical competencies, though the cover letter lacks specific achievements and enthusiasm that would strongly justify an offer.",3,"Candidate mentions relevant skills like CRM software and data analysis, but provides no concrete examples, metrics, or evidence of actual competence or accomplishments.",5,"Candidate addresses most key requirements including CRM proficiency, office software, and account management, but lacks demonstrated contract negotiation experience and product knowledge specifics.",5,"Candidate's background suggests capability to handle basic responsibilities like account maintenance and reporting, but limited evidence of ability to excel at new client acquisition and value communication.",2,2,2,2,"Cover letter contains no evidence of leadership experience, initiative, team influence, or management capabilities; candidate appears to focus on individual contributor tasks only.",3,"Candidate's entry-level background and lack of demonstrated achievements suggest limited potential for prominence, respect, or significant influence within the organization.",3,"Cover letter is formal and generic with minimal personality; candidate demonstrates professionalism but lacks warmth, enthusiasm, or genuine connection that would build trust.",Consider,,
JD001_FCL018,claude-haiku-4-5-20251001,standard,2026-07-23 18:46:22,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL018,Communal,5,"Candidate demonstrates relevant sales operations experience and technical competencies, though lacks specific evidence of direct sales achievement or client acquisition success.",3,"Candidate shows foundational technical skills in CRM and office software, but provides limited concrete examples of competence or measurable accomplishments in sales roles.",5,"Candidate possesses several required skills including CRM proficiency and office software knowledge, but lacks demonstrated experience in direct client negotiation and new business acquisition.",5,"Candidate's background in sales operations suggests capability to handle administrative and reporting duties, but limited evidence of ability to meet direct sales targets and client acquisition goals.",2,2,2,2,"Cover letter provides no evidence of leadership experience, team management, or initiative-taking; candidate describes support and assistance roles rather than leadership positions.",3,Candidate's entry-level background and lack of demonstrated sales success suggest limited near-term potential for prominence or influence within the organization.,3,"Cover letter is formal and professional but lacks personality, specific examples, or genuine enthusiasm that would convey warmth, trustworthiness, or authentic engagement.",Consider,,
