Skill Framing Verbs — Resume / CV Bullet Builder,,,,,
"Same skill, same neutral fact — framed with an Agentic verb or a Communal verb. Each verb is listed in both -ed (past, for completed achievements) and -ing (present, for current roles or ongoing responsibilities) form. Use whichever tense and framing matches the role and tone you want.",,,,,
,,,,,
Skill / Competency Area,Neutral Term (resume-safe),Agentic Framing,Communal Framing,Example Bullet — Agentic,Example Bullet — Communal
Leadership,Led a team / Leading a team,Directed / Directing / Spearheaded / Spearheading / Drove / Driving,Guided / Guiding / Mentored / Mentoring / Supported / Supporting,Directed a team of 6 engineers to deliver the project two weeks early.,Guided and supported a team of 6 engineers through a challenging product launch.
Teamwork / Collaboration,Worked with others / Working with others,Coordinated / Coordinating / Orchestrated / Orchestrating,Collaborated / Collaborating / Partnered / Partnering,Coordinated cross-functional input from 4 departments to finalize the launch plan.,Partnered closely with 4 departments to align on a shared launch plan.
Problem-Solving,Solved a problem / Solving a problem,Resolved / Resolving / Tackled / Tackling / Overcame / Overcoming,Worked through / Working through / Addressed together / Addressing together,"Independently resolved a recurring system outage affecting 10,000 users.","Worked with the support team to address a recurring outage affecting 10,000 users."
Communication,Communicated information / Communicating information,Presented / Presenting / Persuaded / Persuading / Pitched / Pitching,Facilitated / Facilitating / Explained / Explaining / Shared / Sharing,"Presented quarterly results to senior leadership, securing budget approval.",Facilitated a discussion with stakeholders to build shared understanding of quarterly results.
Project Management,Managed a project / Managing a project,Drove / Driving / Executed / Executing / Delivered / Delivering,Coordinated / Coordinating / Supported / Supporting / Helped deliver / Helping deliver,"Drove a $2M project from planning through delivery, on time and under budget.",Coordinated with vendors and internal teams to help deliver the project on schedule.
Sales / Business Development,Increased sales / Increasing sales,Achieved / Achieving / Exceeded / Exceeding / Won / Winning,Built relationships / Building relationships / Grew accounts together with / Growing accounts together with,Exceeded quarterly sales targets by 30% through a proactive outreach strategy.,"Grew key accounts by building long-term, trust-based client relationships."
Customer Service,Helped customers / Helping customers,Resolved customer issues / Resolving customer issues / Delivered results for clients / Delivering results for clients,Supported / Supporting / Assisted / Assisting / Cared for / Caring for,Resolved 95% of customer escalations on first contact.,"Supported customers through complex issues, ensuring they felt heard and cared for."
Data / Analysis,Analyzed data / Analyzing data,Identified / Identifying / Uncovered / Uncovering / Optimized / Optimizing,Interpreted for the team / Interpreting for the team / Translated for stakeholders / Translating for stakeholders,Identified a process inefficiency that reduced costs by 15%.,Translated complex data trends into clear insights the whole team could act on.
Training / Mentoring,Trained staff / Training staff,Developed / Developing / Built a training program / Building a training program,Mentored / Mentoring / Coached / Coaching / Nurtured / Nurturing,Developed a training program adopted company-wide.,"Mentored 5 new hires, helping them build confidence in their first year."
Negotiation,Negotiated terms / Negotiating terms,Negotiated / Negotiating / Secured / Securing / Closed / Closing,Reached agreement together / Reaching agreement together / Aligned interests / Aligning interests,Negotiated a vendor contract that saved $50K annually.,Worked with both sides to reach an agreement that met everyone's needs.
Innovation / Initiative,Improved a process / Improving a process,Pioneered / Pioneering / Launched / Launching / Initiated / Initiating,Improved together with the team / Improving together with the team / Co-developed / Co-developing,"Pioneered a new onboarding process, cutting ramp-up time by 40%.",Co-developed an improved onboarding process with input from the whole team.
Quality / Compliance,Ensured quality / Ensuring quality,Enforced / Enforcing / Owned / Owning / Held accountable / Holding accountable,Upheld together / Upholding together / Supported consistency across the team / Supporting consistency across the team,"Owned quality assurance for all releases, reducing defects by 25%.",Worked with QA and dev teams to uphold consistent quality standards across releases.
Conflict Resolution,Handled a conflict / Handling a conflict,Resolved / Resolving / Took charge of the situation / Taking charge of the situation,Mediated / Mediating / Brought people together / Bringing people together,Took charge of a client dispute and resolved it within 24 hours.,Mediated between two teams to bring them to a mutually agreeable solution.
Time Management,Managed time effectively / Managing time effectively,Prioritized / Prioritizing / Streamlined / Streamlining / Optimized / Optimizing,Balanced / Balancing / Coordinated with the team / Coordinating with the team,"Prioritized competing deadlines to deliver three projects simultaneously, on time.",Balanced overlapping deadlines by coordinating priorities with teammates.
Adaptability / Flexibility,Adapted to change / Adapting to change,Pivoted / Pivoting / Adjusted course / Adjusting course / Navigated / Navigating,Stayed flexible for the team / Staying flexible for the team / Adjusted alongside others / Adjusting alongside others,Pivoted the go-to-market strategy within 48 hours after a shift in market conditions.,Worked with the team to stay flexible as priorities shifted week to week.
Strategic Planning,Planned strategy / Planning strategy,Defined / Defining / Shaped / Shaping / Set the direction for / Setting the direction for,Helped shape / Helping shape / Contributed to / Contributing to,Defined the three-year growth strategy for a $10M product line.,Contributed to shaping the team's roadmap alongside leadership and peers.
Decision-Making,Made decisions / Making decisions,Decided / Deciding / Determined / Determining / Chose / Choosing,Weighed in / Weighing in / Helped decide together / Helping decide together,Determined the optimal vendor after evaluating five competing proposals.,Helped the team weigh options and decide on the best vendor together.
Technical / Engineering Skills,Used technical skills / Using technical skills,Built / Building / Engineered / Engineering / Architected / Architecting,Contributed to / Contributing to / Supported the build of / Supporting the build of,Architected a scalable data pipeline processing 2M records daily.,Contributed to building a data pipeline alongside three other engineers.
Crisis Management,Handled a crisis / Handling a crisis,Took control of / Taking control of / Contained / Containing / Resolved / Resolving,Rallied the team / Rallying the team / Helped steady / Helping steady,"Took control of a security incident, containing the breach within two hours.",Helped rally the team to steady operations during a security incident.
Public Speaking / Presentation,Gave presentations / Giving presentations,Delivered / Delivering / Commanded / Commanding / Captivated / Captivating,Engaged / Engaging / Connected with the audience together / Connecting with the audience together,"Delivered a keynote to 500 attendees, earning a 4.9/5 audience rating.","Engaged the audience in an interactive session, building shared understanding of the topic."
Fundraising / Grant Writing,Raised funds / Raising funds,Secured / Securing / Won / Winning / Closed / Closing,Built donor relationships / Building donor relationships / Rallied support / Rallying support,Secured $250K in grant funding for a new community program.,Built lasting donor relationships that rallied ongoing support for the program.
Research,Conducted research / Conducting research,Investigated / Investigating / Uncovered / Uncovering / Pioneered / Pioneering,Explored together / Exploring together / Synthesized for the team / Synthesizing for the team,Uncovered a market gap that informed a new $1M product line.,Explored customer needs with the team and synthesized findings into a shared report.
Delegation,Delegated tasks / Delegating tasks,Assigned / Assigning / Empowered / Empowering / Held accountable / Holding accountable,Distributed fairly / Distributing fairly / Supported the team in / Supporting the team in,Empowered a team of 8 by assigning ownership of key deliverables.,Worked with the team to distribute tasks fairly based on everyone's strengths.
Cross-Functional Collaboration,Worked across teams / Working across teams,Aligned / Aligning / Unified / Unifying / Bridged / Bridging,Connected / Connecting / Brought together / Bringing together,"Aligned engineering, design, and marketing around a single product launch timeline.","Brought engineering, design, and marketing together to build a shared launch plan."
Change Management,Managed change / Managing change,Led / Leading / Drove / Driving / Championed / Championing,Supported / Supporting / Helped ease the transition for / Helping ease the transition for,Championed a company-wide software migration affecting 500 employees.,Helped ease the transition to new software by supporting colleagues through training.
Creativity / Design,Designed solutions / Designing solutions,Created / Creating / Invented / Inventing / Reimagined / Reimagining,Co-created / Co-creating / Shaped with input from / Shaping with input from,"Reimagined the user onboarding flow, boosting activation by 20%.",Co-created a new onboarding flow with input from the design and support teams.
Budget Management,Managed a budget / Managing a budget,Controlled / Controlling / Allocated / Allocating / Maximized / Maximizing,Coordinated with stakeholders on / Coordinating with stakeholders on / Balanced together / Balancing together,"Controlled a $500K departmental budget, coming in 8% under target.",Coordinated with stakeholders to balance budget priorities across three teams.
