Result_id,Model_Name,Prompt_Version,Timestamp_SGT,Industry,Seniority_level,JD_ID,JD_framing,JD_Region,Frame_CV_ID,CV_framing,Hireability_Score,Hireability_Reason,Competence_Score,Competence_Reason,Fit_Score,Fit_Reason,Performance_Score,Performance_Reason,Leadership_Exhibited,Leadership_Control,Leadership_Effective,Leadership_Avg,Leadership_Reason,Status_Score,Status_Reason,Warmth_Score,Warmth_Reason,Recommendation,Raw_JSON,Error
JD003_FCL001,qwen3.7-plus,region,2026-07-25 04:14:19,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL001,Agentic,5,"The candidate demonstrates relevant sales experience and CRM proficiency, aligning well with the entry-level role, though English proficiency and contract negotiation skills remain unverified.",4,"The cover letter is professionally written, showcasing clear communication skills, CRM expertise, and a results-oriented approach to managing customer accounts and sales processes.",5,"The candidate's background in customer management, CRM usage, and sales execution aligns closely with the job's core responsibilities and requirements.",5,"Given demonstrated experience in account management and sales processes, the candidate would likely meet performance expectations for this entry-level sales position.",4,3,4,3.67,"The candidate shows initiative and ownership mindset, suggesting moderate leadership potential, though no direct team leadership experience is evident from the materials provided.",3,"As an entry-level sales role, the candidate would likely attain moderate professional status, with growth potential depending on performance and business development results.",3,"The cover letter is professional and courteous but primarily task-focused, conveying competence rather than warmth or interpersonal friendliness.",Interview,,
JD003_FCL002,qwen3.7-plus,region,2026-07-25 04:14:36,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL002,Communal,4,"The candidate demonstrates relevant sales experience and CRM proficiency, but the cover letter lacks specific achievements, English proficiency evidence, and concrete details that would distinguish them in China's competitive entry-level sales market.",3,"The candidate shows baseline competence through described CRM usage and client account development, but the generic language and absence of quantifiable results suggest only moderate skill depth.",4,"The candidate's experience in client development, CRM usage, and collaborative communication aligns with several job requirements, though contract negotiation skills and English proficiency remain unaddressed.",4,"The candidate appears capable of handling routine sales duties like CRM maintenance and client communication, but the lack of demonstrated negotiation or new business acquisition results raises uncertainty about meeting full performance expectations.",3,2,3,2.67,"The candidate mentions teamwork and collaboration but provides no evidence of leading initiatives, managing others, or exerting influence, indicating limited leadership potential for this entry-level role.",3,"As an entry-level sales candidate with no distinguished achievements or specialized expertise highlighted, the candidate would likely attain modest professional status within the organization initially.",4,"The candidate's collaborative tone, emphasis on relational skills, and polite closing convey a friendly and sincere demeanor, though the overall letter feels somewhat formulaic and impersonal.",Consider,,
JD003_FCL003,qwen3.7-plus,region,2026-07-25 04:14:46,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL003,Agentic,4,The candidate demonstrates relevant sales and business development experience but does not explicitly address English proficiency or CRM platform skills required for this entry-level role.,3,"The cover letter conveys professional experience in customer acquisition and contract management, though it lacks specific quantifiable achievements or technical skill demonstrations.",4,"The candidate's background in customer acquisition and contract negotiation aligns with the role, but key requirements like English proficiency and CRM usage remain unaddressed.",4,"Prior experience in managing customer relationships and reporting suggests adequate capability, though the absence of specific tool proficiency raises some uncertainty about meeting all duties.",3,3,3,3.0,"The candidate mentions taking ownership of workflows but provides no evidence of team leadership, supervisory experience, or influence over group activities.",3,"As an entry-level sales position, the role itself carries limited organizational prominence, and the candidate's application does not suggest exceptional distinction.",3,"The cover letter maintains a professional and polite tone but reads as formulaic, offering limited personal warmth or genuine interpersonal connection.",Consider,,
JD003_FCL004,qwen3.7-plus,region,2026-07-25 04:14:49,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL004,Communal,4,The candidate shows relevant commercial experience but the cover letter is generic and does not clearly demonstrate English proficiency or CRM skills required for this entry-level sales role.,3,"The candidate demonstrates some relevant experience in customer acquisition and contract discussions, but the letter lacks specific achievements or quantifiable results to confirm strong competence.",4,"The candidate mentions customer acquisition and contract negotiation experience, which aligns with the role, but does not address English proficiency, CRM usage, or Office software skills explicitly.",4,"The candidate has foundational sales-related experience suggesting they could perform basic duties, but the absence of specific technical skill mentions raises uncertainty about meeting all formal requirements.",3,3,3,3.0,"The cover letter mentions cross-team collaboration and alignment-building, but provides no clear evidence of leadership experience or the ability to direct and influence team activities effectively.",3,"As an entry-level sales position and given the candidate's generic application without standout achievements, the expected professional status and influence within the organisation would be relatively modest.",3,"The tone is professional and polite but somewhat formal and impersonal, offering limited evidence of warmth, friendliness, or genuine sincerity in the communication style.",Consider,,
JD003_FCL014,qwen3.7-plus,region,2026-07-25 04:14:53,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL014,Communal,4,"The candidate demonstrates relevant sales experience and CRM skills, but the cover letter is generic and lacks specific achievements or quantifiable results to stand out.",3,"The candidate shows basic competence in sales operations and CRM usage, but the letter lacks depth, specificity, or evidence of advanced skills or notable accomplishments.",4,"The candidate's background in outreach, lead qualification, and CRM aligns with core job duties, though English proficiency and contract negotiation abilities remain unverified.",4,"The candidate appears capable of handling basic sales tasks like outreach and reporting, but there is insufficient evidence to confidently predict strong or exceptional performance.",3,2,3,2.67,"The cover letter focuses on individual contributor tasks with no mention of team leadership, mentoring, or managing others, suggesting limited leadership potential at this stage.",3,"As an entry-level sales candidate with a generic application, the candidate would likely start with minimal organisational prominence or influence initially.",3,"The tone is professional and polite but formulaic, offering little personal warmth, enthusiasm, or genuine connection to the company or role.",Consider,,
JD003_FCL013,qwen3.7-plus,region,2026-07-25 04:14:59,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL013,Agentic,4,"The candidate demonstrates relevant sales experience and CRM skills, but the cover letter is generic and lacks specific achievements or quantifiable results to stand out.",3,"The candidate shows basic familiarity with sales operations and CRM tools, but the letter lacks depth, specificity, and evidence of strong analytical or strategic competence.",4,"The candidate mentions CRM proficiency, cold outreach, and reporting skills that align with job duties, but does not address English proficiency or contract negotiation abilities.",4,"The candidate appears capable of handling basic sales tasks like outreach and reporting, but there is insufficient evidence to confidently predict strong or exceptional performance.",3,3,3,3.0,"The cover letter focuses on individual contributor tasks with no mention of team leadership, mentoring, or managing others, suggesting limited demonstrated leadership potential.",3,"This is an entry-level sales role and the candidate presents as a junior professional, so expectations for organisational prominence and influence would remain relatively low.",3,"The tone is professional and polite but formulaic, lacking personal warmth, genuine enthusiasm, or a personable quality that would make the candidate memorable.",Consider,,
JD003_FCL015,qwen3.7-plus,region,2026-07-25 04:15:26,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL015,Agentic,4,The candidate demonstrates relevant sales experience but the cover letter is generic and lacks specific achievements or quantifiable results to stand out.,3,"The candidate mentions relevant skills like cold calling and CRM usage, but the letter contains grammatical errors and lacks depth or specificity.",4,"The candidate's background in sales operations and client relations aligns with the role, though no evidence of English proficiency or CRM mastery is shown.",4,"The candidate appears capable of handling basic sales duties, but the lack of concrete accomplishments makes it difficult to predict strong performance.",3,3,3,3.0,"The cover letter focuses on individual tasks with no mention of team leadership, mentoring, or managing others in any capacity.",3,This is an entry-level sales role and the candidate presents as a typical junior applicant without distinguishing credentials or experience.,3,"The tone is professional but formulaic and impersonal, lacking genuine enthusiasm or warmth that would make a strong impression.",Consider,,
JD003_FCL017,qwen3.7-plus,region,2026-07-25 04:15:29,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL017,Agentic,3,The candidate demonstrates relevant sales operations experience but lacks explicit mention of English proficiency and contract negotiation skills required for this role.,3,The cover letter conveys basic competence in CRM and reporting but uses vague language without concrete achievements or quantifiable results to demonstrate strong capability.,3,"The candidate mentions CRM usage, client outreach, and report generation which align with job duties, but does not address English proficiency or contract negotiation requirements.",3,The candidate has foundational sales experience but the absence of specific accomplishments or mention of key requirements raises uncertainty about their ability to meet performance standards.,2,2,2,2.0,"The cover letter focuses on individual operational tasks with no evidence of team leadership, strategic direction, or influence over others in a professional setting.",2,"This is an entry-level position and the candidate presents themselves as a routine operations executor, suggesting limited potential for high organisational prominence or influence.",2,"The cover letter is formal and transactional in tone, lacking personal warmth, enthusiasm, or genuine engagement that would convey friendliness or sincerity to the reader.",Consider,,
JD003_FCL016,qwen3.7-plus,region,2026-07-25 04:15:30,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL016,Communal,3,"The candidate demonstrates some relevant sales experience but lacks clear evidence of English proficiency, CRM expertise, and contract negotiation skills required for this role.",3,The cover letter shows basic familiarity with sales tasks but contains grammatical errors and vague claims that undermine the perception of strong competence and efficiency.,3,"While the candidate mentions cold calling and client relations, there is no explicit demonstration of English proficiency, CRM platform use, or product knowledge mastery.",3,"The candidate's entry-level sales background suggests they could handle basic duties, but gaps in key requirements raise concerns about meeting full performance expectations.",2,2,2,2.0,"The cover letter focuses on individual tasks with no evidence of team leadership, strategic direction, or influence over others in a professional setting.",2,"As an entry-level applicant with limited demonstrated expertise, this candidate would likely hold low professional status and influence within the organisation initially.",3,"The tone is professional and polite but formulaic, conveying neither notable warmth nor unfriendliness, resulting in a neutral perception of sincerity and approachability.",Consider,,
JD003_FCL018,qwen3.7-plus,region,2026-07-25 04:15:37,Sales / Business Development,Entry-Level,JD003,Neutral,China,FCL018,Communal,3,"The candidate demonstrates relevant sales operations experience and CRM proficiency, but the cover letter is generic, lacks quantifiable achievements, and does not address English proficiency or contract negotiation skills required for this role.",3,"The candidate shows basic competence in sales support and data systems, but the letter lacks specificity, concrete accomplishments, or evidence of advanced analytical or negotiation capabilities expected in this position.",3,"While the candidate has CRM and office software experience aligned with some requirements, there is no demonstrated evidence of English proficiency, client acquisition ability, or contract negotiation skills essential for this entry-level sales role.",3,"The candidate's background in sales operations and reporting suggests they could handle routine duties, but the absence of demonstrated outreach, negotiation, or client-facing achievements raises concerns about meeting full performance expectations.",2,2,2,2.0,"The cover letter contains no evidence of leadership experience, team management, or initiative-taking, presenting the candidate as a support-level contributor rather than someone with leadership potential.",2,"Given the entry-level nature of the role and the candidate's generic, support-oriented background without distinguishing achievements, they would likely attain minimal professional status or influence within the organisation.",2,"The cover letter is formal and transactional in tone, lacking personal warmth, enthusiasm, or genuine engagement, which makes the candidate appear distant and impersonable rather than friendly or sincere.",Consider,,
